Vᵢᵢ,Vᵢⱼ,Vᵢᵢ_std,Vᵢⱼ_std,τ,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,0.29966593840968403,0.09859716374786484,0.6633798729088548,0.5,24,0.10213290689363805,0.5469089795549544,0.04083362608283002,0.5033629848486205
1.0,0.29966592840968403,0.09859716374786484,0.6633798729088548,0.5,24,0.10213290757876393,0.5469089809615835,0.04083362491625407,0.5033629848484219
1.0,0.29966592840968403,0.09859716374786484,0.6633798829088549,0.5,24,0.10213290777048682,0.5469089816991959,0.0408336245011899,0.5033629848482157
0.99999999,0.29966592840968403,0.09859716374786484,0.6633798729088548,0.5,24,0.10213290784322858,0.5469089831040108,0.04083362484674245,0.5033629854123473
1.0,0.29966592840968403,0.09859717374786484,0.6633798729088548,0.5,24,0.1021329081844174,0.5469089844014648,0.040833624739987626,0.5033629848486786
1.0,0.29966592840968403,0.09859716374786484,0.6633798729088548,0.50000001,24,0.10213291068799894,0.5469089980810485,0.04083362471191069,0.5033629987211529
1.0,0.2996687040725261,0.09859222093531089,0.6634127049960814,0.5,24,0.10213304753526721,0.5469093123647513,0.040832673186800915,0.5033629845277172
1.0,0.2996686991713649,0.09859222093531089,0.6634127049960814,0.5,24,0.10213304787103902,0.5469093130542282,0.04083267261509442,0.5033629845277215
1.0,0.2996686891713649,0.09859222093531089,0.6634127049960814,0.5,24,0.10213304855612546,0.546909314460992,0.04083267144862292,0.5033629845277318
1.0,0.2996686891713649,0.09859222093531089,0.6634127049960814,0.5,24,0.10213304855612546,0.546909314460992,0.04083267144862292,0.5033629845277318
1.0,0.2996686891713649,0.09859222093531089,0.6634127149960815,0.5,24,0.1021330487478438,0.546909315198764,0.040832671033621516,0.503362984527731
1.0,0.2996686891713649,0.09859222093531089,0.6634127198972426,0.5,24,0.10213304884180802,0.5469093155603575,0.04083267083022265,0.5033629845277303
0.99999999,0.2996686891713649,0.09859222093531089,0.6634127049960814,0.5,24,0.10213304882054101,0.5469093166031465,0.040832671379119494,0.5033629850914534
0.9999999850988388,0.2996686891713649,0.09859222093531089,0.6634127049960814,0.5,24,0.10213304895013538,0.546909317653051,0.04083267134505475,0.5033629853677428
1.0,0.2996686891713649,0.09859223093531089,0.6634127049960814,0.5,24,0.10213304916168481,0.5469093179003576,0.04083267127236844,0.5033629845274994
1.0,0.2996686891713649,0.09859223583647209,0.6634127049960814,0.5,24,0.10213304945847922,0.5469093195860455,0.040832671185983285,0.5033629845273853
1.0,0.2996686891713649,0.09859222093531089,0.6634127049960814,0.50000001,24,0.10213305166535301,0.5469093315804779,0.04083267124427587,0.5033629984004758
1.0,0.2996686891713649,0.09859222093531089,0.6634127049960814,0.5000000149011612,24,0.10213305318923556,0.5469093399710142,0.04083267114412208,0.5033630051997317
1.0,0.29966879642148303,0.09859442109633829,0.6634127141604818,0.5,24,0.10213317462178748,0.546910056792218,0.040832644799720784,0.5033629845019161
1.0,0.29966878152032184,0.09859442109633829,0.6634127141604818,0.5,24,0.10213317564264458,0.5469100588884586,0.04083264306154423,0.5033629845019293
1.0,0.29966878152032184,0.09859442109633829,0.663412729061643,0.5,24,0.10213317592832741,0.5469100599878258,0.04083264244314456,0.5033629845019294
0.9999999850988388,0.29966878152032184,0.09859442109633829,0.6634127141604818,0.5,24,0.10213317603668766,0.5469100620807064,0.04083264295797286,0.5033629853420766
1.0,0.29966878152032184,0.09859443599749948,0.6634127141604818,0.5,24,0.10213317654506253,0.5469100640138793,0.04083264279890231,0.5033629845019301
1.0,0.29966878152032184,0.09859442109633829,0.6634127141604818,0.5000000149011612,24,0.10213318027575875,0.5469100843985156,0.04083264275704451,0.5033630051739327
1.0,0.2995079606844871,0.09860537344147997,0.6631350716537142,0.5,24,0.10213953971914368,0.5469159796932938,0.0408252100699222,0.5033629952581409
1.0,0.2995079506844871,0.09860537344147997,0.6631350716537142,0.5,24,0.10213954040477581,0.5469159811005209,0.04082520890300412,0.5033629952581246
1.0,0.2995079506844871,0.09860537344147997,0.6631350816537143,0.5,24,0.10213954059637598,0.5469159818376141,0.04082520848795035,0.5033629952573787
0.99999999,0.2995079506844871,0.09860537344147997,0.6631350716537142,0.5,24,0.10213954066929967,0.546915983243399,0.04082520883348983,0.5033629958224166
1.0,0.2995079506844871,0.09860538344147997,0.6631350716537142,0.5,24,0.10213954101052777,0.5469159845410473,0.04082520872674562,0.5033629952589838
1.0,0.2995079506844871,0.09860537344147997,0.6631350716537142,0.50000001,24,0.10213954351393424,0.546915998219572,0.040825208698654226,0.5033630091307107
1.0,0.2996696800985843,0.09861547419735389,0.6634128018536292,0.5,24,0.1021343911783754,0.5469171828863849,0.040832373149571985,0.5033629868508882
