Vᵢⱼ,Vᵢⱼ_std,τ,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
0.28588639459268433,2.4266940862915862,1.6766040026727476,16,1.7149878579747797,5.815211603610564,0.09498256426807604,5.91019416787864
0.2858866722097589,2.4266946080449427,1.676604231712895,16,1.712963436716491,5.830245685615752,0.07796052325544994,5.908206208871202
0.2861893268695638,2.4256704693235385,1.6771651706346236,16,1.7110049026630407,5.841192534058033,0.06447328737476113,5.905665821432794
0.2858866822097589,2.4266946080449427,1.676604231712895,16,1.7360366190790701,5.859737822931446,0.10188544377723621,5.961623266708681
0.2858866711690324,2.4266946072089586,1.676604224826323,16,1.7429984038996378,5.882559013363046,0.09598606898873083,5.978545082351777
0.2858812423434075,2.426684439317931,1.6765992633094855,16,1.7425840488820707,5.885396621079039,0.09161491730174764,5.977011538380786
0.28588648327044924,2.426694224947289,1.6766040451960225,16,1.7339631824794093,5.888905226946653,0.06986724408066228,5.958772471027315
0.2858866884714454,2.426694621107464,1.6766043393177954,16,1.7413649191450706,5.893059603481486,0.08081495399192062,5.9738745574734065
0.2858865278400621,2.4266943367166247,1.67660409961261,16,1.7461219355990614,5.894497306251232,0.09109942898190565,5.985596735233137
0.2858892369286268,2.4266860304878564,1.6766090435897427,16,1.739371968721151,5.894718884988922,0.07475108579547451,5.969469970784396
0.28576896606909036,2.426473391197739,1.6764965289532334,16,1.7437626804372848,5.904400225013246,0.07507545452743955,5.979475679540685
0.2858866722097589,2.4266946080449427,1.676604241712895,16,1.7446030731003084,5.906162038403116,0.07511894275451961,5.981280981157635
0.28590591391576686,2.4266295585646853,1.6766399779346814,16,1.748217901776675,5.909869308713059,0.08007073465822108,5.98994004337128
0.2858892269286268,2.4266860304878564,1.6766090535897427,16,1.7468498673321569,5.910504101801788,0.07621315467179966,5.986717256473588
0.28590591391576686,2.4266295585646853,1.6766399679346815,16,1.7437484481079175,5.912701875900601,0.06862446522355381,5.981326341124156
0.28588650704231117,2.4266943337899076,1.6766040805823779,16,1.754147340284571,5.915835520236915,0.087213382663516,6.0030489029004315
0.25514952682229897,2.3689272362151095,1.6484793397388138,16,1.7564084981656118,5.9171220295052045,0.07571074448059498,5.992832773985801
0.285886522769234,2.426694327186514,1.6766041199560793,16,1.753005034430692,5.9203405924607075,0.08099346810308078,6.00133406056379
0.28588666799344903,2.426694604658109,1.6766042138132302,16,1.7562660788595503,5.923705825380574,0.08508910864728622,6.0087949340278595
0.29206635846808143,2.405781481927666,1.6880564927674129,16,1.7449509475130336,5.927680296771935,0.061242195514150444,5.988922492286084
0.28087893653664925,2.41728307275084,1.6720220837587874,16,1.7542873961309438,5.9288208464977785,0.073984791800957,6.002805638298735
0.28566736959001715,2.4262824228332356,1.6764035531237471,16,1.7544597813760214,5.929867327865489,0.07306663380145142,6.00293396166694
