Vᵢᵢ,Vᵢⱼ,Vᵢᵢ_std,Vᵢⱼ_std,temp,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,0.5869557159924673,0.41559232258588474,0.9264501993699272,0.5,24,0.48317064478372806,1.5193907039472336,0.4699298976094432,1.6697106112816154
1.0,0.5869557059924673,0.41559232258588474,0.9264502093699273,0.5,24,0.4831706434165345,1.5193907056576317,0.46992989966508303,1.6697106139785907
1.0,0.5869557059924673,0.41559232258588474,0.9264501993699272,0.5,24,0.4831706445417171,1.5193907057071048,0.46992989768757926,1.669710612442259
1.0,0.5869557059924673,0.41559233258588474,0.9264501993699272,0.5,24,0.48317064370395807,1.5193907072942063,0.46992989782025163,1.669710612530081
0.99999999,0.5869557059924673,0.41559232258588474,0.9264501993699272,0.5,24,0.4831706437012077,1.5193907073675559,0.4699298976523843,1.669710612730992
1.0,0.5869557059924673,0.41559232258588474,0.9264501993699272,0.50000001,24,0.4831706445269574,1.5193907210334943,0.4699298967544786,1.6697106221505407
1.0,0.6362906341740329,0.4232124485362026,0.8409146770006828,0.5,24,0.4976057603948243,1.5262421657338627,0.45044636578142316,1.6586574161253864
1.0,0.6362906441740329,0.4232124485362026,0.8409146670006827,0.5,24,0.4976057629149659,1.5262421680812288,0.45044636315073777,1.6586574157725997
1.0,0.6362906341740329,0.4232124485362026,0.8409146670006827,0.5,24,0.4976057623249484,1.5262421682859233,0.45044636324199194,1.658657415876393
1.0,0.6362906341740329,0.4232124585362026,0.8409146670006827,0.5,24,0.4976057614255496,1.5262421695288835,0.45044636352732126,1.6586574159187482
0.99999999,0.6362906341740329,0.4232124485362026,0.8409146670006827,0.5,24,0.4976057614455592,1.526242169717257,0.4504463633121264,1.6586574161710614
1.0,0.6362906341740329,0.4232124485362026,0.8409146670006827,0.50000001,24,0.49760576191206723,1.5262421818899303,0.45044636212690764,1.6586574242423393
1.0,0.6310304509921784,0.4240013372298652,0.823818638534193,0.5,24,0.5006285836691203,1.5311178917925474,0.4460848537645019,1.6584391282173192
