Vᵢᵢ,Vᵢⱼ,Vᵢᵢ_std,Vᵢⱼ_std,temp,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,-0.8046580202321715,0.1454167912689096,0.13101281281536484,0.5,24,0.6289598814751366,2.029279930818526,0.9098577969174513,2.7072530339325285
1.0,-0.8046580202321715,0.1454167812689096,0.13101282281536483,0.5,24,0.6289598856735654,2.0292799356364695,0.9098578162322583,2.707253062019242
0.99999999,-0.8046580202321715,0.1454167812689096,0.13101281281536484,0.5,24,0.6289598873361971,2.0292799409803592,0.9098577984940847,2.7072530469276144
1.0,-0.8046580202321715,0.1454167812689096,0.13101281281536484,0.5,24,0.6289598947829328,2.029279953863064,0.9098578004979176,2.707253062714364
1.0,-0.8046580102321714,0.1454167812689096,0.13101281281536484,0.5,24,0.6289599050674736,2.0292799802017125,0.9098577818731017,2.707253066282329
1.0,-0.8046580202321715,0.1454167812689096,0.13101281281536484,0.50000001,24,0.6289599021212573,2.02927998073063,0.9098577989845754,2.7072530851788574
1.0,-0.76635641130221,0.2643324125230826,0.1138554744912393,0.5,24,0.6048430877125236,2.045326104312923,0.8017532458659469,2.595939421159678
1.0,-0.76635641130221,0.2643324225230826,0.1138554644912393,0.5,24,0.6048430939537437,2.0453261231787048,0.8017532278325351,2.5959394298265592
0.99999999,-0.76635641130221,0.2643324125230826,0.1138554644912393,0.5,24,0.6048430950910924,2.0453261242993412,0.8017532271071788,2.5959394317964755
1.0,-0.76635641130221,0.2643324125230826,0.1138554644912393,0.5,24,0.6048430959232598,2.0453261243660377,0.8017532263711822,2.595939431413706
1.0,-0.7663564013022099,0.2643324125230826,0.1138554644912393,0.5,24,0.6048431005685784,2.0453261400599256,0.8017532118111714,2.5959394344267475
1.0,-0.76635641130221,0.2643324125230826,0.1138554644912393,0.50000001,24,0.6048431047717906,2.045326156235579,0.8017532253518601,2.595939458252935
1.0,-0.7182023013678731,0.31788468585930274,0.1756077304115473,0.5,24,0.5965444471402982,2.0681351556781586,0.8210311799625453,2.5785184051572245
1.0,-0.7182023013678731,0.31788468585930274,0.17560772041154732,0.5,24,0.5965444474681768,2.0681351572961724,0.821031171083643,2.578518402326133
0.99999999,-0.7182023013678731,0.31788468585930274,0.17560772041154732,0.5,24,0.5965444486026277,2.0681351604193936,0.8210311711968762,2.5785184044135896
1.0,-0.7182023013678731,0.31788469585930273,0.17560772041154732,0.5,24,0.5965444493453578,2.0681351624719886,0.8210311713124618,2.578518404663412
1.0,-0.7182022913678731,0.31788468585930274,0.17560772041154732,0.5,24,0.5965444481187363,2.06813516800727,0.8210311588249636,2.578518398260686
1.0,-0.7182023013678731,0.31788468585930274,0.17560772041154732,0.50000001,24,0.596544455670219,2.0681351887122243,0.8210311700494837,2.5785184277599758
1.0,-0.7096225631579655,0.3051270548841516,0.16483999990059384,0.5,24,0.5976844367913796,2.0779368551430664,0.7994503133255056,2.5732991764422644
1.0,-0.7096225631579655,0.3051270548841516,0.16483998990059384,0.5,24,0.597684438797565,2.0779368604137245,0.7994503027024633,2.5732991763249364
0.99999999,-0.7096225631579655,0.3051270548841516,0.16483998990059384,0.5,24,0.5976844390574556,2.077936861889368,0.7994503029029756,2.5732991771523652
1.0,-0.7096225631579655,0.3051270648841516,0.16483998990059384,0.5,24,0.5976844391807167,2.0779368628205517,0.7994503030808976,2.5732991764087014
1.0,-0.7096225531579654,0.3051270548841516,0.16483998990059384,0.5,24,0.597684441564299,2.0779368756856247,0.7994502901036532,2.573299176158873
1.0,-0.7096225631579655,0.3051270548841516,0.16483998990059384,0.50000001,24,0.5976844475766462,2.07793689266449,0.7994503015972599,2.573299202533143
1.0,-0.7090985513747781,0.3049222620236719,0.16457213122333833,0.5,24,0.5978789334543329,2.0788366133063008,0.7984971521208711,2.573292383643825
1.0,-0.7090985513747781,0.3049222620236719,0.16457212122333834,0.5,24,0.5978789355213076,2.0788366187056946,0.7984971414528228,2.573292383643449
0.99999999,-0.7090985513747781,0.3049222620236719,0.16457212122333834,0.5,24,0.5978789357477471,2.0788366201189707,0.7984971416575309,2.573292384423772
1.0,-0.7090985513747781,0.3049222720236719,0.16457212122333834,0.5,24,0.597878935846702,2.0788366210066815,0.7984971418384587,2.5732923836432438
1.0,-0.709098541374778,0.3049222620236719,0.16457212122333834,0.5,24,0.5978789383728391,2.0788366341605977,0.7984971288547319,2.573292383643367
1.0,-0.7090985513747781,0.3049222620236719,0.16457212122333834,0.50000001,24,0.5978789443210587,2.0788366509904765,0.7984971403450654,2.5732924098805814
1.0,-0.7090973041901018,0.30492512289966606,0.16457102851598426,0.5,24,0.5978796101202145,2.0788397945252735,0.7984945148646058,2.573292383583987
1.0,-0.7090972892889406,0.30492512289966606,0.16457104341714546,0.5,24,0.5978796112892026,2.078839809508927,0.7984945119887058,2.5732923835840413
1.0,-0.7090972892889406,0.30492512289966606,0.16457103851598426,0.5,24,0.59787961230229,2.0788398121553584,0.7984945067600959,2.5732923835840245
1.0,-0.7090972892889406,0.30492512289966606,0.16457102851598426,0.5,24,0.5978796143693258,2.0788398175549596,0.7984944960919911,2.5732923835839885
1.0,-0.7090972892889406,0.30492512289966606,0.16457102851598426,0.5,24,0.5978796143693258,2.0788398175549596,0.7984944960919911,2.5732923835839885
0.99999999,-0.7090972892889406,0.30492512289966606,0.16457102851598426,0.5,24,0.5978796145957925,2.078839818968299,0.7984944962967349,2.573292384364416
0.9999999850988388,-0.7090972892889406,0.30492512289966606,0.16457102851598426,0.5,24,0.5978796147067884,2.0788398196610007,0.7984944963970829,2.5732923847469182
1.0,-0.7090972892889406,0.30492513289966605,0.16457102851598426,0.5,24,0.5978796146947614,2.0788398198560394,0.7984944964776914,2.5732923835839716
1.0,-0.7090972892889406,0.30492513780082725,0.16457102851598426,0.5,24,0.597879614854262,2.0788398209838346,0.7984944966667294,2.5732923835839623
1.0,-0.7090972792889405,0.30492512289966606,0.16457102851598426,0.5,24,0.5978796172208575,2.0788398330099236,0.7984944834939027,2.5732923835839925
1.0,-0.7090972892889406,0.30492512289966606,0.16457102851598426,0.50000001,24,0.5978796231691057,2.0788398498398664,0.7984944949842339,2.573292409821217
1.0,-0.7090972892889406,0.30492512289966606,0.16457102851598426,0.5000000149011612,24,0.5978796274820191,2.0788398656632188,0.7984944944413046,2.573292422680504
1.0,-0.7112411570164898,0.2896900587506643,0.15634026816826097,0.5,24,0.5998117455161621,2.0789307920016076,0.7913452181227602,2.57536102598917
1.0,-0.7112411570164898,0.2896900587506643,0.15634025816826097,0.5,24,0.5998117490564789,2.078930800217032,0.7913452063316925,2.575361028277203
1.0,-0.7112411570164898,0.2896900687506643,0.15634025816826097,0.5,24,0.5998117481638041,2.0789308003371136,0.7913452067945697,2.57536102637326
0.99999999,-0.7112411570164898,0.2896900587506643,0.15634025816826097,0.5,24,0.5998117486029367,2.078930800390949,0.7913452065775641,2.5753610280522343
1.0,-0.7112411470164898,0.2896900587506643,0.15634025816826097,0.5,24,0.5998117532071714,2.0789308180952464,0.7913451934494629,2.575361030428833
1.0,-0.7112411570164898,0.2896900587506643,0.15634025816826097,0.50000001,24,0.5998117580941331,2.078930832662511,0.7913452051913709,2.575361054787109
1.0,-0.7088623474699371,0.3049195190201667,0.16454730495823142,0.5,24,0.5979516748306295,2.079215200777404,0.798173018997439,2.5732930823785516
1.0,-0.7088623474699371,0.3049195190201667,0.16454729495823142,0.5,24,0.5979516769119754,2.079215206207679,0.798173008320483,2.573293082407169
0.99999999,-0.7088623474699371,0.3049195190201667,0.16454729495823142,0.5,24,0.5979516771283127,2.07921520760175,0.7981730085261591,2.5732930831725236
1.0,-0.7088623474699371,0.30491952902016667,0.16454729495823142,0.5,24,0.5979516772202214,2.0792152084766444,0.798173008707695,2.57329308238097
1.0,-0.7088623374699371,0.3049195190201667,0.16454729495823142,0.5,24,0.597951679791004,2.079215221723593,0.7981729957258267,2.5732930824631532
1.0,-0.7088623474699371,0.3049195190201667,0.16454729495823142,0.50000001,24,0.5979516857182108,2.079215238503898,0.7981730072118858,2.5732931086530306
1.0,-0.705222845163099,0.3119071330252134,0.1684432190933016,0.5,24,0.5985547052403555,2.0846207505810113,0.7979656426824238,2.573526078044784
1.0,-0.705222845163099,0.3119071330252134,0.1684432090933016,0.5,24,0.5985547068624252,2.084620755125487,0.7979656324311589,2.5735260774303286
0.99999999,-0.705222845163099,0.3119071330252134,0.1684432090933016,0.5,24,0.5985547072447011,2.0846207568159993,0.7979656326280034,2.5735260784367666
1.0,-0.705222845163099,0.3119071430252134,0.1684432090933016,0.5,24,0.5985547074683121,2.0846207579149763,0.7979656328012147,2.573526077872022
1.0,-0.7052228351630989,0.3119071330252134,0.1684432090933016,0.5,24,0.5985547094910704,2.084620770252265,0.7979656200378913,2.573526077211295
1.0,-0.705222845163099,0.3119071330252134,0.1684432090933016,0.50000001,24,0.5985547156135234,2.0846207874444986,0.7979656313304124,2.573526103624826
1.0,-0.7143039426594326,0.3499770697113021,0.1884915630846018,0.5,24,0.6048490853596182,2.091747239482287,0.8275760264819092,2.592062901106024
1.0,-0.7143039426594326,0.3499770697113021,0.1884915730846018,0.5,24,0.6048490861615212,2.091747240292629,0.8275760336764043,2.592062904930435
0.99999999,-0.7143039426594326,0.3499770697113021,0.1884915630846018,0.5,24,0.6048490871976113,2.091747244045693,0.8275760266354917,2.5920629044434405
1.0,-0.7143039426594326,0.3499770797113021,0.1884915630846018,0.5,24,0.6048490883461418,2.0917472468875564,0.8275760267975362,2.592062905595067
1.0,-0.7143039326594326,0.3499770697113021,0.1884915630846018,0.5,24,0.6048490845095581,2.0917472469953524,0.8275760149469346,2.5920628947667153
1.0,-0.7143039426594326,0.3499770697113021,0.1884915630846018,0.50000001,24,0.6048490930506208,2.0917472705886757,0.8275760255248293,2.5920629260959456
1.0,-0.7347874540667402,0.36234507002153216,0.09971404256056449,0.5,24,0.6195762423665002,2.121830816847851,0.7690291595919245,2.6499370963406155
1.0,-0.7347874540667402,0.36234507002153216,0.09971403256056449,0.5,24,0.6195762450985899,2.12183082279079,0.7690291527919751,2.649937114421355
0.99999999,-0.7347874540667402,0.36234507002153216,0.09971403256056449,0.5,24,0.6195762462513736,2.1218308267679404,0.7690291541492825,2.6499371189503242
1.0,-0.7347874440667401,0.36234507002153216,0.09971403256056449,0.5,24,0.6195762456920577,2.121830828244008,0.769029145741804,2.6499371143591377
1.0,-0.7347874540667402,0.36234508002153215,0.09971403256056449,0.5,24,0.6195762466688199,2.1218308287129686,0.7690291550975158,2.64993712053656
1.0,-0.7347874540667402,0.36234507002153216,0.09971403256056449,0.50000001,24,0.6195762546265203,2.1218308577088494,0.7690291516780874,2.649937143640103
1.0,-0.578206292664472,0.6350567982551136,0.19424401144456382,0.5,24,0.6869572702686324,2.460425349487358,0.7205326918302941,2.737703990066453
1.0,-0.578206292664472,0.6350567982551136,0.19424400144456383,0.5,24,0.6869572712980834,2.460425357816984,0.7205326840187465,2.737703996600642
0.99999999,-0.578206292664472,0.6350567982551136,0.19424400144456383,0.5,24,0.6869572731560315,2.46042536324319,0.7205326848058496,2.7377040015497087
1.0,-0.578206292664472,0.6350568082551137,0.19424400144456383,0.5,24,0.6869572738882282,2.4604253654518335,0.7205326853602526,2.7377040033084112
1.0,-0.5782062826644719,0.6350567982551136,0.19424400144456383,0.5,24,0.686957272675203,2.4604253723561724,0.7205326750864235,2.737703999137848
1.0,-0.578206292664472,0.6350567982551136,0.19424400144456383,0.50000001,24,0.6869572807883721,2.4604253963331244,0.7205326829917024,2.73770402615759
1.0,-0.5002953386020305,0.6832212497545593,0.19377064590766044,0.5,24,0.7307151312397658,2.663096237532809,0.6637798904062429,2.840020871925537
1.0,-0.5002953386020305,0.6832212497545593,0.19377063590766044,0.5,24,0.7307151356894912,2.6630962562473353,0.6637798828570952,2.8400208889982164
0.99999999,-0.5002953386020305,0.6832212497545593,0.19377063590766044,0.5,24,0.7307151363069048,2.663096258771207,0.6637798837135401,2.8400208918719283
1.0,-0.5002953386020305,0.6832212597545594,0.19377063590766044,0.5,24,0.7307151363342401,2.6630962592286203,0.6637798842515337,2.8400208923139045
1.0,-0.5002953286020304,0.6832212497545593,0.19377063590766044,0.5,24,0.730715144206972,2.6630962879864803,0.663779875655923,2.8400209071510223
1.0,-0.5002953386020305,0.6832212497545593,0.19377063590766044,0.50000001,24,0.7307151467281796,2.663096297539767,0.663779881590323,2.840020920403723
1.0,-0.4396719880570635,0.8539745143529845,0.33502814144992077,0.5,24,0.7642393905849669,2.722492605275029,0.7388998594750403,2.8685288715874466
1.0,-0.4396719880570635,0.8539745143529845,0.3350281314499208,0.5,24,0.7642393891817902,2.722492606706992,0.7388998543678377,2.868528870494087
1.0,-0.4396719880570635,0.8539745243529846,0.3350281314499208,0.5,24,0.7642393891768519,2.7224926076209117,0.7388998552802193,2.86852887186158
0.99999999,-0.4396719880570635,0.8539745143529845,0.3350281314499208,0.5,24,0.7642393894847405,2.722492608239453,0.738899854919532,2.8685288722241284
1.0,-0.4396719780570635,0.8539745143529845,0.3350281314499208,0.5,24,0.7642393956515187,2.722492628878714,0.7388998489703993,2.868528880399497
1.0,-0.4396719880570635,0.8539745143529845,0.3350281314499208,0.50000001,24,0.7642393984993634,2.722492644108177,0.7388998537536555,2.868528898394988
1.0,-0.43779572266873795,0.9232151788474672,0.4057892233079864,0.5,24,0.7802133812556307,2.7419385602383595,0.7730993954435067,2.8997504008737462
1.0,-0.43779572266873795,0.9232151888474672,0.4057892233079864,0.5,24,0.7802133813489092,2.74193856113994,0.7730993962625974,2.89975040217211
0.99999999,-0.43779572266873795,0.9232151788474672,0.4057892233079864,0.5,24,0.7802133816305091,2.741938561779592,0.773099395941421,2.89975040252684
1.0,-0.43779572266873795,0.9232151788474672,0.4057892333079864,0.5,24,0.7802133837199499,2.7419385635958937,0.773099398682474,2.8997504049000287
1.0,-0.43779571266873796,0.9232151788474672,0.4057892233079864,0.5,24,0.7802133859623851,2.7419385769870774,0.773099391010308,2.8997504072845506
1.0,-0.43779572266873795,0.9232151788474672,0.4057892233079864,0.50000001,24,0.7802133898142304,2.7419385962063756,0.7730993950238806,2.8997504275822656
1.0,-0.44979995310298493,0.9641099384969991,0.4446185185440756,0.5,24,0.7862293730232512,2.744685371841203,0.7921971185113531,2.9161025809485754
1.0,-0.44979995310298493,0.9641099484969992,0.4446185185440756,0.5,24,0.7862293734377759,2.744685373294965,0.7921971192913602,2.916102582602879
0.99999999,-0.44979995310298493,0.9641099384969991,0.4446185185440756,0.5,24,0.7862293736249276,2.744685373774822,0.7921971189919103,2.9161025828390157
1.0,-0.44979995310298493,0.9641099384969991,0.4446185285440756,0.5,24,0.7862293754271474,2.7446853762444396,0.7921971208595697,2.9161025852145155
1.0,-0.44979994310298493,0.9641099384969991,0.4446185185440756,0.5,24,0.7862293761237814,2.7446853845587276,0.7921971145115468,2.9161025848359516
1.0,-0.44979995310298493,0.9641099384969991,0.4446185185440756,0.50000001,24,0.7862293811641493,2.744685407186642,0.79219711817414,2.9161026071376615
1.0,-0.5298697858629622,1.092074628823311,0.5342044435027554,0.5,24,0.8086118421108004,2.7620843882940846,0.8428106253515182,2.9764647487951015
1.0,-0.5298697758629621,1.092074628823311,0.5342044435027554,0.5,24,0.808611841268793,2.762084390391111,0.8428106220835421,2.976464746131445
1.0,-0.5298697858629622,1.092074628823311,0.5342044535027555,0.5,24,0.8086118428638773,2.762084390846256,0.8428106259535942,2.976464750469839
0.99999999,-0.5298697858629622,1.092074628823311,0.5342044435027554,0.5,24,0.8086118434953699,2.762084391951618,0.842810625800596,2.976464751763559
1.0,-0.5298697858629622,1.092074638823311,0.5342044435027554,0.5,24,0.8086118435429339,2.7620843919793225,0.8428106260313541,2.976464751859845
1.0,-0.5298697858629622,1.092074628823311,0.5342044435027554,0.50000001,24,0.8086118492224971,2.7620844218245857,0.8428106251661046,2.9764647735768026
1.0,-0.5962934353443688,1.1223621629053455,0.5040077415957165,0.5,24,0.826013334348579,2.779225784724185,0.8665615650586252,3.019046358051572
1.0,-0.5962934453443689,1.1223621629053455,0.5040077515957165,0.5,24,0.8260133364953078,2.7792257873004136,0.8665615688353868,3.0190463636258205
1.0,-0.5962934453443689,1.1223621629053455,0.5040077415957165,0.5,24,0.8260133370819671,2.7792257882529805,0.8665615686811119,3.019046364906626
0.99999999,-0.5962934453443689,1.1223621629053455,0.5040077415957165,0.5,24,0.8260133389791233,2.779225793327174,0.8665615691333799,3.0190463688168143
1.0,-0.5962934453443689,1.1223621729053455,0.5040077415957165,0.5,24,0.826013339140435,2.7792257936875764,0.8665615693523093,3.019046369130692
1.0,-0.5962934453443689,1.1223621629053455,0.5040077415957165,0.50000001,24,0.8260133439628944,2.779225820274195,0.8665615685139011,3.019046388744144
1.0,-0.47804574030173475,1.168352332622044,0.6835193236102751,0.5,24,0.8390798957655075,2.869534391666525,0.8405766131171932,3.0331367952969415
1.0,-0.47804574030173475,1.168352342622044,0.6835193236102751,0.5,24,0.8390798959493151,2.869534392605278,0.8405766137130285,3.033136796465619
0.99999999,-0.47804574030173475,1.168352332622044,0.6835193236102751,0.5,24,0.8390798961555099,2.8695343931001887,0.8405766135302132,3.033136796751395
1.0,-0.47804574030173475,1.168352332622044,0.6835193336102752,0.5,24,0.8390798977293401,2.869534397114675,0.8405766135044935,3.033136798809897
1.0,-0.47804573030173475,1.168352332622044,0.6835193236102751,0.5,24,0.839079897924096,2.869534399781023,0.8405766108538585,3.0331367976095907
1.0,-0.47804574030173475,1.168352332622044,0.6835193236102751,0.50000001,24,0.8390799032902893,2.869534425994146,0.8405766129867269,3.033136820311014
1.0,-0.44453743672597046,0.6744226764333108,0.15153359833601188,0.5,24,0.8473832285695924,3.028043209176177,0.6003627027232804,3.1280293799480905
1.0,-0.44453743672597046,0.6744226864333108,0.15153358833601188,0.5,24,0.8473832350333652,3.0280432393499104,0.6003626993583117,3.1280294186196747
0.99999999,-0.44453743672597046,0.6744226764333108,0.15153358833601188,0.5,24,0.8473832362509102,3.028043240654054,0.6003626987098096,3.1280294194818614
1.0,-0.44453743672597046,0.6744226764333108,0.15153358833601188,0.5,24,0.8473832379697996,3.0280432420606367,0.6003626976735934,3.1280294193942098
1.0,-0.44453743672597046,0.6744226764333108,0.15153358833601188,0.50000001,24,0.8473832501771008,3.0280432845893466,0.6003626959043501,3.128029451852698
1.0,-0.44453742672597046,0.6744226764333108,0.15153358833601188,0.5,24,0.8473832608002385,3.0280433014596477,0.6003626926906515,3.1280294637544532
1.0,-0.35478891708127336,0.640436255003215,0.13729257469960815,0.5,24,1.2083209282967515,3.8646461061120694,0.5567420998175956,3.7884749513330997
1.0,-0.35478891708127336,0.640436265003215,0.13729256469960816,0.5,24,1.208320933717682,3.8646461356459865,0.5567421001396898,3.7884749911220403
0.99999999,-0.35478891708127336,0.640436255003215,0.13729256469960816,0.5,24,1.2083209370447676,3.864646140918779,0.5567420993149974,3.7884749953500885
1.0,-0.35478891708127336,0.640436255003215,0.13729256469960816,0.5,24,1.2083209427605603,3.8646461506497034,0.5567420981661977,3.7884750020250895
1.0,-0.35478891708127336,0.640436255003215,0.13729256469960816,0.50000001,24,1.2083209497996976,3.8646461817019158,0.5567420958228586,3.7884750254614707
1.0,-0.35478890708127336,0.640436255003215,0.13729256469960816,0.5,24,1.2083209891167004,3.8646462626229456,0.5567420957378244,3.7884750881576807
0.2909611414535141,-0.3652238994836807,1.073952288710503,0.8537008804900028,0.9150759279727936,24,1.407486199363481,5.061862248420442,0.8825733140264116,4.48749927782842
0.2909611314535141,-0.3652238994836807,1.073952288710503,0.8537008804900028,0.9150759279727936,24,1.4074862086326079,5.061862274633709,0.882573315585664,4.487499291279441
0.2909611314535141,-0.3652238994836807,1.073952288710503,0.8537008804900028,0.9150759279727936,24,1.4074862086326079,5.061862274633709,0.882573315585664,4.487499291279441
0.2909611314535141,-0.3652238994836807,1.073952298710503,0.8537008804900028,0.9150759279727936,24,1.407486208857926,5.06186227480716,0.8825733157593079,4.487499290335441
0.2909611314535141,-0.3652238994836807,1.073952288710503,0.8537008904900029,0.9150759279727936,24,1.4074862103077068,5.061862278735134,0.882573316100439,4.487499292981257
0.2909611314535141,-0.36522388948368073,1.073952288710503,0.8537008804900028,0.9150759279727936,24,1.4074862093821512,5.0618622793345995,0.8825733139206785,4.4874992924076595
0.2909611314535141,-0.3652238994836807,1.073952288710503,0.8537008804900028,0.9150759379727936,24,1.4074862192491584,5.061862310827135,0.8825733154601648,4.487499315115367
0.2909611314535141,-0.43578746914863586,0.45969043115478336,0.8537008804900028,0.9150759279727936,24,1.4597932211417441,5.233393346719642,0.8838348456493447,4.758367968454866
0.2909611314535141,-0.3652238994836807,0.45969043115478336,0.8537008804900028,0.9150759279727936,24,1.4544960210147302,5.243731422499405,0.8722197444792622,4.752563086980125
0.2909611314535141,-0.3652238994836807,1.073952288710503,3.134633472793574,0.9150759279727936,24,1.5362054313455955,5.346866845121966,0.9024987889509645,4.556493722222519
0.2909611314535141,-0.3652238994836807,1.073952288710503,3.134633472793574,0.999886654317379,24,1.6232989272401661,5.6353894779196185,0.9017511354778605,4.735508325340849
0.37742891907691956,-0.1763654351234436,0.809112480779975,3.4275354116166525,2.838910460472107,24,2.8553120118375612,9.520976760525922,0.8235820347400933,7.0215915811264775
-0.09258364140987396,-0.24915990233421326,0.3687129264993152,0.6922251826447925,1.3688978999853134,24,3.4647545978215724,10.298092188644343,1.126716875068246,8.607279395446199
0.24268844723701477,-0.3111059218645096,1.6839850200234407,0.020279160603500872,2.704169988632202,24,3.2352422141800536,10.594370288074053,0.40318911642429234,8.834761916876138
-0.6499376222491264,0.7962680086493492,3.521358952315129,2.1497818828384183,2.811543919146061,24,4.0384977565601945,12.365067619845513,0.9915717979471038,7.308448583062792
-0.8889741182320177,0.4644850499718636,2.962357885856795,3.2858701295719235,2.5825428441258924,24,4.153895725206761,12.71449878856411,1.0564210019300082,7.15746779437682
-0.9410124755099107,-0.04100763790812123,3.472446945640809,2.365370710832213,1.5,24,3.819490225149595,12.981569268570667,1.0684877355595919,6.095771394544789
-0.5464056134223938,-0.43578746914863586,0.45969043115478336,0.8537008804900028,0.9150759279727936,24,5.090308268853548,16.3316409329557,1.3666623165484315,12.206008758555242
