Vᵢⱼ,Ƹᵢⱼ,γ1,Vᵢⱼ_std,Ƹᵢⱼ_std,γ1_std,τ,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
-0.3284265418705549,-0.8568376538226138,1.2451883800737993,2.021298235021873,1.5091734483729753,0.654965071797634,1.9855419429861998,16,1.3234964722306788,4.179186103315822,0.55256553843845,4.731751641754272
-0.3284280969127876,-0.8568398058996798,1.2451898492285496,2.021300552846849,1.5091705499358212,0.6549640737996446,1.9855406799223385,16,1.2808260880721702,4.291527258454218,0.415311510688102,4.706838769142321
-0.3284273574800842,-0.8568381471959009,1.2451872849679515,2.0212971891694074,1.5091733384375354,0.6549652135037732,1.985541412015901,16,1.424684536707299,4.60690570005421,0.547858241807184,5.154763941861394
-0.3284265348997127,-0.8568376495203887,1.2451883894334372,2.021298243960553,1.5091734493125701,0.6549650705865016,1.9855419374388228,16,1.3929632876758364,4.6898322839138,0.4016582793546175,5.091490563268419
-0.32842847010289294,-0.8568403626255453,1.2451902455393546,2.0213012030774746,1.5091698026383642,0.6549644749711749,1.9855404583116518,16,1.6539672125960538,4.757922964718308,0.4402937508649276,5.198216715583236
-0.32842652448194387,-0.8568376430908089,1.2451884034212086,2.0212982573192115,1.509173450716774,0.6549650687764911,1.985541944093169,16,1.399393014804582,4.816196079625977,0.4794499323392339,5.295646011965211
-0.32842652654475735,-0.8568376505356681,1.2451883872246623,2.0212982418511194,1.5091734490908357,0.6549650708723159,1.985541936388051,16,1.5816628904367507,4.860916578289576,0.3504370577823288,5.211353636071904
-0.32842846995416114,-0.856840362412186,1.2451902268398034,2.021301232948016,1.509169802924758,0.6549644748174303,1.9855404583965817,16,1.628962581590632,4.963774925862435,0.3115648182612937,5.275339744123728
-0.30987585859929284,-0.8309080383437645,1.2278015218465677,1.9932117043377153,1.5439563237141414,0.6459570081748751,1.9997082318782087,16,1.5363808306290294,4.970811966150917,0.1798358490207252,5.1506478151716415
-0.3284079910610689,-0.8568117375906539,1.2451710326844896,2.021270196875957,1.5092082012550339,0.654954532205965,1.9855561267988286,16,1.6220915231525397,5.036474044541754,0.5735481338659307,5.610022178407684
