Vᵢⱼ,γ1,Vᵢⱼ_std,γ1_std,τ,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
-0.9013628121955263,0.644018419376014,0.6680025156574247,0.40276587106068057,1.079056939279241,16,3.1737481706084623,8.994231844482668,1.0015977533375664,9.995829597820233
-0.856892010137954,0.032670749022996444,0.9646645450283798,0.5798452211638861,1.3401262774700968,16,3.450058958631887,9.83476284353832,1.3508226160875239,11.185585459625845
-0.8584299788693577,0.03232033266992158,0.9544047637519165,0.5737211877499792,1.331097337025468,16,3.4459934185301906,9.85002031588056,1.3519868427362027,11.202007158616762
-0.7798599818576101,0.03131830212049111,0.9250615777540445,0.5562060540933321,1.4089855065693442,16,3.4629038893649606,9.874241265886827,1.341713159079129,11.215954424965958
-0.8568920381764614,0.0326714032234657,0.9646642700028815,0.5798451520410377,1.3401259221247808,16,3.4941829495533585,9.948666805123674,1.394603163948525,11.343269969072196
-0.8568920281764614,0.0326714032234657,0.9646642700028815,0.5798451520410377,1.3401259221247808,16,3.5870907123744673,10.117981262137071,1.7008225380003659,11.81880380013744
-0.8468953063083065,0.032494085336860934,0.9595258002509763,0.5767779579913659,1.3490627045169863,16,3.5875142735048358,10.12021589165878,1.9620700061925014,12.082285897851282
-0.8569007674864224,0.03279154394927314,0.9646059706122823,0.5798103527653721,1.3400746173563658,16,3.5240112839721043,10.14698824835714,1.438312195116247,11.585300443473386
-0.8568919633157471,0.032670384100960966,0.9646647693940287,0.5798454501307778,1.3401263616001662,16,3.5240238727534297,10.147004400488076,1.7008226269267688,11.847827027414844
-0.8568919643085278,0.03267038205050785,0.964664774636759,0.5798454452759471,1.3401263596043076,16,3.524066826993083,10.147090309331006,1.4383226280550072,11.585412937386014
-0.8568964257254819,0.03266935848815666,0.9646350009375597,0.5798276811504822,1.3401001646922823,16,3.524066396928749,10.14709413794479,1.4383259994270625,11.585420137371853
-0.8568964157254818,0.03266935848815666,0.9646350009375597,0.5798276811504822,1.3401001646922823,16,3.5241952734064146,10.147351890902833,1.7008259977132698,11.848177888616103
-0.8568919672498247,0.032670405602517015,0.9646647505424638,0.5798454308926091,1.3401263636912053,16,3.6650396356103823,10.158173284489287,1.3946032515213185,11.552776536010605
-0.8568867763226936,0.03266933324137465,0.9646625997538615,0.579844155058814,1.340131342556668,16,3.665039738855195,10.158174466779283,1.3946026877198654,11.552777154499147
-0.8577329805296777,0.044231975525955564,0.9590543961180331,0.5764965927719345,1.3351891075622146,16,3.690765811859004,10.162063835457575,1.1311025728918118,11.293166408349386
-0.8568919643085278,0.03267038205050785,0.964664764636759,0.5798454552759471,1.3401263596043076,16,3.70248775349082,10.184277223719082,1.482094501120648,11.666371724839728
-0.8568922627544804,0.032670305950829155,0.9646627718569522,0.5798442577882393,1.3401246137228358,16,3.7025313135443128,10.18436478560799,1.2195947289761588,11.40395951458415
-0.8568823409776105,0.03266925544652259,0.9646603343554795,0.5798427939335675,1.340135307305829,16,3.702572520030179,10.184444495903854,1.132093377471199,11.31653787337505
-0.8568919633157471,0.03267037410096096,0.9646647693940287,0.5798454501307778,1.3401263616001662,16,3.702616626877761,10.184534970008036,1.2195945027673782,11.404129472775416
-0.8568918765307341,0.03266942269775798,0.9646652218727377,0.5798457202181865,1.3401268034568257,16,3.602101528012498,10.187453756494858,1.1321033322070642,11.319557088701924
-0.8568919633157471,0.03267037410096096,0.9646647693940287,0.5798454501307778,1.3401263716001661,16,3.7805644024414438,10.22472462411403,0.9133751270017529,11.138099751115783
1.0,0.00010001490116119385,0.01,0.01,3.0,16,3.6014722668946355,10.239932140335547,1.2604063495035678,11.500338489839116
-0.8568918765307341,0.03266942269775798,0.9646652367738989,0.5798457202181865,1.3401267834873805,16,3.6904485249740797,10.312477402508357,0.9571033322070641,11.26958073471542
-0.8568918940312015,0.03266942300471184,0.9646652308700777,0.5798457255887557,1.3401267878131804,16,3.5995955935669497,10.467067442122262,1.6571033344185184,12.12417077654078
-0.8569191193129797,0.033043692043924655,0.9644836234335641,0.579737316990073,1.339966940300851,16,3.8304688427400704,10.576835820863222,1.3070711161179998,11.883906936981221
-0.8584299788693577,0.03232033266992158,0.9544047737519166,0.5737211877499792,1.331097327025468,16,3.7708118365493175,10.614623437158112,1.0457674669705774,11.66039090412869
