k,param,corr,n_data,agg_corr
1,Vᵢⱼ,0.13886526587057477,8,0.13886526587057477
2,Vᵢⱼ,-0.11818703534600793,16,-0.11818703534600793
3,Vᵢⱼ,0.17049048737446007,24,0.17049048737446007
