round,n_data,param,corr,ci_lower,ci_upper
14,0,Ƹᵢⱼ,,,
14,0,Ƹᵢⱼ_std,,,
14,0,γ1,,,
14,0,γ1_std,,,
14,49,τ,,,
15,49,Vᵢᵢ,,,
15,49,Vᵢᵢ_std,,,
15,49,Vᵢⱼ,0.9229158620775275,0.86662567725925,0.9560088515447783
15,49,Vᵢⱼ_std,,,
15,0,Ƹᵢⱼ,,,
15,0,Ƹᵢⱼ_std,,,
15,0,γ1,,,
15,0,γ1_std,,,
15,49,τ,,,
16,49,Vᵢᵢ,,,
16,49,Vᵢᵢ_std,,,
16,49,Vᵢⱼ,0.9479406374317829,0.9090603977216434,0.9704553082060713
16,49,Vᵢⱼ_std,,,
16,0,Ƹᵢⱼ,,,
16,0,Ƹᵢⱼ_std,,,
16,0,γ1,,,
16,0,γ1_std,,,
16,49,τ,,,
17,49,Vᵢᵢ,,,
17,49,Vᵢᵢ_std,,,
17,49,Vᵢⱼ,0.9490808086095878,0.9110131992401436,0.9711096906265884
17,49,Vᵢⱼ_std,,,
17,0,Ƹᵢⱼ,,,
17,0,Ƹᵢⱼ_std,,,
17,0,γ1,,,
17,0,γ1_std,,,
17,49,τ,,,
18,49,Vᵢᵢ,,,
18,49,Vᵢᵢ_std,,,
18,49,Vᵢⱼ,0.9496521727035337,0.9119924323076588,0.9714374910514674
18,49,Vᵢⱼ_std,,,
18,0,Ƹᵢⱼ,,,
18,0,Ƹᵢⱼ_std,,,
18,0,γ1,,,
18,0,γ1_std,,,
18,49,τ,,,
19,49,Vᵢᵢ,,,
19,49,Vᵢᵢ_std,,,
19,49,Vᵢⱼ,0.9491276497387,0.911093461816242,0.971136567236125
19,49,Vᵢⱼ_std,,,
19,0,Ƹᵢⱼ,,,
19,0,Ƹᵢⱼ_std,,,
19,0,γ1,,,
19,0,γ1_std,,,
19,49,τ,,,
20,49,Vᵢᵢ,,,
20,49,Vᵢᵢ_std,,,
20,49,Vᵢⱼ,0.9495559196813118,0.9118274388769502,0.9713822750256397
20,49,Vᵢⱼ_std,,,
20,0,Ƹᵢⱼ,,,
20,0,Ƹᵢⱼ_std,,,
20,0,γ1,,,
20,0,γ1_std,,,
20,49,τ,,,
21,49,Vᵢᵢ,,,
21,49,Vᵢᵢ_std,,,
21,49,Vᵢⱼ,0.9588949116388127,0.9278929678530503,0.976728667305888
21,49,Vᵢⱼ_std,,,
21,0,Ƹᵢⱼ,,,
21,0,Ƹᵢⱼ_std,,,
21,0,γ1,,,
21,0,γ1_std,,,
21,49,τ,,,
22,49,Vᵢᵢ,,,
22,49,Vᵢᵢ_std,,,
22,49,Vᵢⱼ,0.964537762641869,0.937656275529588,0.9799483845932654
22,49,Vᵢⱼ_std,,,
22,0,Ƹᵢⱼ,,,
22,0,Ƹᵢⱼ_std,,,
22,0,γ1,,,
22,0,γ1_std,,,
22,49,τ,,,
23,49,Vᵢᵢ,,,
23,49,Vᵢᵢ_std,,,
23,49,Vᵢⱼ,0.9692562521036728,0.945852944269056,0.9826345122728471
23,49,Vᵢⱼ_std,,,
23,0,Ƹᵢⱼ,,,
23,0,Ƹᵢⱼ_std,,,
23,0,γ1,,,
23,0,γ1_std,,,
23,49,τ,,,
