dyad_key,player_uuid_predictor,player_uuid_chooser,round,Vᵢᵢ_true_predictor,Vᵢᵢ_std_true_predictor,Vᵢⱼ_true_predictor,Vᵢⱼ_std_true_predictor,temp_true_predictor,n_games_true_predictor,Vᵢᵢ_true_chooser,Vᵢᵢ_std_true_chooser,Vᵢⱼ_true_chooser,Vᵢⱼ_std_true_chooser,temp_true_chooser,n_games_true_chooser,Vᵢᵢ_fitted_predictor,Vᵢⱼ_fitted_predictor,Vᵢᵢ_std_fitted_predictor,Vᵢⱼ_std_fitted_predictor,temp_fitted_predictor,Vᵢᵢ_sim_pred_predictor,Vᵢⱼ_sim_pred_predictor,Vᵢᵢ_std_sim_pred_predictor,Vᵢⱼ_std_sim_pred_predictor,Vᵢᵢ_Vᵢⱼ_cov_fitted_predictor,Vᵢᵢ_Vᵢⱼ_cov_sim_pred_predictor,temp_sim_pred_predictor
"(robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14, robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14)","robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14","robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14",15,1.0,1.0,-0.333,1.0,0.5,24,1.0,1.0,-1.0,1.0,0.5,24,0.9994987796878243,-0.5349907002882093,0.01118274823130728,0.08673710983823583,0.5,0.8363890855421605,-0.35813439138688286,0.1961533387621562,0.28966172367688914,-8.937046638394909e-06,-0.014797152855267516,0.5
"(robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14, robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14)","robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14","robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14",16,1.0,1.0,-0.333,1.0,0.5,24,1.0,1.0,-1.0,1.0,0.5,24,0.9995137764826326,-0.534991772042864,0.011014511682942051,0.08673822201146097,0.5,0.8451339814567708,-0.3614811668050359,0.1898735017639473,0.29088899437234195,-8.670166260388805e-06,-0.01388161275423516,0.5
"(robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14, robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14)","robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14","robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14",17,1.0,1.0,-0.333,1.0,0.5,24,1.0,1.0,-1.0,1.0,0.5,24,0.9995148140062662,-0.5349918461900928,0.01100277667398911,0.08673829895395169,0.5,0.8470406024589372,-0.3622028266319964,0.18790452739618507,0.2910829925730934,-8.651701478652941e-06,-0.013603799491804656,0.5
"(robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14, robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14)","robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14","robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14",18,1.0,1.0,-0.333,1.0,0.5,24,1.0,1.0,-1.0,1.0,0.5,24,0.9995149493214873,-0.5349927251048022,0.011001245248447662,0.08673921099256023,0.5,0.8481116558438841,-0.3629353770761103,0.18674539335388896,0.29100426198625023,-8.648071244135858e-06,-0.013344640115313142,0.5
"(robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14, robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14)","robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14","robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14",19,1.0,1.0,-0.333,1.0,0.5,24,1.0,1.0,-1.0,1.0,0.5,24,0.9982177567256199,-0.7036974134930986,0.021032937108170252,0.09711702794902811,0.5,0.8211104695079121,-0.6993427566024243,0.20526751871904952,0.20733921827411836,-0.0002707905672857948,-0.03263358755307482,0.5
"(robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14, robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14)","robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14","robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14",20,1.0,1.0,-0.333,1.0,0.5,24,1.0,1.0,-1.0,1.0,0.5,24,0.9982379078250158,-0.7079757261703934,0.020914542571028264,0.09348812156686101,0.5,0.8272432171926144,-0.7088780580371189,0.20149871791973722,0.20016005983920993,-0.0002718876827268998,-0.030643864723270076,0.5
"(robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14, robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14)","robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14","robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14",21,1.0,1.0,-0.333,1.0,0.5,24,1.0,1.0,-1.0,1.0,0.5,24,0.9982701336285086,-0.7078426384832827,0.020723758573213874,0.09360607489178599,0.5,0.8368891502870209,-0.7141228269591481,0.19444992212157422,0.19733890509639168,-0.00026888523659821537,-0.028816516762465463,0.5
"(robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14, robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14)","robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14","robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14",22,1.0,1.0,-0.333,1.0,0.5,24,1.0,1.0,-1.0,1.0,0.5,24,0.9983216449165702,-0.7078748886758232,0.020414992231263543,0.0935775231264925,0.5,0.8453780403556118,-0.7206108108935408,0.18843197225402206,0.19411112360410168,-0.00026093260365925053,-0.027041712225212903,0.5
"(robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14, robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14)","robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14","robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14",23,1.0,1.0,-0.333,1.0,0.5,24,1.0,1.0,-1.0,1.0,0.5,24,0.9983521022534381,-0.7077409437271474,0.02023014782256403,0.09369597770755979,0.5,0.8529113118004532,-0.7244795839207673,0.18273490871279796,0.19198266384042,-0.0002580358841018849,-0.025675262529060373,0.5
"(robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~101.00.5_15, robot_chooser_Vii=(1.0,1.0)_Vij=(-0.67,1.0)_t=0.5_n=24~101.00.5_15)","robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~101.00.5_15","robot_chooser_Vii=(1.0,1.0)_Vij=(-0.67,1.0)_t=0.5_n=24~101.00.5_15",0,1.0,1.0,-0.333,1.0,0.5,24,1.0,1.0,-0.67,1.0,0.5,24,1.0,-0.48073004697816196,0.3354384002486888,0.8017613809140428,0.5,1.0,-0.3333,1.0,1.0,,,
