M,architecture_set_idxs,search_method,score_basis,raw_nll_score_M,sum_individual_BIC_score_M,ic_equivalent_score_M,score_M1,score_fully_individualized,A_M,delta_A_M,M_useful_max,n_unique_individual_best_models,delta2_A_M,kneedle_distance,selected_by_kneedle_elbow,first_M_with_low_marginal_gain,selected_M_by_marginal_gain,selected_by_marginal_gain,selected_by_cumulative_gain,selected_by_max_curvature,exploratory_meta_bic,selected_by_meta_bic,library_ampd_min,library_ampd_mean,library_ampd_median,library_ampd_max,nearest_selected_pair_by_ampd
1,[443],exhaustive,ic_equivalent_participant_score,5051.142987478246,9612.722723237126,5192.524970373084,5192.524970373084,5046.049387910872,0.0,,8,8,,0.0,True,,,False,False,False,10445.116372922246,False,,,,,
2,"[443, 455]",exhaustive,ic_equivalent_participant_score,4928.950932837419,9490.530668596299,5070.332915732258,5192.524970373084,5046.049387910872,0.834214499009412,0.834214499009412,8,8,,0.0,False,,,False,True,False,10260.798695816671,True,,,,,
