Vᵢᵢ,αᵢⱼ,γ1,γ3,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,0.8150039899457941,1.6919199290416842,0.34799618428368356,61,3.174726155654362,10.104417520496254,1.8620788247013846,11.966496345197639
1.0,0.8150039799457941,1.6919199390416841,0.34799618428368356,61,3.1747261582416835,10.104417524887117,1.8620787801788126,11.966496305065927
1.0,0.8150039799457941,1.6919199290416842,0.34799618428368356,61,3.1747261561451166,10.104417527856716,1.8620787790611615,11.966496306917875
1.0,0.8150039799457941,1.6919199290416842,0.34799619428368356,61,3.1747261606635466,10.10441752859797,1.8620787801788126,11.966496308776783
0.99999999,0.8150039799457941,1.6919199290416842,0.34799618428368356,61,3.174726155992714,10.10441753639865,1.8620787790611624,11.966496315459812
1.0,0.7160255368405062,1.701214553337754,0.38764998224748753,61,3.1986639665737133,10.182664811466903,1.4465948623003515,11.629259673767258
1.0,0.7160255268405061,1.701214553337754,0.38764998224748753,61,3.1986639669747423,10.182664819567993,1.446594822202921,11.629259641770911
1.0,0.7160255268405061,1.701214553337754,0.38764999224748753,61,3.198663971243331,10.182664819962723,1.446594824691128,11.629259644653848
1.0,0.7160255268405061,1.701214563337754,0.38764998224748753,61,3.198663969272049,10.182664821483149,1.446594824691128,11.629259646174278
0.99999999,0.7160255268405061,1.701214553337754,0.38764998224748753,61,3.1986639664816785,10.182664825106038,1.4465948222029212,11.629259647308958
1.0,0.2327941773157198,1.6794178314783024,0.4967322344675884,61,3.2493995473152673,10.655872787723485,0.19518114520372612,10.851053932927211
1.0,0.2327941673157198,1.6794178314783024,0.4967322444675884,61,3.2493995492894996,10.655872798975688,0.19518113709945445,10.851053936075147
1.0,0.2327941673157198,1.6794178414783023,0.4967322344675884,61,3.2493995479040603,10.655872799339669,0.19518113709945445,10.851053936439126
1.0,0.2327941673157198,1.6794178314783024,0.4967322344675884,61,3.2493995477391087,10.655872799689126,0.1951811321672525,10.851053931856375
0.99999999,0.2327941673157198,1.6794178314783024,0.4967322344675884,61,3.249399547810448,10.655872804907588,0.19518113216725277,10.85105393707484
1.0,0.22197631610118299,1.6752430483256466,0.36449905604076815,61,3.2322488792994957,10.678766066282252,0.14017696655084588,10.818943032833097
1.0,0.221976306101183,1.6752430583256466,0.36449905604076815,61,3.2322488802550624,10.67876607630014,0.1401769552329515,10.818943031533093
1.0,0.221976306101183,1.6752430483256466,0.36449906604076815,61,3.2322488817630197,10.678766077425708,0.14017695523295154,10.818943032658662
1.0,0.221976306101183,1.6752430483256466,0.36449905604076815,61,3.232248880560518,10.67876607814506,0.14017695412017245,10.81894303226523
0.99999999,0.221976306101183,1.6752430483256466,0.36449905604076815,61,3.232248880874844,10.678766084140715,0.1401769541201727,10.818943038260883
1.0,0.2135184024851842,1.6776104512387253,0.347914929893253,61,3.231345970641955,10.68967788628603,0.12856446607421618,10.818242352360247
1.0,0.2135183924851842,1.6776104612387253,0.347914929893253,61,3.2313459716939685,10.689677897309474,0.1285644548318967,10.81824235214137
1.0,0.2135183924851842,1.6776104512387253,0.347914939893253,61,3.2313459731228513,10.68967789749896,0.1285644548318967,10.818242352330854
1.0,0.2135183924851842,1.6776104512387253,0.347914929893253,61,3.2313459719908724,10.689677898201657,0.12856445411718592,10.818242352318848
0.99999999,0.2135183924851842,1.6776104512387253,0.347914929893253,61,3.2313459722778815,10.689677903651281,0.1285644541171862,10.818242357768467
1.0,0.21291244513521887,1.678148386945182,0.34694641435634566,61,3.2313027391648412,10.690425677402583,0.12781043469498965,10.818236112097575
1.0,0.21291243023405768,1.6781484119515417,0.34694641435634566,61,3.2313027404690784,10.69042569345328,0.12781041868527518,10.818236112138555
1.0,0.21291243023405768,1.678148386945182,0.34694642925750685,61,3.23130274286122,10.690425694123762,0.12781041797522835,10.81823611209899
