Vᵢᵢ,Ʌᵢᵢ,Vᵢⱼ,Ʌᵢⱼ,Ƹᵢⱼ,Ʒᵢⱼ,γ1,γ2,γ3,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
-0.41739222407341003,-0.06762943230569363,-0.43001095950603485,0.9541071802377701,-0.26635047793388367,0.23489753901958466,0.7593228280897915,1.8126895636673748,0.6554464317796564,39,9.044120629793587,25.232767666910323,3.8902487215555426,29.12301638846587
-0.6021802150870668,-0.3924995485400078,-0.10900389290432,-0.0029720349623401088,0.34138584007114137,0.6865708053129003,0.9492308273224286,0.16494967513774011,1.5582377205148008,39,9.076046673765106,25.296502085697753,4.708444305842322,30.004946391540074
1.0,0.8853118312585291,0.05767967547566487,0.05580853537038738,-0.14262543911121725,0.5038073791494129,2.0,0.7937457569858335,0.13324141018666297,39,9.101671169774992,25.348765518714966,0.20859497874125107,25.557360497456216
0.99999999,0.8853118312585291,0.05767967547566487,0.05580853537038738,-0.14262543911121725,0.5038073691494128,2.0,0.7937457569858335,0.13324141018666297,39,9.101671171445567,25.348765522094336,0.2085949738226131,25.557360495916953
1.0,0.8853118312585291,0.05767967547566487,0.05580853537038738,-0.14262543911121725,0.5038073691494128,2.0,0.7937457669858335,0.13324141018666297,39,9.101671171965622,25.34876552315075,0.20859497186125597,25.557360495012006
1.0,0.8853118312585291,0.05767967547566487,0.05580853537038738,-0.14262543911121725,0.5038073691494128,2.0,0.7937457569858335,0.13324141018666297,39,9.101671171989867,25.348765523197514,0.2085949727617475,25.557360495959262
1.0,0.8853118312585291,0.05767968547566487,0.05580853537038738,-0.14262543911121725,0.5038073691494128,2.0,0.7937457569858335,0.13324141018666297,39,9.10167117214602,25.348765523508884,0.2085949738115135,25.5573604973204
1.0,0.8853118312585291,0.05767967547566487,0.05580854537038738,-0.14262543911121725,0.5038073691494128,2.0,0.7937457569858335,0.13324141018666297,39,9.10167117214602,25.348765523508884,0.2085949738115135,25.5573604973204
1.0,0.8853118412585291,0.05767967547566487,0.05580853537038738,-0.14262543911121725,0.5038073691494128,2.0,0.7937457569858335,0.13324141018666297,39,9.101671172534166,25.348765524300685,0.20859497170088198,25.557360496001564
1.0,0.8853118312585291,0.05767967547566487,0.05580853537038738,-0.14262543911121725,0.5038073691494128,2.0,0.7937457569858335,0.13324142018666296,39,9.101671172734436,25.348765524734752,0.20859497186125595,25.557360496596004
1.0,0.8853118312585291,0.05767967547566487,0.05580853537038738,-0.14262543911121725,0.5038073691494128,1.99999999,0.7937457569858335,0.13324141018666297,39,9.10167117317295,25.348765525592203,0.2085949736622392,25.557360499254443
1.0,0.8853118312585291,0.05767967547566487,0.05580853537038738,-0.14262542911121726,0.5038073691494128,2.0,0.7937457569858335,0.13324141018666297,39,9.101671174669,25.348765528617143,0.20859496678224407,25.557360495399386
0.9759032155397371,0.9133192966360961,-0.0248835913218104,-0.025810303830334707,-0.34420563460525,0.23264614075161305,2.0,0.9773923699992834,0.0001,39,9.1024356652015,25.349887766903734,0.1610771650337667,25.5109649319375
0.9759032155397371,0.9133192966360961,-0.0248835913218104,-0.025810303830334707,-0.34420563460525,0.23264613075161306,2.0,0.9773923699992834,0.0001,39,9.102435667830623,25.349887772273267,0.16107715969788777,25.51096493197115
0.9759032155397371,0.9133192966360961,-0.0248835913218104,-0.025810303830334707,-0.34420563460525,0.23264613075161306,2.0,0.9773923799992834,0.0001,39,9.102435667835067,25.34988777228205,0.16107715942029371,25.51096493170234
0.9759032155397371,0.9133192966360961,-0.0248835813218104,-0.025810303830334707,-0.34420563460525,0.23264613075161306,2.0,0.9773923699992834,0.0001,39,9.10243566785019,25.34988777232915,0.1610771592289693,25.51096493155812
0.9759032155397371,0.9133192966360961,-0.0248835913218104,-0.025810293830334705,-0.34420563460525,0.23264613075161306,2.0,0.9773923699992834,0.0001,39,9.10243566785019,25.34988777232915,0.1610771592289693,25.51096493155812
0.9759032255397372,0.9133192966360961,-0.0248835913218104,-0.025810303830334707,-0.34420563460525,0.23264613075161306,2.0,0.9773923699992834,0.0001,39,9.102435668373039,25.34988777337572,0.16107715867319605,25.51096493204891
0.9759032155397371,0.9133193066360962,-0.0248835913218104,-0.025810303830334707,-0.34420563460525,0.23264613075161306,2.0,0.9773923699992834,0.0001,39,9.102435668373039,25.34988777337572,0.16107715867319605,25.51096493204891
0.9759032155397371,0.9133192966360961,-0.0248835913218104,-0.025810303830334707,-0.34420563460525,0.23264613075161306,2.0,0.9773923699992834,0.00010001,39,9.102435668748559,25.349887774184214,0.16107715942029371,25.510964933604505
0.9759032155397371,0.9133192966360961,-0.0248835913218104,-0.025810303830334707,-0.34420563460525,0.23264613075161306,1.99999999,0.9773923699992834,0.0001,39,9.102435668994532,25.349887774641044,0.16107715997548197,25.510964934616524
0.9759032155397371,0.9133192966360961,-0.0248835913218104,-0.025810303830334707,-0.34420562460525,0.23264613075161306,2.0,0.9773923699992834,0.0001,39,9.102435670137476,25.349887776952507,0.16107715436200906,25.51096493131451
0.9777738427447573,0.9053189831880991,-0.00456414533732927,-0.02118941036590253,-0.28989229350260043,0.27077937574656197,2.0,0.9974856375237405,0.0001,39,9.105504692926976,25.356031861235678,0.15201959946638094,25.508051460702056
0.9777738427447573,0.9053189831880991,-0.00456414533732927,-0.02118941036590253,-0.28989229350260043,0.270779365746562,2.0,0.9974856375237405,0.0001,39,9.105504695461306,25.356031866403114,0.15201959428016804,25.508051460683276
