Vᵢᵢ,Ʌᵢᵢ,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
0.9044217627328609,0.5797941884030271,59,9.033923134948028,29.101076738482003,0.19619947398370932,29.297276212465718
0.904421772732861,0.5797941884030271,59,9.033923129879271,29.101076744335376,0.1961994663758946,29.297276210711274
0.9044217627328609,0.5797941984030272,59,9.033923129879271,29.101076744335376,0.1961994663758946,29.297276210711274
0.908653393146474,0.5983983705924555,59,9.022701064206224,29.116068907604458,0.17921099817926392,29.295279905783733
0.908653393146474,0.5983983705924555,59,9.022701064206224,29.116068907604458,0.17921099817926392,29.295279905783733
0.908653403146474,0.5983983705924555,59,9.022701059444202,29.116068914875445,0.17921099090827747,29.295279905783723
0.908653393146474,0.5983983805924555,59,9.022701059444202,29.116068914875445,0.17921099090827747,29.295279905783723
0.9086534080476352,0.5983983705924555,59,9.022701057110261,29.11606891843907,0.1792109873446499,29.295279905783723
0.908653393146474,0.5983983854936167,59,9.022701057110261,29.11606891843907,0.1792109873446499,29.295279905783723
0.9086554465779588,0.5984073984161837,59,9.02269578736923,29.116076965140024,0.1792029411041357,29.295279906244158
0.9086554565779589,0.5984073984161837,59,9.022695782607352,29.116076972411683,0.17920293383331268,29.295279906245
0.9086554465779588,0.5984074084161838,59,9.022695782607352,29.116076972411683,0.17920293383331268,29.295279906245
0.9088485991015499,0.5992565852278857,59,9.022200151247317,29.11683824689207,0.17844587589163916,29.295284122783713
0.90884860910155,0.5992565852278857,59,9.022200146499117,29.116838254227563,0.17844586863619066,29.295284122863755
0.9088485991015499,0.5992565952278858,59,9.022200146499117,29.116838254227563,0.17844586863619066,29.295284122863755
0.9275703499607694,0.6815657801961927,59,8.98049871026484,29.22105129333633,0.11267124150214801,29.33372253483848
0.9275703499607694,0.6815657901961928,59,8.980498706718546,29.221051306521368,0.11267123573690598,29.33372254225827
0.9275703599607694,0.6815657801961927,59,8.980498706718548,29.221051306521368,0.11267123573690598,29.333722542258275
0.7463480159640312,0.4399439264088869,59,9.259982806319137,29.239858510071837,0.48831409224733824,29.728172602319173
0.8221336607292108,0.2180172243918228,59,9.445424483052832,29.579458846582668,0.6794663634587773,30.258925210041447
0.8221336507292107,0.2180172343918228,59,9.445424483052832,29.579458846582668,0.6794663634587774,30.258925210041443
0.8221336507292107,0.2180172243918228,59,9.44542449798146,29.579458877021573,0.6794663776165519,30.258925254638115
0.8221336507292107,0.2180172243918228,59,9.44542449798146,29.579458877021573,0.6794663776165519,30.258925254638115
1.0,0.99999999,59,8.907066706663725,30.101061103701426,7.375000074115202e-17,30.101061103701426
0.99999999,1.0,59,8.907066706663725,30.101061103701426,7.375000074115202e-17,30.101061103701426
1.0,1.0,59,8.9070667060922,30.101061134337066,0.0,30.101061134337066
0.9232463389635086,-0.1595994122326374,59,10.015683467378494,30.86276317957436,1.1273195798142397,31.9900827593886
-0.26871262677013874,0.9981163162738085,59,10.113342893905948,31.09047250487369,1.1906310508820792,32.28110355575578
0.47658180223869206,0.06988920488155714,59,10.77301979157463,32.61038726912446,1.5581505681922416,34.1685378373167
-0.4764965921640396,0.9193869829177856,59,11.270753982918547,33.721239968318656,1.7881353722151785,35.50937534053382
-0.7154690474271774,0.9781268611550331,59,12.40397771855432,36.14199287332881,2.2260389307481447,38.36803180407695
0.31072287261486053,-0.42244818806648254,59,15.988895344826219,43.38102834904542,3.288795558340448,46.66982390738587
-0.8181350603699684,0.6154784858226776,59,17.08151647977459,45.60713067946015,3.5781257892298486,49.185256468689985
-0.5423597022891045,0.13434891495853662,59,19.721005009880116,51.27625620236853,4.276405514526532,55.55266171689506
0.04670143127441406,-0.4961146265268326,59,20.265899055371722,52.520868682105295,4.424723438294039,56.94559212039934
0.04670143127441406,-0.5230429619550705,59,20.6203120660306,53.34760053569074,4.522547190223189,57.870147725913924
-0.9365572445094585,-0.1595994122326374,59,27.96801483163714,75.46354300808208,7.069812206777688,82.5333552148598
-0.6167314052581787,-0.4961146265268326,59,28.133281513918817,76.1244724149278,7.146235182979773,83.27070759790757
-0.8181350603699684,-0.42244818806648254,59,29.336181839897,81.2679177008024,7.744767595159619,89.01268529596203
-0.9365572445094585,-0.759908139705658,59,32.81736309073279,100.60795478006587,10.077094048316699,110.68504882838255
