Vᵢᵢ,Vᵢⱼ,Ƹᵢⱼ,Ʒᵢⱼ,γ1,γ2,γ3,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,0.24233433622137301,0.7620912257459527,0.002793396565944196,1.941763703312667,0.0001,1.6251460004378262,61,3.37047200252544,10.66490548213539,0.8740332157850463,11.538938697920436
1.0,0.24233432622137302,0.7620912257459527,0.002793396565944196,1.9417637133126668,0.0001,1.6251460004378262,61,3.370472004012433,10.66490548928589,0.8740332127985044,11.538938702084392
1.0,0.24233432622137302,0.7620912257459527,0.002793396565944196,1.941763703312667,0.00010001,1.6251460004378262,61,3.370472003763875,10.66490548971623,0.8740332127985044,11.538938702514736
1.0,0.24233432622137302,0.7620912257459527,0.002793396565944196,1.941763703312667,0.0001,1.6251460004378262,61,3.370472004023948,10.66490549067052,0.8740332022143239,11.538938692884845
1.0,0.24233432622137302,0.7620912257459527,0.002793396565944196,1.941763703312667,0.0001,1.6251460104378261,61,3.3704720058470814,10.664905490860475,0.8740332127985044,11.538938703658978
1.0,0.24233432622137302,0.7620912357459527,0.002793396565944196,1.941763703312667,0.0001,1.6251460004378262,61,3.3704720074653065,10.664905491968522,0.8740332129227087,11.538938704891233
1.0,0.24233432622137302,0.7620912257459527,0.002793406565944196,1.941763703312667,0.0001,1.6251460004378262,61,3.3704720158232284,10.664905508991781,0.8740332129227087,11.538938721914487
0.99999999,0.24233432622137302,0.7620912257459527,0.002793396565944196,1.941763703312667,0.0001,1.6251460004378262,61,3.370472012160856,10.664905521953987,0.8740332022143242,11.538938724168313
1.0,0.20971665085735317,0.678364716876663,0.0009081429457485163,1.9206145449503527,0.0001,1.6141328175817524,61,3.348070577754866,10.694879537689966,0.7131260600020778,11.408005597692043
1.0,0.20971664085735317,0.678364726876663,0.0009081429457485163,1.9206145449503527,0.0001,1.6141328175817524,61,3.3480705809436957,10.694879543951188,0.7131260577677656,11.408005601718955
