Vᵢᵢ,αᵢⱼ,γ1,γ3,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,0.6378572631443051,1.4915497367550077,1.2552299973461762,59,7.361704101059483,23.69560285315483,2.0228205276452793,25.718423380800118
1.0,0.6378572731443052,1.4915497267550077,1.2552299973461762,59,7.361704112059156,23.695602854854222,2.0228205432488564,25.71842339810307
1.0,0.6378572631443051,1.4915497267550077,1.2552300073461762,59,7.361704116565497,23.695602863122982,2.0228205276452793,25.718423390768255
1.0,0.6378572631443051,1.4915497267550077,1.2552299973461762,59,7.361704113182338,23.69560287690551,2.022820505615277,25.718423382520786
0.99999999,0.6378572631443051,1.4915497267550077,1.2552299973461762,59,7.361704130355639,23.69560291640056,2.022820505615277,25.71842342201584
1.0,0.5881866840211359,1.4833894613022678,1.2229832975959858,59,7.387378012915829,23.910730586372377,1.7565621969238072,25.66729278329618
1.0,0.5881866740211359,1.4833894613022678,1.2229833075959857,59,7.387378018871312,23.91073059895236,1.756562183058789,25.667292782011142
1.0,0.5881866740211359,1.4833894713022677,1.2229832975959858,59,7.387378009394064,23.91073060051337,1.756562183058789,25.667292783572154
1.0,0.5881866740211359,1.4833894613022678,1.2229832975959858,59,7.387378019807077,23.91073062038809,1.756562162220793,25.667292782608882
0.99999999,0.5881866740211359,1.4833894613022678,1.2229832975959858,59,7.387378034567627,23.91073065427204,1.7565621622207932,25.667292816492832
1.0,0.5947502824824095,1.4804269788449709,1.2078114720592186,59,7.387442369026681,23.92702396573591,1.7421637444349956,25.669187710170903
1.0,0.5947502724824094,1.4804269788449709,1.2078114820592185,59,7.387442374983416,23.927023978052738,1.7421637296477628,25.669187707700498
1.0,0.5947502724824094,1.4804269888449708,1.2078114720592186,59,7.387442365738005,23.927023980011235,1.7421637296477628,25.669187709658992
1.0,0.5947502724824094,1.4804269788449709,1.2078114720592186,59,7.38744237612339,23.92702399980446,1.7421637093447289,25.66918770914919
0.99999999,0.5947502724824094,1.4804269788449709,1.2078114720592186,59,7.387442390823022,23.927024033529023,1.742163709344729,25.66918774287375
1.0,0.5764598226376736,1.4677661921861558,1.2393053927039184,59,7.410481563068525,23.947933171141074,1.7177290685750692,25.66566223971614
1.0,0.5764598126376735,1.4677662021861557,1.2393053927039184,59,7.410481558927017,23.94793318395174,1.7177290554225517,25.665662239374285
1.0,0.5764598126376735,1.4677661921861558,1.2393054027039183,59,7.410481568985141,23.947933184154053,1.7177290554225517,25.665662239576605
1.0,0.5764598126376735,1.4677661921861558,1.2393053927039184,59,7.410481569643624,23.947933204887214,1.7177290345639398,25.66566223945115
0.99999999,0.5764598126376735,1.4677661921861558,1.2393053927039184,59,7.410481584724181,23.947933240063605,1.7177290345639404,25.665662274627543
1.0,0.5755770467690091,1.4680046111838372,1.2389120632341066,59,7.41083858531788,23.951241305856282,1.7144058607045702,25.665647166560845
1.0,0.5755770367690091,1.4680046111838372,1.2389120732341066,59,7.410838591267544,23.95124131896155,1.7144058475995667,25.665647166561115
