Vᵢᵢ,Ʌᵢᵢ,Vᵢⱼ,Ʌᵢⱼ,Ƹᵢⱼ,Ʒᵢⱼ,γ1,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,1.0,0.06782871782527299,0.17412693799603562,0.7169249640902059,-0.09878078796730702,1.317746406047943,61,3.268292705032975,10.79794798211178,0.7894386692844185,11.587386651396194
1.0,1.0,0.06782871782527299,0.17412693799603562,0.716924974090206,-0.09878078796730702,1.317746396047943,61,3.2682927054188164,10.797947987267701,0.7894386629105011,11.587386650178201
1.0,1.0,0.06782872782527298,0.17412693799603562,0.7169249640902059,-0.09878078796730702,1.317746396047943,61,3.2682927107650706,10.797947997630237,0.7894386548779994,11.587386652508235
1.0,1.0,0.06782871782527299,0.17412694799603562,0.7169249640902059,-0.09878078796730702,1.317746396047943,61,3.2682927107650706,10.797947997630237,0.7894386548779994,11.587386652508235
1.0,1.0,0.06782871782527299,0.17412693799603562,0.7169249640902059,-0.09878078796730702,1.317746396047943,61,3.268292707968094,10.797947999393111,0.7894386514906202,11.587386650883731
1.0,1.0,0.06782871782527299,0.17412693799603562,0.7169249640902059,-0.09878077796730703,1.317746396047943,61,3.2682927149903716,10.797948011046394,0.7894386400707395,11.587386651117134
0.99999999,1.0,0.06782871782527299,0.17412693799603562,0.7169249640902059,-0.09878078796730702,1.317746396047943,61,3.268292710741339,10.797948015854994,0.7894386514906203,11.587386667345614
1.0,0.99999999,0.06782871782527299,0.17412693799603562,0.7169249640902059,-0.09878078796730702,1.317746396047943,61,3.2682927107413393,10.797948015854994,0.7894386514906203,11.587386667345614
1.0,1.0,0.06218949867188114,0.16979449973049426,0.7171867254766536,-0.09538877765351851,1.317940604187038,61,3.2679783634925905,10.803578454232317,0.7829083044756967,11.586486758708016
1.0,1.0,0.06218949867188114,0.16979449973049426,0.7171867354766537,-0.09538877765351851,1.3179405941870381,61,3.2679783640467996,10.803578459811693,0.7829082980470805,11.586486757858774
1.0,1.0,0.06218950867188114,0.16979449973049426,0.7171867254766536,-0.09538877765351851,1.3179405941870381,61,3.267978368729396,10.803578468381021,0.7829082899187993,11.58648675829982
1.0,1.0,0.06218949867188114,0.16979450973049426,0.7171867254766536,-0.09538877765351851,1.3179405941870381,61,3.267978368729396,10.803578468381021,0.7829082899187993,11.58648675829982
