Vᵢᵢ,γ1,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,1.5962129808775558,61,3.2848428433285903,11.080370617991445,0.995315771987322,12.075686389978765
1.0,1.5962129708775559,61,3.284842848078227,11.080370648199965,0.9953157385993957,12.075686386799362
0.99999999,1.5962129708775559,61,3.2848428509031833,11.08037066892285,0.9953157385993958,12.075686407522241
1.0,1.5893446978267365,61,3.2882370869261344,11.102017367534188,0.9725160839981647,12.074533451532352
1.0,1.5893446878267365,61,3.288237092062591,11.102017400359808,0.9725160509948619,12.07453345135467
0.99999999,1.5893446878267365,61,3.2882370951178794,11.102017422475718,0.9725160509948624,12.074533473470579
1.0,1.5889381550143125,61,3.288446379826119,11.103355018764896,0.9711748212086545,12.074529839973549
1.0,1.5889381413372892,61,3.2884463868831637,11.103355063872481,0.9711747761010981,12.074529839973577
1.0,1.5889381313372892,61,3.2884463920429456,11.103355096853043,0.9711747431205627,12.074529839973605
1.0,1.5889381313372892,61,3.2884463920429456,11.103355096853043,0.9711747431205627,12.074529839973605
0.99999999,1.5889381313372892,61,3.2884463951120697,11.103355119051324,0.9711747431205633,12.074529862171886
0.9999999850988388,1.5889381313372892,61,3.2884463966162962,11.103355129931055,0.9711747431205634,12.074529873051617
0.9485675492579914,1.430042981181129,61,3.5195247403842016,12.400683002301097,0.5252303354269497,12.925913337728042
0.9485675592579914,1.430042971181129,61,3.5195247487601957,12.400683043242774,0.5252303084643263,12.925913351707099
0.9485675492579914,1.430042971181129,61,3.519524761069567,12.40068310472777,0.5252303113445432,12.925913416072314
1.0,1.99999999,61,3.307069155554405,12.847098040745871,2.799999944000001,15.647097984745871
0.99999999,2.0,61,3.3070691554100895,12.847098093950768,2.8,15.647098093950769
1.0,2.0,61,3.3070691578808233,12.847098154960113,2.8,15.647098154960112
0.14233368635177612,1.9453147949189789,61,6.279630037617166,21.75893425815028,4.561792387767006,26.32072664591728
0.48667943362671284,1.1332909987048856,61,7.060473819020756,23.857464237578263,0.7875405837531068,24.645004821331366
0.7541875643655658,0.7233273386591496,61,8.797897917586123,27.98737455643815,0.3835202421286929,28.370894798566844
0.7541875743655658,0.7233273286591495,61,8.797897957947235,27.987374647402717,0.3835202438568662,28.37089489125959
0.7541875643655658,0.7233273286591495,61,8.797898008112977,27.98737476128853,0.38352025762236247,28.3708950189109
0.7541875643655658,0.7233273286591495,61,8.797898008112977,27.98737476128853,0.38352025762236247,28.3708950189109
0.05776066705584526,1.9022987941684617,61,9.988526914561112,30.61533411639084,4.765482608613736,35.38081672500458
0.14233368635177612,1.0169587892081773,61,11.810011408376605,34.4098350990347,2.0604614970753548,36.47029659611005
0.05477108061313629,1.2648700544128868,61,12.599042412820431,36.007692511867795,2.698118796155842,38.70581130802364
0.013052314519882202,1.9453147949189789,61,12.894324813791064,36.601588793255054,5.229520227028363,41.83110902028342
0.7558818086981773,0.1481199386511567,61,13.22774175892891,37.27046096058359,2.1988213246949107,39.4692822852785
0.05477108061313629,0.8179213639010161,61,13.414306395204447,37.64436924252861,2.5945089513529878,40.23887819388159
0.05776066705584526,0.2555231451452227,61,13.885520220910964,38.587278627748574,4.0377700942922194,42.625048722040795
-0.009148508310317993,1.7237765919543708,61,14.559867478712885,39.93637772218903,4.318253147280867,44.2546308694699
-0.20444367093261384,0.3442996598339947,61,14.60404827249036,40.02489188034532,5.2657569791216465,45.29064885946698
-0.2576552778482437,0.5179880501104317,61,15.372095997251211,41.56658021341738,5.079290489660483,46.64587070307787
-0.5580405294895172,0.3742757034633519,61,15.898974249675172,42.630691761875376,7.893259323063124,50.52395108493851
-0.5580405294895172,0.7233273286591495,61,19.382612380079674,49.91518952598368,7.011306564076803,56.92649609006047
-0.08651065791491419,1.8797271686386385,61,21.593132323403378,54.897672301312944,5.472390842810234,60.37006314412318
-0.6793966889381409,1.2648700544128868,61,32.730782576104396,90.30371003266484,8.093482276715013,98.39719230937986
-0.3689723163843155,1.743501920019109,61,35.99568584101048,107.54313118928015,6.795264862676472,114.33839605195662
-0.7508364617824554,1.9022987941684617,61,46.46575550666666,256.1378382704667,10.86280000362135,267.00063827408803
