Vᵢᵢ,Ʌᵢᵢ,Vᵢⱼ,Ʌᵢⱼ,αᵢⱼ,βᵢⱼ,γ1,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,1.0,0.13250195316653454,0.09064161035529977,0.737038570067152,-0.0938319023153375,1.3060188410711904,61,3.266554201991077,10.807504363219257,0.7803102413263797,11.587814604545638
1.0,1.0,0.13250195316653454,0.09064161035529977,0.7370385800671521,-0.0938319023153375,1.3060188310711904,61,3.266554202953361,10.807504369978046,0.7803102358215114,11.587814605799556
1.0,1.0,0.13250195316653454,0.09064162035529977,0.737038570067152,-0.0938319023153375,1.3060188310711904,61,3.2665542063407096,10.807504375204786,0.7803102273133349,11.587814602518119
1.0,1.0,0.13250196316653454,0.09064161035529977,0.737038570067152,-0.0938319023153375,1.3060188310711904,61,3.266554206340709,10.807504375204788,0.7803102273133349,11.587814602518119
1.0,1.0,0.13250195316653454,0.09064161035529977,0.737038570067152,-0.0938319023153375,1.3060188310711904,61,3.266554204906098,10.807504380581024,0.7803102241893248,11.58781460477035
1.0,1.0,0.13250195316653454,0.09064161035529977,0.737038570067152,-0.0938318923153375,1.3060188310711904,61,3.266554211377967,10.807504390557627,0.7803102125571384,11.587814603114767
0.99999999,1.0,0.13250195316653454,0.09064161035529977,0.737038570067152,-0.0938319023153375,1.3060188310711904,61,3.266554207887251,10.807504397514226,0.7803102241893248,11.587814621703554
1.0,0.99999999,0.13250195316653454,0.09064161035529977,0.737038570067152,-0.0938319023153375,1.3060188310711904,61,3.2665542078872516,10.807504397514228,0.7803102241893248,11.587814621703556
1.0,1.0,0.1416543706482154,0.09196001318985916,0.7288052381488688,-0.09324824242194969,1.3046561463120636,61,3.270964868210963,10.815032221072487,0.7711263526382572,11.586158573710744
1.0,1.0,0.1416543706482154,0.09196001318985916,0.7288052481488688,-0.09324824242194969,1.3046561363120637,61,3.2709648688313924,10.815032227055667,0.7711263470862625,11.586158574141924
1.0,1.0,0.1416543806482154,0.09196001318985916,0.7288052381488688,-0.09324824242194969,1.3046561363120637,61,3.270964873275354,10.815032235210138,0.7711263388481149,11.586158574058254
1.0,1.0,0.1416543706482154,0.09196002318985916,0.7288052381488688,-0.09324824242194969,1.3046561363120637,61,3.270964873275354,10.815032235210138,0.7711263388481149,11.586158574058254
1.0,1.0,0.1416543706482154,0.09196001318985916,0.7288052381488688,-0.09324824242194969,1.3046561363120637,61,3.2709648710943777,10.815032238448614,0.7711263355775132,11.586158574026129
1.0,1.0,0.1416543706482154,0.09196001318985916,0.7288052381488688,-0.0932482324219497,1.3046561363120637,61,3.2709648777972635,10.815032249486327,0.7711263240687649,11.586158573555092
1.0,0.99999999,0.1416543706482154,0.09196001318985916,0.7288052381488688,-0.09324824242194969,1.3046561363120637,61,3.270964873977528,10.815032255262205,0.7711263355775132,11.586158590839714
0.99999999,1.0,0.1416543706482154,0.09196001318985916,0.7288052381488688,-0.09324824242194969,1.3046561363120637,61,3.270964873977528,10.815032255262205,0.7711263355775132,11.586158590839714
1.0,1.0,0.14228458775782207,0.08984141070305963,0.7274003028449453,-0.09094165952831713,1.3063477151517422,61,3.272023700987506,10.816742047932387,0.769273215800009,11.586015263732394
1.0,1.0,0.14228458775782207,0.08984141070305963,0.7274003128449453,-0.09094165952831713,1.3063477051517423,61,3.272023701580055,10.816742053846172,0.7692732101013245,11.586015263947495
1.0,1.0,0.14228459775782207,0.08984141070305963,0.7274003028449453,-0.09094165952831713,1.3063477051517423,61,3.2720237060191875,10.816742062039765,0.769273201894301,11.586015263934069
