Vᵢᵢ,Ƹᵢⱼ,γ1,γ3,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
0.9568026203486959,0.6842516910452784,1.2935135441422305,1.3343679926610705,59,7.402366751056453,23.30100620705633,1.9681928071870833,25.26919901424341
0.9568026203486959,0.6842516810452783,1.2935135441422305,1.3343680026610705,59,7.402366755281173,23.301006213959493,1.968192785338739,25.269198999298233
0.9568026203486959,0.6842516810452783,1.2935135541422305,1.3343679926610705,59,7.402366738855091,23.301006217007828,1.968192785338739,25.269199002346568
0.956802630348696,0.6842516810452783,1.2935135441422305,1.3343679926610705,59,7.402366742687994,23.30100621965934,1.9681927642675885,25.26919898392692
0.9568026203486959,0.6842516810452783,1.2935135441422305,1.3343679926610705,59,7.402366751656777,23.301006232473945,1.9681927668162331,25.26919899929018
1.0,0.5643380087531583,1.2497781778411006,1.4344295483658576,59,7.46702746245957,23.474898907111996,1.6300151085511776,25.10491401566318
1.0,0.5643379987531583,1.2497781878411005,1.4344295483658576,59,7.467027451486363,23.47489892004863,1.6300150954393628,25.104914015487996
1.0,0.5643379987531583,1.2497781778411006,1.4344295583658575,59,7.467027466990365,23.474898920183644,1.6300150954393628,25.104914015623002
1.0,0.5643379987531583,1.2497781778411006,1.4344295483658576,59,7.467027464695993,23.47489894032152,1.6300150752552347,25.104914015576746
0.99999999,0.5643379987531583,1.2497781778411006,1.4344295483658576,59,7.467027473348547,23.474898954941857,1.6300150752552351,25.10491403019709
1.0,0.5641352121094435,1.2498370987026604,1.4343457276129299,59,7.466976188482127,23.475623028081667,1.6292897419903656,25.10491277007203
1.0,0.5641351972082823,1.2498370987026604,1.4343457489863467,59,7.466976196718786,23.475623034540536,1.6292897355321834,25.10491277007272
1.0,0.5641351972082823,1.2498371173266845,1.4343457276129299,59,7.466976167304536,23.475623040118577,1.6292897299829767,25.104912770101556
1.0,0.5641351972082823,1.2498370987026604,1.4343457276129299,59,7.466976191855268,23.475623077684315,1.6292896923933748,25.104912770077686
0.9999999850988388,0.5641351972082823,1.2498370987026604,1.4343457276129299,59,7.466976204729794,23.475623099394507,1.629289692393376,25.10491279178789
1.0,0.5641324016368492,1.2498166729333458,1.4343431150602768,59,7.46700315864896,23.47567886856473,1.629233889274381,25.104912757839113
1.0,0.564132386735688,1.2498166729333458,1.4343431364336547,59,7.467003166885519,23.4756788750242,1.629233882814914,25.10491275783911
1.0,0.564132386735688,1.2498166915570654,1.4343431150602768,59,7.467003137465041,23.475678880573934,1.6292338772653574,25.104912757839294
1.0,0.564132386735688,1.2498166729333458,1.4343431150602768,59,7.467003162020548,23.475678918161613,1.6292338396776371,25.104912757839255
0.9999999850988388,0.564132386735688,1.2498166729333458,1.4343431150602768,59,7.467003174897027,23.475678939880996,1.629233839677638,25.104912779558635
1.0,0.5641323510864943,1.2498163055467753,1.4343430680697942,59,7.467003643793478,23.475679873144905,1.629232884698448,25.10491275784336
1.0,0.5641323361853331,1.2498163055467753,1.4343430894431715,59,7.467003652030036,23.475679879604385,1.629232878238959,25.104912757843344
1.0,0.5641323361853331,1.2498163241704894,1.4343430680697942,59,7.4670036226094485,23.475679885153617,1.6292328726893952,25.104912757843014
1.0,0.5641323461853331,1.2498163055467753,1.4343430680697942,59,7.467003644902423,23.475679889457847,1.6292328683855168,25.10491275784337
1.0,0.5641323361853331,1.2498163155467752,1.4343430680697942,59,7.4670036339799175,23.475679902558777,1.62923285528441,25.104912757843184
1.0,0.5641323361853331,1.2498163055467753,1.434343078069794,59,7.467003649441233,23.475679902558962,1.62923285528441,25.104912757843376
1.0,0.5641323361853331,1.2498163055467753,1.4343430680697942,59,7.467003647165038,23.47567992274169,1.6292328351017085,25.1049127578434
1.0,0.5641323361853331,1.2498163055467753,1.4343430680697942,59,7.467003647165038,23.47567992274169,1.6292328351017085,25.1049127578434
0.99999999,0.5641323361853331,1.2498163055467753,1.4343430680697942,59,7.4670036558063195,23.47567993731743,1.629232835101709,25.10491277241914
0.9999999850988388,0.5641323361853331,1.2498163055467753,1.4343430680697942,59,7.467003660041553,23.475679944461234,1.629232835101709,25.104912779562945
0.8728380106445481,0.7063070702946291,1.3515311878913823,1.2450402192591672,59,7.389889017592506,23.47573414213727,2.0443162844494447,25.520050426586717
0.8728380106445481,0.7063070602946291,1.3515311878913823,1.2450402292591671,59,7.389889022260272,23.475734149160214,2.044316260376184,25.520050409536395
0.8728380206445482,0.7063070602946291,1.3515311878913823,1.2450402192591672,59,7.389889014897155,23.47573417228814,2.04431623527477,25.520050407562916
0.8728380106445481,0.7063070602946291,1.3515311878913823,1.2450402192591672,59,7.389889022240179,23.47573417628935,2.0443162427773274,25.52005041906668
0.8728380106445481,0.7063070602946291,1.3515311978913822,1.2450402192591672,59,7.389889014483152,23.475734178892388,2.044316260376184,25.520050439268577
1.0,0.5640806343253892,1.2498184152396188,1.4343410639234266,59,7.467012120758983,23.475851831955193,1.629060972531512,25.104912804486705
1.0,0.5640806243253892,1.2498184152396188,1.4343410739234266,59,7.46701212529927,23.475851845062426,1.6290609594334593,25.104912804495886
1.0,0.5640806243253892,1.2498184252396187,1.4343410639234266,59,7.467012109845407,23.475851845084463,1.6290609594334593,25.10491280451792
1.0,0.5640806243253892,1.2498184152396188,1.4343410639234266,59,7.46701212302644,23.47585186525309,1.629060939250755,25.104912804503844
0.99999999,0.5640806243253892,1.2498184152396188,1.4343410639234266,59,7.4670121316658395,23.475851879821786,1.629060939250755,25.10491281907254
1.0,0.5768682243137724,1.2496124472355536,1.4065642751515997,59,7.4582684558706065,23.49072319907149,1.61677963648668,25.107502835558165
1.0,0.5768682143137723,1.2496124472355536,1.4065642851515996,59,7.458268460563304,23.49072321180551,1.616779621808668,25.107502833614184
1.0,0.5768682143137723,1.2496124572355536,1.4065642751515997,59,7.458268445897366,23.490723214477093,1.616779621808668,25.10750283628576
1.0,0.5768682143137723,1.2496124472355536,1.4065642751515997,59,7.458268458694964,23.49072323297584,1.6167796024514547,25.10750283542729
0.99999999,0.5768682143137723,1.2496124472355536,1.4065642751515997,59,7.458268467177024,23.4907232467372,1.6167796024514547,25.107502849188656
1.0,0.6153089773966564,1.243786597171264,1.3435402638106806,59,7.443509014127345,23.509269578711763,1.625690597517095,25.13496017622886
1.0,0.6153089673966563,1.243786597171264,1.3435402738106805,59,7.443509018800328,23.50926958941385,1.6256905785400075,25.134960167953853
1.0,0.6153089673966563,1.243786607171264,1.3435402638106806,59,7.443509003872002,23.50926959075244,1.6256905785400075,25.13496016929244
1.0,0.6153089673966563,1.243786597171264,1.3435402638106806,59,7.443509017145145,23.50926961079483,1.6256905612138652,25.134960172008704
