Vᵢᵢ,Ʌᵢᵢ,Vᵢⱼ,Ʌᵢⱼ,Ƹᵢⱼ,Ʒᵢⱼ,γ1,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,1.0,0.22403563477187724,0.5519600184518623,0.5402024934979027,0.7262783457508244,0.7768782455242138,59,6.433263940381402,21.025129115914105,1.7738912264746862,22.799020342388793
1.0,1.0,0.22403563477187724,0.5519600184518623,0.5402024834979027,0.7262783557508244,0.7768782455242138,59,6.43326394535734,21.025129118145824,1.7738912264746862,22.799020344620512
1.0,1.0,0.22403563477187724,0.5519600284518623,0.5402024834979027,0.7262783457508244,0.7768782455242138,59,6.433263950868995,21.025129128403943,1.7738912192400302,22.799020347643985
1.0,1.0,0.22403564477187723,0.5519600184518623,0.5402024834979027,0.7262783457508244,0.7768782455242138,59,6.433263950868995,21.025129128403947,1.7738912192400302,22.799020347643985
1.0,1.0,0.22403563477187724,0.5519600184518623,0.5402024834979027,0.7262783457508244,0.7768782555242139,59,6.433263950937695,21.02512913318656,1.7738911946299107,22.79902032781647
1.0,1.0,0.22403563477187724,0.5519600184518623,0.5402024834979027,0.7262783457508244,0.7768782455242138,59,6.4332639486283405,21.025129134542237,1.773891207794094,22.799020342336323
0.99999999,1.0,0.22403563477187724,0.5519600184518623,0.5402024834979027,0.7262783457508244,0.7768782455242138,59,6.433263952319489,21.025129145830725,1.773891207794094,22.799020353624822
1.0,0.99999999,0.22403563477187724,0.5519600184518623,0.5402024834979027,0.7262783457508244,0.7768782455242138,59,6.433263952319489,21.02512914583073,1.773891207794094,22.799020353624822
1.0,1.0,0.18772591611671505,0.506426293187251,0.4966801605301093,0.7480953074091836,0.8291514039795665,59,6.45839750634312,21.129908760907792,1.5842017919063358,22.714110552814127
1.0,1.0,0.18772591611671505,0.506426293187251,0.4966801705301093,0.7480952974091836,0.8291514039795665,59,6.458397501534267,21.1299087622259,1.5842017919063358,22.71411055413223
1.0,1.0,0.18772592611671504,0.506426293187251,0.4966801605301093,0.7480952974091836,0.8291514039795665,59,6.458397511711632,21.12990877204298,1.5842017837846434,22.714110555827624
1.0,1.0,0.18772591611671505,0.506426303187251,0.4966801605301093,0.7480952974091836,0.8291514039795665,59,6.458397511711632,21.12990877204298,1.5842017837846434,22.714110555827624
1.0,1.0,0.18772591611671505,0.506426293187251,0.4966801605301093,0.7480952974091836,0.8291514039795665,59,6.458397509683087,21.12990877973437,1.584201773545898,22.71411055328027
1.0,1.0,0.18772591611671505,0.506426293187251,0.4966801605301093,0.7480952974091836,0.8291514139795666,59,6.458397512767127,21.129908784160204,1.584201763465831,22.71411054762604
0.99999999,1.0,0.18772591611671505,0.506426293187251,0.4966801605301093,0.7480952974091836,0.8291514039795665,59,6.458397513211067,21.129908788397184,1.584201773545898,22.71411056194308
1.0,0.99999999,0.18772591611671505,0.506426293187251,0.4966801605301093,0.7480952974091836,0.8291514039795665,59,6.458397513211067,21.129908788397184,1.584201773545898,22.71411056194308
0.7772815057204525,1.0,0.2932066617441149,0.5756851403591755,0.722821962226297,0.5490108991479195,0.8463308588953588,59,6.461127336697187,21.1775308171488,1.8559867020988605,23.033517519247667
0.7772815057204525,1.0,0.2932066617441149,0.5756851403591755,0.7228219722262971,0.5490108891479194,0.8463308588953588,59,6.461127332432897,21.177530820480438,1.8559867020988605,23.033517522579295
0.7772815057204525,1.0,0.2932066717441149,0.5756851403591755,0.722821962226297,0.5490108891479194,0.8463308588953588,59,6.46112734162478,21.177530827619293,1.8559866961554792,23.033517523774776
0.7772815057204525,1.0,0.2932066617441149,0.5756851503591756,0.722821962226297,0.5490108891479194,0.8463308588953588,59,6.461127341624782,21.177530827619293,1.8559866961554792,23.033517523774776
0.7772815157204526,1.0,0.2932066617441149,0.5756851403591755,0.722821962226297,0.5490108891479194,0.8463308588953588,59,6.461127336551672,21.177530828584487,1.8559866800542273,23.03351750863871
