Vᵢᵢ,Ʌᵢᵢ,Ƹᵢⱼ,Ʒᵢⱼ,γ1,γ3,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,1.0,0.33847747480683193,1.0,1.8555424577591384,1.0004436510509567,59,6.8041781748277685,22.679473701209513,2.4019979607937643,25.081471662003274
1.0,1.0,0.33847747480683193,1.0,1.8555424677591383,1.0004436410509567,59,6.8041781683957465,22.679473710554184,2.4019979607937643,25.081471671347952
1.0,1.0,0.33847748480683193,1.0,1.8555424577591384,1.0004436410509567,59,6.804178168503361,22.679473710715644,2.4019979552847173,25.08147166600036
1.0,1.0,0.33847747480683193,1.0,1.8555424577591384,1.0004436410509567,59,6.804178174986605,22.679473723783147,2.401997935542174,25.081471659325324
0.99999999,1.0,0.33847747480683193,1.0,1.8555424577591384,1.0004436410509567,59,6.804178182742003,22.679473738041256,2.401997935542174,25.081471673583433
1.0,1.0,0.33847747480683193,0.99999999,1.8555424577591384,1.0004436410509567,59,6.8041781772739105,22.679473742170504,2.4019979157996314,25.081471657970145
1.0,0.99999999,0.33847747480683193,1.0,1.8555424577591384,1.0004436410509567,59,6.804178184354253,22.67947374727713,2.401997935542174,25.081471682819302
1.0,1.0,0.3130092941058704,0.9341477066981326,1.7837427590456891,0.9902560608585957,59,6.892053858162406,22.972220919176536,2.030742336672154,25.00296325584869
1.0,1.0,0.3130092941058704,0.9341477166981327,1.7837427590456891,0.9902560508585957,59,6.892053856076198,22.972220922462913,2.030742332234755,25.00296325469767
1.0,1.0,0.3130092941058704,0.9341477066981326,1.783742769045689,0.9902560508585957,59,6.892053852805989,22.97222092685414,2.030742336672154,25.002963263526294
1.0,1.0,0.3130093041058704,0.9341477066981326,1.7837427590456891,0.9902560508585957,59,6.892053853703716,22.9722209291577,2.030742332234755,25.00296326139246
1.0,1.0,0.3130092941058704,0.9341477066981326,1.7837427590456891,0.9902560508585957,59,6.892053860077729,22.972220943125585,2.0307423138391894,25.00296325696478
0.99999999,1.0,0.3130092941058704,0.9341477066981326,1.7837427590456891,0.9902560508585957,59,6.892053867262161,22.97222095724687,2.0307423138391894,25.00296327108606
1.0,0.99999999,0.3130092941058704,0.9341477066981326,1.7837427590456891,0.9902560508585957,59,6.892053870054966,22.97222096940762,2.0307423138391894,25.002963283246803
1.0,1.0,0.27550951644724936,0.9243886224791622,1.7274035219373147,0.9913329379862225,59,6.967432044102022,23.157113719013665,1.8237783093163535,24.980892028330025
1.0,1.0,0.27550951644724936,0.9243886224791622,1.7274035119373148,0.9913329479862225,59,6.967432052468089,23.157113721770706,1.8237783093163535,24.98089203108706
1.0,1.0,0.27550952644724935,0.9243886224791622,1.7274035119373148,0.9913329379862225,59,6.967432045649756,23.157113723862288,1.8237783058121257,24.980892029674415
1.0,1.0,0.27550951644724936,0.9243886324791623,1.7274035119373148,0.9913329379862225,59,6.967432050792607,23.157113725724695,1.8237783058121257,24.98089203153682
1.0,1.0,0.27550951644724936,0.9243886224791622,1.7274035119373148,0.9913329379862225,59,6.967432053242946,23.157113741692854,1.823778288113628,24.980892029806483
0.99999999,1.0,0.27550951644724936,0.9243886224791622,1.7274035119373148,0.9913329379862225,59,6.967432061703323,23.157113759792885,1.823778288113628,24.98089204790652
1.0,0.99999999,0.27550951644724936,0.9243886224791622,1.7274035119373148,0.9913329379862225,59,6.9674320644200485,23.15711377273044,1.823778288113628,24.980892060844077
1.0,1.0,0.2691019268869201,0.9220455150043431,1.7365561603857054,0.9825756487248595,59,6.965742489557701,23.170260077909127,1.809185842729109,24.979445920638234
1.0,1.0,0.2691019268869201,0.9220455150043431,1.7365561503857054,0.9825756587248595,59,6.965742496834901,23.17026007795262,1.8091858427291092,24.97944592068173
1.0,1.0,0.2691019368869201,0.9220455150043431,1.7365561503857054,0.9825756487248595,59,6.965742490633825,23.1702600816776,1.8091858390841455,24.979445920761744
1.0,1.0,0.2691019268869201,0.9220455250043431,1.7365561503857054,0.9825756487248595,59,6.96574249510225,23.17026008168347,1.8091858390841455,24.979445920767624
1.0,1.0,0.2691019268869201,0.9220455150043431,1.7365561503857054,0.9825756487248595,59,6.965742498205781,23.170260099168168,1.8091858215147203,24.979445920682878
0.99999999,1.0,0.2691019268869201,0.9220455150043431,1.7365561503857054,0.9825756487248595,59,6.965742506185662,23.170260116027897,1.8091858215147203,24.979445937542614
1.0,0.99999999,0.2691019268869201,0.9220455150043431,1.7365561503857054,0.9825756487248595,59,6.965742509222506,23.17026012953686,1.8091858215147203,24.979445951051584
1.0,1.0,0.2716307946056394,0.9224576183721782,1.7350037244945313,0.9810816532049645,59,6.965259903976186,23.171609837966876,1.8079102098094821,24.97952004777636
1.0,1.0,0.2716307946056394,0.9224576183721782,1.7350037344945313,0.9810816432049645,59,6.965259896728218,23.171609837999927,1.8079102098094821,24.979520047809412
1.0,1.0,0.2716307946056394,0.9224576283721783,1.7350037244945313,0.9810816432049645,59,6.965259902242867,23.17160984171159,1.807910206297768,24.97952004800937
1.0,1.0,0.2716308046056394,0.9224576183721782,1.7350037244945313,0.9810816432049645,59,6.965259897892343,23.171609841918862,1.8079102062977679,24.979520048216628
1.0,1.0,0.2716307946056394,0.9224576183721782,1.7350037244945313,0.9810816432049645,59,6.9652599053929825,23.1716098592675,1.8079101886849642,24.979520047952466
0.99999999,1.0,0.2716307946056394,0.9224576183721782,1.7350037244945313,0.9810816432049645,59,6.965259913356499,23.171609876090557,1.8079101886849642,24.979520064775514
1.0,0.99999999,0.2716307946056394,0.9224576183721782,1.7350037244945313,0.9810816432049645,59,6.965259916411678,23.17160988961709,1.8079101886849642,24.979520078302055
1.0,1.0,0.26798982976846686,0.9208847834263484,1.736686415453782,0.9832547911242981,59,6.966740764053439,23.172521441401006,1.8069144767210275,24.979435918122032
1.0,1.0,0.26798982976846686,0.9208847834263484,1.736686405453782,0.9832548011242982,59,6.966740771305415,23.17252144141014,1.8069144767210275,24.979435918131173
1.0,1.0,0.26798983976846685,0.9208847834263484,1.736686405453782,0.9832547911242981,59,6.966740765096743,23.17252144510694,1.8069144730186637,24.979435918125603
1.0,1.0,0.26798982976846686,0.9208847934263484,1.736686405453782,0.9832547911242981,59,6.9667407695685,23.17252144511272,1.8069144730186637,24.97943591813138
1.0,1.0,0.26798982976846686,0.9208847834263484,1.736686405453782,0.9832547911242981,59,6.96674077268829,23.172521462640148,1.8069144554827623,24.97943591812291
0.99999999,1.0,0.26798982976846686,0.9208847834263484,1.736686405453782,0.9832547911242981,59,6.966740780657126,23.172521479480544,1.8069144554827623,24.979435934963302
1.0,0.99999999,0.26798982976846686,0.9208847834263484,1.736686405453782,0.9832547911242981,59,6.966740783701586,23.172521493008265,1.8069144554827623,24.979435948491034
1.0,1.0,0.26792261805001655,0.9208411268277338,1.7366729147260846,0.983198452476063,59,6.966824874594543,23.172864114862342,1.80657174868093,24.979435863543266
1.0,1.0,0.26792261805001655,0.9208411268277338,1.736672888847642,0.9831984673772242,59,6.966824894871227,23.172864138175083,1.8065717253693487,24.97943586354443
1.0,1.0,0.26792263295117774,0.9208411268277338,1.736672888847642,0.983198452476063,59,6.966824885623655,23.172864143690404,1.8065717198530291,24.979435863543433
1.0,1.0,0.26792261805001655,0.920841141728895,1.736672888847642,0.983198452476063,59,6.966824892282886,23.17286414369044,1.8065717198530291,24.979435863543475
1.0,1.0,0.26792261805001655,0.9208411268277338,1.7366728988476419,0.983198452476063,59,6.96682488830327,23.172864148581965,1.8065717149611427,24.979435863543117
1.0,1.0,0.26792261805001655,0.9208411268277338,1.736672888847642,0.983198462476063,59,6.966824895550623,23.17286414858282,1.8065717149611427,24.97943586354397
1.0,1.0,0.26792262805001654,0.9208411268277338,1.736672888847642,0.983198452476063,59,6.966824889344681,23.1728641522841,1.806571711259203,24.979435863543298
1.0,1.0,0.26792261805001655,0.9208411368277338,1.736672888847642,0.983198452476063,59,6.966824893813619,23.17286415228412,1.806571711259203,24.97943586354332
1.0,1.0,0.26792261805001655,0.9208411268277338,1.736672888847642,0.983198452476063,59,6.966824896936818,23.17286416981808,1.806571693724938,24.979435863543014
1.0,1.0,0.26792261805001655,0.9208411268277338,1.736672888847642,0.983198452476063,59,6.966824896936818,23.17286416981808,1.806571693724938,24.979435863543014
0.99999999,1.0,0.26792261805001655,0.9208411268277338,1.736672888847642,0.983198452476063,59,6.966824904903461,23.172864186653715,1.806571693724938,24.97943588037865
0.9999999850988388,1.0,0.26792261805001655,0.9208411268277338,1.736672888847642,0.983198452476063,59,6.966824908808042,23.172864194905127,1.806571693724938,24.979435888630064
