Vᵢᵢ,Vᵢⱼ,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,0.46222122499383467,59,8.547623557838714,27.162795303947583,0.6302629594626632,27.793058263410238
1.0,0.4622212149938347,59,8.547623560995707,27.162795326296884,0.6302629321916113,27.79305825848849
0.99999999,0.4622212149938347,59,8.547623581062052,27.162795373498792,0.6302629321916119,27.7930583056904
1.0,0.43702489878290285,59,8.557793753260109,27.223426597125915,0.5634227483608091,27.786849345486722
1.0,0.43702488878290285,59,8.557793758183056,27.22342662290893,0.5634227225763404,27.78684934548527
0.99999999,0.43702488878290285,59,8.557793777839738,27.223426669136757,0.5634227225763409,27.7868493917131
1.0,0.4370174883187781,59,8.557797401586482,27.223445703909377,0.5634036410345376,27.786849344943924
1.0,0.4370174834176169,59,8.557797403999558,27.223445716546546,0.563403628397368,27.786849344943914
1.0,0.43701747341761693,59,8.55779740892303,27.22344574233057,0.5634036026133369,27.78684934494391
1.0,0.43701747341761693,59,8.55779740892303,27.22344574233057,0.5634036026133369,27.78684934494391
0.99999999,0.43701747341761693,59,8.557797428579592,27.22344578855812,0.563403602613337,27.786849391171458
0.9999999850988388,0.43701747341761693,59,8.557797438213592,27.22344581121499,0.5634036026133373,27.78684941382832
1.0,0.43466840810400575,59,8.558973549889993,27.22954035950403,0.5573630437608281,27.78690340326485
1.0,0.43466839810400576,59,8.558973554980271,27.229540385609763,0.5573630181153921,27.78690340372516
0.99999999,0.43466839810400576,59,8.558973574599365,27.229540431748,0.5573630181153927,27.786903449863388
1.0,0.99999999,59,9.162515700251193,27.772222818528455,2.949999941,30.72222275952846
1.0,1.0,59,9.162515722096238,27.772222860513413,2.9499999999999997,30.722222860513412
0.99999999,1.0,59,9.162515751169904,27.772222933561732,2.9499999999999997,30.72222293356173
0.5551633276045322,0.4490848630666733,59,9.988500676473434,30.640236127347347,1.178692794063282,31.818928921410624
0.6606061260564423,0.12796642631292343,59,9.909676380279821,30.677320630625054,0.38811264340446344,31.065433274029516
0.6606061160564423,0.12796643631292343,59,9.909676388345932,30.677320651826648,0.38811267097872176,31.065433322805372
0.6606061160564423,0.12796642631292343,59,9.909676415216719,30.677320713202676,0.3881126634287023,31.06543337663137
0.6606061160564423,0.12796642631292343,59,9.909676415216719,30.677320713202676,0.3881126634287023,31.06543337663137
0.5708672851324081,0.8209142684936523,59,10.460970294891444,31.242238850866208,2.53126261339899,33.7735014642652
0.5551633276045322,0.12796642631292343,59,10.322012508581638,31.639212896301284,0.6320524605449621,32.27126535684625
0.21544475826688214,0.32211412671515927,59,12.175124216335679,35.580270226141366,2.121889091983123,37.70215931812449
0.21248141676187515,0.08703228086233139,59,12.520558612366148,36.39202402119587,1.8518924037295756,38.243916424925445
0.18565882369875908,0.07232837751507759,59,12.780100693593317,36.92562826519319,1.9717296895602747,38.89735795475346
0.1812964677810669,0.9102591723203659,59,13.433078212453744,38.276907719061015,4.42159934166029,42.69850706072131
0.9606915198290371,-0.7892614998699039,59,14.280344544029743,41.22244274345517,1.8422126717812126,43.06465541523637
0.1812964677810669,-0.4566921889781952,59,15.506641191019067,42.54507218565285,2.5925875259672875,45.137659711620145
-0.01789677143096924,-0.5808792971074581,59,17.943930712523304,48.01280218857437,4.051927055538054,52.06472924411242
-0.2984091155230999,-0.47081631422042847,59,20.15839568512981,52.67222921674272,5.627225987378284,58.299455204120996
-0.5236754864454269,0.4633818045258522,59,20.458715398446103,54.480253439799306,7.482113570043013,61.96236700984232
-0.5267583057284355,0.9102591723203659,59,20.442845562429,57.2243133207389,9.320709920467154,66.54502324120607
-0.5236754864454269,-0.47081631422042847,59,22.786757263638616,58.95811321756938,7.502602219705912,66.46071543727528
-0.6792145818471909,-0.05435715615749359,59,23.390202402510255,60.242798482494415,8.32701312132561,68.56981160382004
-0.9126592203974724,0.014129430055618286,59,25.986508888645886,68.33421149207811,10.792471555787232,79.12668304786533
-0.9020503638312221,-0.2771929381415248,59,26.665205222909034,69.66724019988118,10.899162958942746,80.56640315882393
-0.9126592203974724,-0.2771929381415248,59,26.78363931696116,70.05766717066061,11.018548594064645,81.07621576472526
