Vᵢᵢ,Ʌᵢᵢ,Vᵢⱼ,Ʌᵢⱼ,αᵢⱼ,βᵢⱼ,γ1,γ2,γ3,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,1.0,0.07507913862213363,0.2945086142726643,0.7290485845800997,-0.011369128729152102,2.0,0.0001,1.2246127673370633,61,3.337506389136793,10.777708049438514,0.526498887374345,11.30420693681286
1.0,1.0,0.07507913862213363,0.2945086142726643,0.7290485745800996,-0.011369128729152102,2.0,0.0001,1.2246127773370632,61,3.3375063887197136,10.777708050609103,0.5264988812031355,11.304206931812237
1.0,1.0,0.07507914862213362,0.2945086142726643,0.7290485745800996,-0.011369128729152102,2.0,0.0001,1.2246127673370633,61,3.3375063887890533,10.777708050628588,0.5264988821827257,11.304206932811319
1.0,1.0,0.07507913862213363,0.2945086242726643,0.7290485745800996,-0.011369128729152102,2.0,0.0001,1.2246127673370633,61,3.337506388789053,10.77770805062859,0.5264988821827257,11.30420693281132
1.0,1.0,0.07507913862213363,0.2945086142726643,0.7290485745800996,-0.011369128729152102,2.0,0.00010001,1.2246127673370633,61,3.3375063892235293,10.777708054071143,0.5264988812031355,11.30420693527428
1.0,1.0,0.07507913862213363,0.2945086142726643,0.7290485745800996,-0.011369128729152102,2.0,0.0001,1.2246127673370633,61,3.337506389096366,10.77770805423933,0.5264988770084971,11.304206931247824
1.0,1.0,0.07507913862213363,0.2945086142726643,0.7290485745800996,-0.011369128729152102,1.99999999,0.0001,1.2246127673370633,61,3.337506389105321,10.777708055628308,0.5264988728138589,11.304206928442165
1.0,1.0,0.07507913862213363,0.2945086142726643,0.7290485745800996,-0.011369118729152103,2.0,0.0001,1.2246127673370633,61,3.3375063936849454,10.77770805924008,0.5264988666426493,11.304206925882731
0.99999999,1.0,0.07507913862213363,0.2945086142726643,0.7290485745800996,-0.011369128729152102,2.0,0.0001,1.2246127673370633,61,3.337506392908727,10.777708069561639,0.5264988770084972,11.304206946570135
1.0,0.99999999,0.07507913862213363,0.2945086142726643,0.7290485745800996,-0.011369128729152102,2.0,0.0001,1.2246127673370633,61,3.337506392908727,10.777708069561639,0.5264988770084972,11.304206946570133
1.0,1.0,0.022446612223438196,0.33842059912846323,0.5132296371855204,-0.04103730171212542,1.52602423935251,0.0001,1.7044918620696858,61,3.286660032693246,10.826553739211034,0.3558440891348664,11.182397828345902
1.0,1.0,0.022446622223438198,0.33842059912846323,0.5132296271855203,-0.04103730171212542,1.52602423935251,0.0001,1.7044918620696858,61,3.2866600323202433,10.826553741933072,0.35584408642727017,11.182397828360344
1.0,1.0,0.022446612223438196,0.3384206091284632,0.5132296271855203,-0.04103730171212542,1.52602423935251,0.0001,1.7044918620696858,61,3.2866600323202433,10.826553741933072,0.35584408642727017,11.182397828360344
1.0,1.0,0.022446612223438196,0.33842059912846323,0.5132296271855203,-0.04103730171212542,1.52602424935251,0.0001,1.7044918620696858,61,3.286660032657463,10.826553742676754,0.35584408567996295,11.182397828356716
1.0,1.0,0.022446612223438196,0.33842059912846323,0.5132296271855203,-0.04103730171212542,1.52602423935251,0.0001,1.7044918720696858,61,3.286660031787007,10.826553742677474,0.35584408567996295,11.182397828357434
1.0,1.0,0.022446612223438196,0.33842059912846323,0.5132296271855203,-0.04103730171212542,1.52602423935251,0.00010001,1.7044918620696858,61,3.286660032873731,10.826553746423254,0.35584408567996295,11.182397832103218
1.0,1.0,0.022446612223438196,0.33842059912846323,0.5132296271855203,-0.04103730171212542,1.52602423935251,0.0001,1.7044918620696858,61,3.286660032773216,10.826553746972815,0.35584408137512913,11.18239782834794
1.0,1.0,0.022446612223438196,0.33842059912846323,0.5132296271855203,-0.04103729171212542,1.52602423935251,0.0001,1.7044918620696858,61,3.2866600445266085,10.826553754774917,0.3558440736153923,11.18239782839031
1.0,0.99999999,0.022446612223438196,0.33842059912846323,0.5132296271855203,-0.04103730171212542,1.52602423935251,0.0001,1.7044918620696858,61,3.2866600367253325,10.82655376375671,0.3558440813751293,11.182397845131838
0.99999999,1.0,0.022446612223438196,0.33842059912846323,0.5132296271855203,-0.04103730171212542,1.52602423935251,0.0001,1.7044918620696858,61,3.286660036725332,10.82655376375671,0.3558440813751293,11.182397845131838
1.0,1.0,0.022406355452410945,0.33810170681486884,0.5132231594532346,-0.04112991920417757,1.5263183073466204,0.0001,1.7038406159645094,61,3.286628516599153,10.82682124404764,0.3555759394571027,11.18239718350474
1.0,1.0,0.022406365452410947,0.33810170681486884,0.5132231494532346,-0.04112991920417757,1.5263183073466204,0.0001,1.7038406159645094,61,3.286628516226663,10.826821246767215,0.35557593674327237,11.182397183510487
1.0,1.0,0.022406355452410945,0.33810171681486884,0.5132231494532346,-0.04112991920417757,1.5263183073466204,0.0001,1.7038406159645094,61,3.2866285162266626,10.826821246767215,0.35557593674327237,11.182397183510487
1.0,1.0,0.022406355452410945,0.33810170681486884,0.5132231494532346,-0.04112991920417757,1.5263183073466204,0.0001,1.7038406259645094,61,3.2866285156930717,10.826821247515221,0.3555759359943262,11.182397183509547
1.0,1.0,0.022406355452410945,0.33810170681486884,0.5132231494532346,-0.04112991920417757,1.5263183173466204,0.0001,1.7038406159645094,61,3.2866285165658327,10.826821247517216,0.3555759359943262,11.18239718351154
1.0,1.0,0.022406355452410945,0.33810170681486884,0.5132231494532346,-0.04112991920417757,1.5263183073466204,0.00010001,1.7038406159645094,61,3.2866285167817204,10.826821251261828,0.3555759359943262,11.182397187256152
1.0,1.0,0.022406355452410945,0.33810170681486884,0.5132231494532346,-0.04112991920417757,1.5263183073466204,0.0001,1.7038406159645094,61,3.2866285166814624,10.826821251811655,0.3555759316961594,11.182397183507813
1.0,1.0,0.022406355452410945,0.33810170681486884,0.5132231494532346,-0.04112990920417757,1.5263183073466204,0.0001,1.7038406159645094,61,3.286628528415077,10.826821259572176,0.3555759239352166,11.182397183507392
0.99999999,1.0,0.022406355452410945,0.33810170681486884,0.5132231494532346,-0.04112991920417757,1.5263183073466204,0.0001,1.7038406159645094,61,3.286628520634442,10.826821268595134,0.3555759316961595,11.182397200291295
1.0,0.99999999,0.022406355452410945,0.33810170681486884,0.5132231494532346,-0.04112991920417757,1.5263183073466204,0.0001,1.7038406159645094,61,3.286628520634442,10.826821268595136,0.3555759316961595,11.182397200291295
1.0,1.0,0.022393312932180484,0.33803204500477435,0.5132431078247305,-0.041123287096290914,1.5263144838158622,0.0001,1.7037871734780017,61,3.286645223227394,10.826877229714762,0.3555199264093172,11.182397156124082
1.0,1.0,0.022393322932180486,0.33803204500477435,0.5132430978247304,-0.041123287096290914,1.5263144838158622,0.0001,1.7037871734780017,61,3.2866452228537755,10.826877232431743,0.35551992369414276,11.182397156125889
1.0,1.0,0.022393312932180484,0.33803205500477435,0.5132430978247304,-0.041123287096290914,1.5263144838158622,0.0001,1.7037871734780017,61,3.2866452228537755,10.826877232431743,0.35551992369414276,11.182397156125889
1.0,1.0,0.022393312932180484,0.33803204500477435,0.5132430978247304,-0.041123287096290914,1.5263144838158622,0.0001,1.7037871834780016,61,3.2866452223210962,10.82687723318134,0.35551992294528517,11.182397156126624
1.0,1.0,0.022393312932180484,0.33803204500477435,0.5132430978247304,-0.041123287096290914,1.5263144938158621,0.0001,1.7037871734780017,61,3.2866452231934575,10.826877233182584,0.35551992294528517,11.182397156127868
1.0,1.0,0.022393312932180484,0.33803204500477435,0.5132430978247304,-0.041123287096290914,1.5263144838158622,0.00010001,1.7037871734780017,61,3.28664522340923,10.826877236927325,0.35551992294528517,11.18239715987261
1.0,1.0,0.022393312932180484,0.33803204500477435,0.5132430978247304,-0.041123287096290914,1.5263144838158622,0.0001,1.7037871734780017,61,3.286645223309099,10.826877237477229,0.35551991864818766,11.182397156125417
1.0,1.0,0.022393312932180484,0.33803204500477435,0.5132430978247304,-0.04112327709629091,1.5263144838158622,0.0001,1.7037871734780017,61,3.2866452350409747,10.826877245235911,0.3555199108870583,11.182397156122969
1.0,0.99999999,0.022393312932180484,0.33803204500477435,0.5132430978247304,-0.041123287096290914,1.5263144838158622,0.0001,1.7037871734780017,61,3.2866452272623645,10.826877254261412,0.35551991864818777,11.182397172909598
0.99999999,1.0,0.022393312932180484,0.33803204500477435,0.5132430978247304,-0.041123287096290914,1.5263144838158622,0.0001,1.7037871734780017,61,3.2866452272623645,10.826877254261412,0.35551991864818777,11.182397172909598
1.0,1.0,0.02238431882688,0.33801878087531556,0.5132609881496903,-0.041114476942363525,1.5262392640211857,0.0001,1.7037915533191121,61,3.2866568647220986,10.826911843695273,0.35548529895008646,11.182397142645357
1.0,1.0,0.02238431882688,0.33801878087531556,0.5132609732485292,-0.04111449184352472,1.5262392640211857,0.0001,1.7037915533191121,61,3.286656847360973,10.826911843696926,0.35548529895008646,11.182397142647016
1.0,1.0,0.02238431882688,0.33801878087531556,0.5132609732485292,-0.041114476942363525,1.5262392640211857,0.0001,1.7037915787075848,61,3.286656862335557,10.826911844354834,0.35548529829123093,11.182397142646066
1.0,1.0,0.02238431882688,0.33801878087531556,0.5132609732485292,-0.041114476942363525,1.526239286763923,0.0001,1.7037915533191121,61,3.286656864579903,10.826911845491765,0.3554852971546825,11.182397142646447
1.0,1.0,0.02238431882688,0.33801878087531556,0.5132609832485292,-0.041114476942363525,1.5262392640211857,0.0001,1.7037915533191121,61,3.286656864761865,10.826911847499241,0.3554852951461695,11.18239714264541
1.0,1.0,0.022384333728041193,0.33801878087531556,0.5132609732485292,-0.041114476942363525,1.5262392640211857,0.0001,1.7037915533191121,61,3.286656864164202,10.826911847741616,0.3554852949035079,11.182397142645126
1.0,1.0,0.02238431882688,0.33801879577647675,0.5132609732485292,-0.041114476942363525,1.5262392640211857,0.0001,1.7037915533191121,61,3.286656864164202,10.826911847741616,0.3554852949035079,11.182397142645124
1.0,1.0,0.02238431882688,0.33801879087531556,0.5132609732485292,-0.041114476942363525,1.5262392640211857,0.0001,1.7037915533191121,61,3.2866568643874663,10.8269118502147,0.35548529243055665,11.182397142645252
1.0,1.0,0.02238432882688,0.33801878087531556,0.5132609732485292,-0.041114476942363525,1.5262392640211857,0.0001,1.7037915533191121,61,3.2866568643874663,10.8269118502147,0.35548529243055665,11.182397142645252
1.0,1.0,0.02238431882688,0.33801878087531556,0.5132609732485292,-0.041114476942363525,1.5262392640211857,0.0001,1.703791563319112,61,3.2866568638553693,10.826911850965049,0.35548529168068854,11.182397142645737
1.0,1.0,0.02238431882688,0.33801878087531556,0.5132609732485292,-0.041114476942363525,1.5262392740211856,0.0001,1.7037915533191121,61,3.2866568647273153,10.82691185096524,0.35548529168068854,11.182397142645932
1.0,1.0,0.02238431882688,0.33801878087531556,0.5132609732485292,-0.041114476942363525,1.5262392640211857,0.00010001490116119385,1.7037915533191121,61,3.2866568649921066,10.826911854441086,0.35548529378611715,11.182397148227201
1.0,1.0,0.02238431882688,0.33801878087531556,0.5132609732485292,-0.041114476942363525,1.5262392640211857,0.00010001,1.7037915533191121,61,3.286656864943063,10.826911854710637,0.35548529168068854,11.182397146391326
1.0,1.0,0.02238431882688,0.33801878087531556,0.5132609732485292,-0.041114476942363525,1.5262392640211857,0.0001,1.7037915533191121,61,3.2866568648429992,10.82691185526061,0.3554852873849131,11.18239714264552
1.0,1.0,0.02238431882688,0.33801878087531556,0.5132609732485292,-0.041114476942363525,1.5262392640211857,0.0001,1.7037915533191121,61,3.2866568648429992,10.82691185526061,0.3554852873849131,11.18239714264552
1.0,1.0,0.02238431882688,0.33801878087531556,0.5132609732485292,-0.04111446694236352,1.5262392640211857,0.0001,1.7037915533191121,61,3.286656876574989,10.82691186302087,0.35548527962365695,11.182397142644524
1.0,0.99999999,0.02238431882688,0.33801878087531556,0.5132609732485292,-0.041114476942363525,1.5262392640211857,0.0001,1.7037915533191121,61,3.2866568687963995,10.826911872045553,0.3554852873849131,11.182397159430467
0.99999999,1.0,0.02238431882688,0.33801878087531556,0.5132609732485292,-0.041114476942363525,1.5262392640211857,0.0001,1.7037915533191121,61,3.2866568687963995,10.826911872045555,0.3554852873849131,11.18239715943047
1.0,0.9999999850988388,0.02238431882688,0.33801878087531556,0.5132609732485292,-0.041114476942363525,1.5262392640211857,0.0001,1.7037915533191121,61,3.2866568707340247,10.826911880272126,0.3554852873849133,11.182397167657044
0.9999999850988388,1.0,0.02238431882688,0.33801878087531556,0.5132609732485292,-0.041114476942363525,1.5262392640211857,0.0001,1.7037915533191121,61,3.2866568707340247,10.826911880272126,0.3554852873849133,11.182397167657044
1.0,1.0,0.022385328412792376,0.3380197950089122,0.513261406536645,-0.041110647792191354,1.5262377086351726,0.0001,1.7037907338884313,61,3.2866613604546298,10.826914489670107,0.35548265271435575,11.182397142384463
1.0,1.0,0.022385328412792376,0.3380197950089122,0.5132613916354838,-0.04111066269335255,1.5262377086351726,0.0001,1.7037907338884313,61,3.286661343093292,10.826914489670143,0.35548265271435575,11.182397142384499
1.0,1.0,0.022385328412792376,0.3380197950089122,0.5132613916354838,-0.041110647792191354,1.5262377086351726,0.0001,1.7037907592768917,61,3.286661358068302,10.826914490329749,0.3554826520554536,11.182397142385202
1.0,1.0,0.022385328412792376,0.3380197950089122,0.5132613916354838,-0.041110647792191354,1.5262377313778868,0.0001,1.7037907338884313,61,3.2866613603124843,10.826914491466678,0.355482650918912,11.18239714238559
1.0,1.0,0.02238534331395357,0.3380197950089122,0.5132613916354838,-0.041110647792191354,1.5262377086351726,0.0001,1.7037907338884313,61,3.2866613598968732,10.82691449371687,0.3554826486678904,11.18239714238476
1.0,1.0,0.022385328412792376,0.3380198099100734,0.5132613916354838,-0.041110647792191354,1.5262377086351726,0.0001,1.7037907338884313,61,3.2866613598968732,10.82691449371687,0.3554826486678904,11.18239714238476
1.0,1.0,0.022385328412792376,0.3380197950089122,0.5132613916354838,-0.041110647792191354,1.5262377086351726,0.00010001490116119385,1.7037907338884313,61,3.2866613607247133,10.826914500416134,0.3554826475503916,11.182397147966524
1.0,1.0,0.022385328412792376,0.3380197950089122,0.5132613916354838,-0.041110647792191354,1.5262377086351726,0.0001,1.7037907338884313,61,3.2866613605755837,10.826914501235573,0.3554826411492537,11.182397142384826
1.0,0.9999999850988388,0.022385328412792376,0.3380197950089122,0.5132613916354838,-0.041110647792191354,1.5262377086351726,0.0001,1.7037907338884313,61,3.2866613664665727,10.826914526247162,0.35548264114925376,11.182397167396415
0.9999999850988388,1.0,0.022385328412792376,0.3380197950089122,0.5132613916354838,-0.041110647792191354,1.5262377086351726,0.0001,1.7037907338884313,61,3.2866613664665727,10.826914526247162,0.35548264114925376,11.182397167396415
1.0,1.0,0.022410783289160272,0.3380453645468854,0.5132719405031678,-0.04101411762172296,1.5261984923998977,0.0001,1.7037700734310917,61,3.2867747191553205,10.826981365296955,0.3554159434390614,11.182397308736016
1.0,1.0,0.022410783289160272,0.3380453645468854,0.513271955404329,-0.04101410272056177,1.5261984923998977,0.0001,1.7037700734310917,61,3.286774736522003,10.82698136533775,0.3554159434390614,11.182397308776812
1.0,1.0,0.022410783289160272,0.3380453645468854,0.5132719405031678,-0.04101410272056177,1.5261984923998977,0.0001,1.7037700988192441,61,3.286774734141058,10.826981365999316,0.3554159427789835,11.1823973087783
1.0,1.0,0.022410783289160272,0.3380453645468854,0.5132719405031678,-0.04101410272056177,1.5261985151420274,0.0001,1.7037700734310917,61,3.2867747363811097,10.826981367136195,0.35541594164261897,11.182397308778814
1.0,1.0,0.022410798190321466,0.3380453645468854,0.5132719405031678,-0.04101410272056177,1.5261984923998977,0.0001,1.7037700734310917,61,3.2867747359677995,10.82698136939502,0.3554159393954548,11.182397308790476
1.0,1.0,0.022410783289160272,0.3380453794480466,0.5132719405031678,-0.04101410272056177,1.5261984923998977,0.0001,1.7037700734310917,61,3.2867747359677995,10.82698136939502,0.3554159393954548,11.182397308790476
1.0,1.0,0.022410783289160272,0.3380453645468854,0.5132719405031678,-0.04101410272056177,1.5261984923998977,0.00010001490116119385,1.7037700734310917,61,3.286774736793997,10.826981376089106,0.35541593827522583,11.182397314364335
1.0,1.0,0.022410783289160272,0.3380453645468854,0.5132719405031678,-0.04101410272056177,1.5261984923998977,0.0001,1.7037700734310917,61,3.2867747366442894,10.826981376906446,0.35541593187575343,11.1823973087822
1.0,0.9999999850988388,0.022410783289160272,0.3380453645468854,0.5132719405031678,-0.04101410272056177,1.5261984923998977,0.0001,1.7037700734310917,61,3.2867747425343645,10.826981401919765,0.35541593187575354,11.18239733379552
0.9999999850988388,1.0,0.022410783289160272,0.3380453645468854,0.5132719405031678,-0.04101410272056177,1.5261984923998977,0.0001,1.7037700734310917,61,3.2867747425343636,10.826981401919765,0.35541593187575354,11.18239733379552
1.0,1.0,0.022433621916036848,0.3378108871312093,0.5117665531206667,-0.04079573492726003,1.5243729503431322,0.0001,1.706508420134969,61,3.2868055372243203,10.828039870370002,0.35436639920409513,11.182406269574097
1.0,1.0,0.02243363191603685,0.3378108871312093,0.5117665431206666,-0.04079573492726003,1.5243729503431322,0.0001,1.706508420134969,61,3.286805536869537,10.828039873149274,0.3543663965116463,11.18240626966092
1.0,1.0,0.022433621916036848,0.3378108971312093,0.5117665431206666,-0.04079573492726003,1.5243729503431322,0.0001,1.706508420134969,61,3.286805536869537,10.828039873149274,0.3543663965116463,11.18240626966092
1.0,1.0,0.022433621916036848,0.3378108871312093,0.5117665431206666,-0.04079573492726003,1.5243729603431322,0.0001,1.706508420134969,61,3.286805537202071,10.828039873867468,0.3543663957798756,11.182406269647345
1.0,1.0,0.022433621916036848,0.3378108871312093,0.5117665431206666,-0.04079573492726003,1.5243729503431322,0.0001,1.706508430134969,61,3.2868055363309003,10.828039873878664,0.3543663957798756,11.182406269658538
