Ʌᵢᵢ,Vᵢⱼ,Ʌᵢⱼ,Ƹᵢⱼ,Ʒᵢⱼ,γ1,γ2,γ3,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,0.022195589977799232,0.03326978340924581,1.0,0.004449369829939843,0.0001,2.0,0.11800158623877391,61,4.284135835864948,16.56949294895193,1.4342916189859711,18.003784567937902
1.0,0.02219557997779923,0.03326979340924581,1.0,0.004449369829939843,0.0001,2.0,0.11800158623877391,61,4.284135835864948,16.56949294895193,1.4342916189859711,18.003784567937902
1.0,0.02219557997779923,0.03326978340924581,1.0,0.004449369829939843,0.0001,1.99999999,0.11800158623877391,61,4.284135835963581,16.569492949318672,1.43429163467156,18.00378458399023
1.0,0.02219557997779923,0.03326978340924581,1.0,0.004449369829939843,0.0001,2.0,0.11800158623877391,61,4.28413583597152,16.569492949347993,1.4342916182094563,18.00378456755745
1.0,0.02219557997779923,0.03326978340924581,1.0,0.004449379829939843,0.0001,2.0,0.11800158623877391,61,4.284135836364785,16.5694929549484,1.4342916322717472,18.00378458722015
1.0,0.02219557997779923,0.03326978340924581,1.0,0.004449369829939843,0.0001,2.0,0.1180015962387739,61,4.284135837910862,16.569492963091125,1.4342916017473524,18.00378456483848
1.0,0.02219557997779923,0.03326978340924581,0.99999999,0.004449369829939843,0.0001,2.0,0.11800158623877391,61,4.284135839251416,16.569492963942356,1.4342916041471647,18.00378456808952
0.99999999,0.02219557997779923,0.03326978340924581,1.0,0.004449369829939843,0.0001,2.0,0.11800158623877391,61,4.284135850062771,16.569492997450595,1.4342916182094565,18.003784615660052
1.0,0.02219557997779923,0.03326978340924581,1.0,0.004449369829939843,0.00010001,2.0,0.11800158623877391,61,4.284135889633294,16.569493128258014,1.4342916017473524,18.00378473000536
1.0,0.012982279335278929,0.0026802262024344034,0.9988865409173747,3.360281627535808e-08,0.0001,2.0,0.164966364605267,61,4.2957342074561655,16.637830417077684,1.34925368913138,17.987084106209064
1.0,0.012982289335278929,0.0026802262024344034,0.9988865309173747,3.360281627535808e-08,0.0001,2.0,0.164966364605267,61,4.295734210822656,16.637830431282516,1.3492536753662432,17.987084106648762
1.0,0.012982279335278929,0.0026802362024344033,0.9988865309173747,3.360281627535808e-08,0.0001,2.0,0.164966364605267,61,4.295734210822656,16.637830431282516,1.3492536753662432,17.987084106648762
1.0,0.012982279335278929,0.0026802262024344034,0.9988865309173747,3.360281627535808e-08,0.0001,1.99999999,0.164966364605267,61,4.295734210910984,16.637830431636388,1.349253690732396,17.98708412236879
1.0,0.012982279335278929,0.0026802262024344034,0.9988865309173747,3.360281627535808e-08,0.0001,2.0,0.164966364605267,61,4.2957342109128875,16.637830431643952,1.3492536751469686,17.987084106790924
1.0,0.012982279335278929,0.0026802262024344034,0.9988865309173747,4.360281627535808e-08,0.0001,2.0,0.164966364605267,61,4.295734211527472,16.63783043717068,1.34925368913138,17.98708412630206
1.0,0.012982279335278929,0.0026802262024344034,0.9988865309173747,3.360281627535808e-08,0.0001,2.0,0.164966374605267,61,4.295734213641143,16.637830446636894,1.3492536595615412,17.987084106198438
0.99999999,0.012982279335278929,0.0026802262024344034,0.9988865309173747,3.360281627535808e-08,0.0001,2.0,0.164966364605267,61,4.2957342250670605,16.637830479949347,1.3492536751469688,17.987084155096312
1.0,0.012982279335278929,0.0026802262024344034,0.9988865309173747,3.360281627535808e-08,0.00010001,2.0,0.164966364605267,61,4.295734264712852,16.637830611121668,1.3492536595615412,17.987084270683212
1.0,0.09341164786992595,0.13342494594355764,1.0,0.11231096654286032,0.0001,2.0,0.12434290034057709,61,4.2911888677793355,16.638798197340122,1.6175769210555098,18.256375118395628
1.0,0.09341165786992595,0.13342493594355764,1.0,0.11231096654286032,0.0001,2.0,0.12434290034057709,61,4.2911888677793355,16.638798197340122,1.6175769210555098,18.256375118395628
1.0,0.09341164786992595,0.13342493594355764,1.0,0.11231096654286032,0.0001,1.99999999,0.12434290034057709,61,4.29118886783314,16.638798197564437,1.6175769342235298,18.256375131787966
1.0,0.09341164786992595,0.13342493594355764,1.0,0.11231096654286032,0.0001,2.0,0.12434290034057709,61,4.2911888678570556,16.63879819766253,1.6175769178797972,18.256375115542326
1.0,0.09341164786992595,0.13342493594355764,1.0,0.11231097654286032,0.0001,2.0,0.12434290034057709,61,4.291188868793207,16.638798204421644,1.6175769334521508,18.256375137873793
1.0,0.09341164786992595,0.13342493594355764,1.0,0.11231096654286032,0.0001,2.0,0.12434291034057708,61,4.291188870511489,16.63879821156265,1.6175769015360653,18.25637511309872
1.0,0.09341164786992595,0.13342493594355764,0.99999999,0.11231096654286032,0.0001,2.0,0.12434290034057709,61,4.291188871474433,16.638798212941516,1.617576902307444,18.256375115248957
0.99999999,0.09341164786992595,0.13342493594355764,1.0,0.11231096654286032,0.0001,2.0,0.12434290034057709,61,4.291188882204625,16.638798246553915,1.6175769178797972,18.25637516443371
1.0,0.09341164786992595,0.13342493594355764,1.0,0.11231096654286032,0.00010001,2.0,0.12434290034057709,61,4.291188922031767,16.638798379063747,1.6175769015360653,18.256375280599812
1.0,0.011497880082571002,0.004075567242180228,0.9951940457457708,-7.126006230468312e-08,0.0001,2.0,0.16307733660250381,61,4.296498864632251,16.64039051725984,1.3470450625931842,17.987435579853024
1.0,0.011497890082571002,0.004075567242180228,0.9951940357457707,-7.126006230468312e-08,0.0001,2.0,0.16307733660250381,61,4.296498868005609,16.640390531497435,1.347045048878495,17.987435580375926
1.0,0.011497880082571002,0.004075577242180228,0.9951940357457707,-7.126006230468312e-08,0.0001,2.0,0.16307733660250381,61,4.29649886800561,16.640390531497435,1.347045048878495,17.987435580375926
1.0,0.011497880082571002,0.004075567242180228,0.9951940357457707,-7.126006230468312e-08,0.0001,1.99999999,0.16307733660250381,61,4.296498868094007,16.64039053185139,1.3470450642811558,17.987435596132546
1.0,0.011497880082571002,0.004075567242180228,0.9951940357457707,-7.126006230468312e-08,0.0001,2.0,0.16307733660250381,61,4.296498868095901,16.64039053185891,1.3470450486604668,17.987435580519378
1.0,0.011497880082571002,0.004075567242180228,0.9951940357457707,-6.126006230468312e-08,0.0001,2.0,0.16307733660250381,61,4.296498868709761,16.64039053740515,1.347045034727749,17.987435572132895
1.0,0.011497880082571002,0.004075567242180228,0.9951940357457707,-7.126006230468312e-08,0.0001,2.0,0.1630773466025038,61,4.296498870807599,16.64039054680411,1.347045033039777,17.987435579843883
0.99999999,0.011497880082571002,0.004075567242180228,0.9951940357457707,-7.126006230468312e-08,0.0001,2.0,0.16307733660250381,61,4.296498882256985,16.640390580177467,1.347045048660467,17.987435628837932
1.0,0.011497880082571002,0.004075567242180228,0.9951940357457707,-7.126006230468312e-08,0.00010001,2.0,0.16307733660250381,61,4.296498921916935,16.640390711374796,1.347045033039777,17.987435744414576
1.0,0.01850224047459928,-0.0009700296138579348,1.0,-1.2597385481907953e-06,0.0001,2.0,0.1738659801312865,61,4.297816188880041,16.649571395747003,1.3371105706618585,17.98668196640886
1.0,0.018502230474599278,-0.0009700196138579348,1.0,-1.2597385481907953e-06,0.0001,2.0,0.1738659801312865,61,4.29781618888004,16.649571395747003,1.3371105701166355,17.98668196586364
1.0,0.018502230474599278,-0.0009700296138579348,1.0,-1.2597385481907953e-06,0.0001,1.99999999,0.1738659801312865,61,4.297816188965089,16.649571396093314,1.337110585808548,17.986681981901867
1.0,0.018502230474599278,-0.0009700296138579348,1.0,-1.2597385481907953e-06,0.0001,2.0,0.1738659801312865,61,4.297816188967146,16.64957139610162,1.3371105703892465,17.98668196649087
1.0,0.018502230474599278,-0.0009700296138579348,1.0,-1.2497385481907954e-06,0.0001,2.0,0.1738659801312865,61,4.297816189620154,16.6495714016146,1.337110556389229,17.986681958003828
1.0,0.018502230474599278,-0.0009700296138579348,0.99999999,-1.2597385481907953e-06,0.0001,2.0,0.1738659801312865,61,4.297816192447249,16.649571410642285,1.337110556389229,17.986681967031515
1.0,0.018502230474599278,-0.0009700296138579348,1.0,-1.2597385481907953e-06,0.0001,2.0,0.1738659901312865,61,4.29781619182186,16.649571411285308,1.337110554969945,17.98668196625525
0.99999999,0.018502230474599278,-0.0009700296138579348,1.0,-1.2597385481907953e-06,0.0001,2.0,0.1738659801312865,61,4.297816203132847,16.649571444444025,1.337110570389247,17.986682014833274
1.0,0.018502230474599278,-0.0009700296138579348,1.0,-1.2597385481907953e-06,0.00010001,2.0,0.1738659801312865,61,4.297816242790596,16.64957157568478,1.337110554969945,17.986682130654724
1.0,0.022059238724458523,0.008926714976547692,1.0,-1.2342302463134752e-06,0.0001,2.0,0.17588907960096462,61,4.298280711965541,16.652173151373226,1.334401548926551,17.986574700299776
1.0,0.02205922872445852,0.008926724976547692,1.0,-1.2342302463134752e-06,0.0001,2.0,0.17588907960096462,61,4.298280711965541,16.652173151373226,1.334401548926551,17.986574700299776
1.0,0.02205922872445852,0.008926714976547692,1.0,-1.2342302463134752e-06,0.0001,1.99999999,0.17588907960096462,61,4.298280712047847,16.65217315171051,1.3344015638742848,17.986574715584798
1.0,0.02205922872445852,0.008926714976547692,1.0,-1.2342302463134752e-06,0.0001,2.0,0.17588907960096462,61,4.298280712051434,16.65217315172508,1.3344015484927476,17.98657470021783
1.0,0.02205922872445852,0.008926714976547692,1.0,-1.2242302463134753e-06,0.0001,2.0,0.17588907960096462,61,4.298280712715801,16.65217315724199,1.3344015344927311,17.986574691734717
1.0,0.02205922872445852,0.008926714976547692,0.99999999,-1.2342302463134752e-06,0.0001,2.0,0.17588907960096462,61,4.2982807155395655,16.652173166266337,1.3344015344927311,17.986574700759075
1.0,0.02205922872445852,0.008926714976547692,1.0,-1.2342302463134752e-06,0.0001,2.0,0.1758890896009646,61,4.298280714939276,16.652173166959667,1.3344015331112102,17.986574700070875
0.99999999,0.02205922872445852,0.008926714976547692,1.0,-1.2342302463134752e-06,0.0001,2.0,0.17588907960096462,61,4.29828072621709,16.652173200073037,1.3344015484927478,17.98657474856578
1.0,0.02205922872445852,0.008926714976547692,1.0,-1.2342302463134752e-06,0.00010001,2.0,0.17588907960096462,61,4.298280765866583,16.65217333131896,1.3344015331112102,17.986574864430168
1.0,0.02148650241849183,0.0076810155433164225,1.0,-1.3238452092760458e-06,0.0001,2.0,0.17783297430582806,61,4.298860179893788,16.655201963159417,1.3313386226754413,17.986540585834863
1.0,0.021486492418491827,0.007681025543316422,1.0,-1.3238452092760458e-06,0.0001,2.0,0.17783297430582806,61,4.298860179893788,16.65520196315942,1.3313386226754413,17.986540585834863
1.0,0.021486492418491827,0.0076810155433164225,1.0,-1.3238452092760458e-06,0.0001,1.99999999,0.17783297430582806,61,4.298860179975697,16.655201963496246,1.331338637612347,17.986540601108594
1.0,0.021486492418491827,0.0076810155433164225,1.0,-1.3238452092760458e-06,0.0001,2.0,0.17783297430582806,61,4.298860179979049,16.655201963509906,1.3313386222670962,17.986540585777
1.0,0.021486492418491827,0.0076810155433164225,1.0,-1.313845209276046e-06,0.0001,2.0,0.17783297430582806,61,4.298860180651614,16.65520196902358,1.331338608267078,17.98654057729066
1.0,0.021486492418491827,0.0076810155433164225,0.99999999,-1.3238452092760458e-06,0.0001,2.0,0.17783297430582806,61,4.298860183472264,16.655201978045678,1.331338608267078,17.986540586312756
1.0,0.021486492418491827,0.0076810155433164225,1.0,-1.3238452092760458e-06,0.0001,2.0,0.17783298430582806,61,4.298860182893028,16.655201978780998,1.3313386069218447,17.98654058570284
0.99999999,0.021486492418491827,0.0076810155433164225,1.0,-1.3238452092760458e-06,0.0001,2.0,0.17783297430582806,61,4.298860194148673,16.655202011868397,1.3313386222670964,17.98654063413549
1.0,0.021486492418491827,0.0076810155433164225,1.0,-1.3238452092760458e-06,0.00010001,2.0,0.17783297430582806,61,4.298860233804687,16.655202143134957,1.3313386069218447,17.9865407500568
1.0,0.023935322975949688,-0.0068852109153135655,1.0,-2.4403351512425744e-06,0.0001,2.0,0.17850766236002683,61,4.299160305568688,16.656656807303403,1.3303746977013353,17.98703150500474
1.0,0.02393533297594969,-0.0068852209153135654,1.0,-2.4403351512425744e-06,0.0001,2.0,0.17850766236002683,61,4.299160305568689,16.656656807303403,1.3303746985643103,17.987031505867716
1.0,0.023935322975949688,-0.0068852209153135654,1.0,-2.4403351512425744e-06,0.0001,1.99999999,0.17850766236002683,61,4.299160305652181,16.656656807646424,1.3303747134654804,17.98703152111191
1.0,0.023935322975949688,-0.0068852209153135654,1.0,-2.4403351512425744e-06,0.0001,2.0,0.17850766236002683,61,4.299160305654145,16.656656807654418,1.3303746981328226,17.987031505787243
1.0,0.023935322975949688,-0.0068852209153135654,1.0,-2.4303351512425745e-06,0.0001,2.0,0.17850766236002683,61,4.299160306327491,16.656656813161575,1.3303746841327888,17.987031497294367
1.0,0.023935322975949688,-0.0068852209153135654,0.99999999,-2.4403351512425744e-06,0.0001,2.0,0.17850766236002683,61,4.299160309147161,16.656656822183738,1.3303746841327886,17.98703150631653
1.0,0.023935322975949688,-0.0068852209153135654,1.0,-2.4403351512425744e-06,0.0001,2.0,0.17850767236002682,61,4.299160308573005,16.65665682292903,1.3303746828001664,17.9870315057292
0.99999999,0.023935322975949688,-0.0068852209153135654,1.0,-2.4403351512425744e-06,0.0001,2.0,0.17850766236002683,61,4.2991603198282275,16.656656856020568,1.3303746981328228,17.98703155415339
1.0,0.023935322975949688,-0.0068852209153135654,1.0,-2.4403351512425744e-06,0.00010001,2.0,0.17850766236002683,61,4.299160359497639,16.65665698730636,1.3303746828001664,17.987031670106525
1.0,0.018871201303327815,0.005057481358438484,1.0,1.2379246162116496e-05,0.0001,2.0,0.17948644863744928,61,4.2993892001799585,16.657920230702036,1.3286246405916733,17.986544871293713
1.0,0.018871211303327817,0.005057471358438484,1.0,1.2379246162116496e-05,0.0001,2.0,0.17948644863744928,61,4.2993892001799585,16.657920230702036,1.3286246405916733,17.98654487129371
1.0,0.018871201303327815,0.005057471358438484,1.0,1.2379246162116496e-05,0.0001,1.99999999,0.17948644863744928,61,4.299389200262079,16.6579202310405,1.328624655571058,17.986544886611558
1.0,0.018871201303327815,0.005057471358438484,1.0,1.2379246162116496e-05,0.0001,2.0,0.17948644863744928,61,4.299389200264815,16.657920231051676,1.328624640256672,17.986544871308347
1.0,0.018871201303327815,0.005057471358438484,1.0,1.2389246162116496e-05,0.0001,2.0,0.17948644863744928,61,4.299389200943683,16.657920236560926,1.328624654256845,17.986544890817772
1.0,0.018871201303327815,0.005057471358438484,0.99999999,1.2379246162116496e-05,0.0001,2.0,0.17948644863744928,61,4.299389203761666,16.65792024558122,1.3286246262564982,17.98654487183772
1.0,0.018871201303327815,0.005057471358438484,1.0,1.2379246162116496e-05,0.0001,2.0,0.17948645863744928,61,4.299389203199488,16.65792024635034,1.3286246249422855,17.986544871292626
0.99999999,0.018871201303327815,0.005057471358438484,1.0,1.2379246162116496e-05,0.0001,2.0,0.17948644863744928,61,4.29938921443887,16.657920279420537,1.3286246402566722,17.986544919677208
1.0,0.018871201303327815,0.005057471358438484,1.0,1.2379246162116496e-05,0.00010001,2.0,0.17948644863744928,61,4.299389254104145,16.657920410708833,1.3286246249422855,17.986545035651115
1.0,0.019080474182960383,0.005331827684775173,1.0,9.060713519545642e-07,0.0001,2.0,0.17969189703562524,61,4.299444641209686,16.658211357975794,1.3283103508620615,17.986521708837852
1.0,0.019080484182960385,0.005331817684775173,1.0,9.060713519545642e-07,0.0001,2.0,0.17969189703562524,61,4.299444641209686,16.658211357975794,1.3283103508620615,17.986521708837856
1.0,0.019080474182960383,0.005331817684775173,1.0,9.060713519545642e-07,0.0001,1.99999999,0.17969189703562524,61,4.299444641291665,16.658211358313846,1.3283103658308402,17.986521724144684
1.0,0.019080474182960383,0.005331817684775173,1.0,9.060713519545642e-07,0.0001,2.0,0.17969189703562524,61,4.299444641294455,16.65821135832524,1.3283103505202887,17.98652170884553
1.0,0.019080474182960383,0.005331817684775173,1.0,9.160713519545643e-07,0.0001,2.0,0.17969189703562524,61,4.299444641974255,16.658211363834365,1.3283103645203018,17.986521728354663
1.0,0.019080474182960383,0.005331817684775173,0.99999999,9.060713519545642e-07,0.0001,2.0,0.17969189703562524,61,4.299444644791915,16.658211372854385,1.3283103365202764,17.98652170937466
1.0,0.019080474182960383,0.005331817684775173,1.0,9.060713519545642e-07,0.0001,2.0,0.17969190703562524,61,4.299444644232029,16.6582113736282,1.328310335209738,17.986521708837937
0.99999999,0.019080474182960383,0.005331817684775173,1.0,9.060713519545642e-07,0.0001,2.0,0.17969189703562524,61,4.299444655468728,16.65821140669491,1.3283103505202891,17.9865217572152
1.0,0.019080474182960383,0.005331817684775173,1.0,9.060713519545642e-07,0.00010001,2.0,0.17969189703562524,61,4.299444695134025,16.658211537984524,1.328310335209738,17.986521873194263
1.0,0.019096385290341803,0.005352663244899528,1.0,3.4309158102702464e-08,0.0001,2.0,0.17970750754878143,61,4.29944885633279,16.658233482595634,1.3282864869099367,17.986519969505576
1.0,0.0190963752903418,0.005352673244899528,1.0,3.4309158102702464e-08,0.0001,2.0,0.17970750754878143,61,4.29944885633279,16.658233482595634,1.3282864869099367,17.986519969505576
1.0,0.0190963752903418,0.005352663244899528,1.0,3.4309158102702464e-08,0.0001,1.99999999,0.17970750754878143,61,4.2994488564147595,16.65823348293365,1.3282865018779098,17.986519984811565
