Vᵢᵢ,Vᵢⱼ,αᵢⱼ,βᵢⱼ,γ1,γ2,γ3,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,0.18459870706579984,0.5141368453370277,-0.04584038401064549,1.5089340082431442,0.0001,1.717931732818727,61,3.2794212156265283,10.819746124842403,0.3629960773672631,11.182742202209663
1.0,0.18459869706579984,0.5141368553370278,-0.04584038401064549,1.5089340082431442,0.0001,1.717931732818727,61,3.2794212166408108,10.819746127726123,0.3629960748694172,11.18274220259554
1.0,0.18459869706579984,0.5141368453370277,-0.04584038401064549,1.508934018243144,0.0001,1.717931732818727,61,3.2794212164970666,10.81974613093261,0.3629960712664298,11.18274220219904
1.0,0.18459869706579984,0.5141368453370277,-0.04584038401064549,1.5089340082431442,0.0001,1.7179317428187268,61,3.2794212155650606,10.819746131073138,0.3629960712664298,11.182742202339572
1.0,0.18459869706579984,0.5141368453370277,-0.04584038401064549,1.5089340082431442,0.00010001,1.717931732818727,61,3.279421216702575,10.819746134691378,0.3629960712664298,11.18274220595781
1.0,0.18459869706579984,0.5141368453370277,-0.04584038401064549,1.5089340082431442,0.0001,1.717931732818727,61,3.2794212166195873,10.819746135334883,0.3629960670297358,11.182742202364617
1.0,0.18459869706579984,0.5141368453370277,-0.04584037401064549,1.5089340082431442,0.0001,1.717931732818727,61,3.2794212284870614,10.819746142119088,0.3629960591900545,11.182742201309145
0.99999999,0.18459869706579984,0.5141368453370277,-0.04584038401064549,1.5089340082431442,0.0001,1.717931732818727,61,3.2794212245580043,10.819746168885839,0.362996067029736,11.182742235915576
1.0,0.18025141176409462,0.5132794385337696,-0.041153382377185785,1.5261245629265634,0.0001,1.7038350495752164,61,3.2866035582057966,10.826847609191548,0.3555495573567244,11.18239716654827
1.0,0.18025140176409463,0.5132794485337696,-0.041153382377185785,1.5261245629265634,0.0001,1.7038350495752164,61,3.286603559036025,10.826847611523922,0.35554955502470525,11.182397166548627
1.0,0.18025140176409463,0.5132794385337696,-0.041153382377185785,1.5261245729265633,0.0001,1.7038350495752164,61,3.286603559001158,10.826847614988894,0.35554955155709195,11.18239716654599
1.0,0.18025140176409463,0.5132794385337696,-0.041153382377185785,1.5261245629265634,0.0001,1.7038350595752163,61,3.2866035581285504,10.826847614989097,0.35554955155709195,11.182397166546187
