Vᵢᵢ,Ʌᵢᵢ,Ƹᵢⱼ,Ʒᵢⱼ,γ1,γ3,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,1.0,1.0,0.99999999,2.0,0.0001,61,3.2509671865334493,10.998359729212321,2.7999999860000004,13.798359715212325
1.0,1.0,1.0,1.0,2.0,0.0001,61,3.2509671862325598,10.998359729844323,2.800000014,13.798359743844323
1.0,1.0,1.0,1.0,2.0,0.00010001,61,3.250967187474528,10.99835973035748,2.800000014002801,13.798359744360281
1.0,1.0,1.0,1.0,1.99999999,0.0001,61,3.25096718626486,10.99835973267612,2.8000000139972006,13.798359746673324
1.0,1.0,0.99999999,1.0,2.0,0.0001,61,3.250967188018025,10.998359735466028,2.7999999860000004,13.798359721466028
1.0,0.99999999,1.0,1.0,2.0,0.0001,61,3.250967192402693,10.998359751515833,2.800000014,13.798359765515837
0.99999999,1.0,1.0,1.0,2.0,0.0001,61,3.250967192402692,10.998359751515833,2.800000014,13.798359765515837
1.0,1.0,0.746586094070996,0.5332548731895679,2.0,0.0001,61,3.335870453006087,11.169395376432567,1.1465950450349187,12.315990421467488
1.0,1.0,0.7465860840709959,0.5332548831895679,2.0,0.0001,61,3.3358704531127654,11.169395379907652,1.1465950450349187,12.315990424942568
1.0,1.0,0.7465860840709959,0.5332548731895679,2.0,0.00010001,61,3.3358704547638713,11.16939538032138,1.1465950271199454,12.315990407441326
1.0,1.0,0.7465860840709959,0.5332548731895679,2.0,0.0001,61,3.3358704545917455,11.169395381858555,1.1465950271171457,12.3159904089757
1.0,1.0,0.7465860840709959,0.5332548731895679,1.99999999,0.0001,61,3.3358704546166837,11.16939538443942,1.1465950271143457,12.315990411553768
0.99999999,1.0,0.7465860840709959,0.5332548731895679,2.0,0.0001,61,3.335870459989563,11.169395401392105,1.1465950271171457,12.31599042850925
1.0,0.99999999,0.7465860840709959,0.5332548731895679,2.0,0.0001,61,3.335870459989563,11.169395401392105,1.1465950271171457,12.31599042850925
1.0,1.0,0.4100778347319727,0.17568967973716845,1.9959169115561526,0.08041247807593936,61,3.453627712456018,11.447173156083899,0.24834315271539956,11.695516308799299
1.0,1.0,0.4100778247319727,0.17568968973716845,1.9959169115561526,0.08041247807593936,61,3.453627712662553,11.44717315967795,0.24834315271539956,11.69551631239335
1.0,1.0,0.4100778247319727,0.17568967973716845,1.9959169215561525,0.08041247807593936,61,3.453627714399206,11.447173160152918,0.24834314665187757,11.695516306804794
1.0,1.0,0.4100778247319727,0.17568967973716845,1.9959169115561526,0.08041248807593936,61,3.453627714171652,11.447173160986607,0.24834314665187757,11.695516307638483
1.0,1.0,0.4100778247319727,0.17568967973716845,1.9959169115561526,0.08041247807593936,61,3.453627714422495,11.447173162685775,0.2483431445146545,11.695516307200425
1.0,0.99999999,0.4100778247319727,0.17568967973716845,1.9959169115561526,0.08041247807593936,61,3.453627719483382,11.447173180864654,0.24834314451465456,11.69551632537931
0.99999999,1.0,0.4100778247319727,0.17568967973716845,1.9959169115561526,0.08041247807593936,61,3.453627719483382,11.447173180864654,0.24834314451465456,11.69551632537931
1.0,1.0,0.41400634718508994,0.16333103821262995,2.0,0.07866949201245367,61,3.4551118952686615,11.4476710328358,0.24198736416740926,11.689658397003209
