Vᵢᵢ,Ƹᵢⱼ,Ʒᵢⱼ,γ1,γ3,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,0.24654681836079773,0.7248308010230886,0.8285138855425708,1.3956187157150661,59,6.715520002113913,21.67220192142568,0.7699834274330405,22.442185348858718
1.0,0.24654680836079773,0.7248308110230887,0.8285138855425708,1.3956187157150661,59,6.715519999861227,21.67220192511141,0.7699834274330405,22.44218535254445
1.0,0.24654680836079773,0.7248308010230886,0.8285138855425708,1.395618725715066,59,6.715520005238003,21.672201929872795,0.7699834197171327,22.442185349589927
1.0,0.24654680836079773,0.7248308010230886,0.8285138955425708,1.3956187157150661,59,6.715520005855738,21.67220193051238,0.7699834197171327,22.442185350229515
1.0,0.24654680836079773,0.7248308010230886,0.8285138855425708,1.3956187157150661,59,6.715520002685547,21.67220193431662,0.7699834131052208,22.44218534742184
0.99999999,0.24654680836079773,0.7248308010230886,0.8285138855425708,1.3956187157150661,59,6.715520016749182,21.672201987426476,0.7699834131052211,22.4421854005317
1.0,0.21625605384564958,0.8394206497792652,0.8358135179522529,1.2757872395750545,59,6.669479905412564,21.6807554119169,0.8402800360440568,22.521035447960955
1.0,0.2162560438456496,0.8394206497792652,0.8358135279522529,1.2757872395750545,59,6.669479911213415,21.680755422830213,0.8402800237650483,22.52103544659526
1.0,0.2162560438456496,0.8394206597792653,0.8358135179522529,1.2757872395750545,59,6.669479907732574,21.680755424800683,0.8402800360440568,22.52103546084474
1.0,0.2162560438456496,0.8394206497792652,0.8358135179522529,1.2757872495750544,59,6.669479911789924,21.6807554267968,0.8402800237650481,22.521035450561854
1.0,0.2162560438456496,0.8394206497792652,0.8358135179522529,1.2757872395750545,59,6.669479909113996,21.680755429945954,0.8402800204728255,22.521035450418786
0.99999999,0.2162560438456496,0.8394206497792652,0.8358135179522529,1.2757872395750545,59,6.6694799249397505,21.68075548846735,0.8402800204728256,22.521035508940173
1.0,0.20144246594996984,0.8646321145670711,0.8275882829700503,1.2249992721820122,59,6.65887778071469,21.72151093699604,0.8422588609395164,22.56376979793555
1.0,0.20144245594996985,0.8646321245670712,0.8275882829700503,1.2249992721820122,59,6.658877782898555,21.72151094872634,0.8422588609395164,22.563769809665853
1.0,0.20144245594996985,0.8646321145670711,0.8275882929700503,1.2249992721820122,59,6.658877787244317,21.721510948995473,0.8422588467662494,22.56376979576172
