Vᵢᵢ,Ƹᵢⱼ,Ʒᵢⱼ,γ1,γ3,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
0.99999999,0.07237611163054097,0.1902881956694679,0.0001,1.5179509996725993,39,9.027260966316696,25.23019915859377,0.24676327497518202,25.476962433568954
1.0,0.07237611163054097,0.1902881956694679,0.0001,1.5179509996725993,39,9.02726096631731,25.23019915859505,0.24676327497518183,25.47696243357023
1.0,0.07237611163054097,0.19028820566946789,0.0001,1.5179509996725993,39,9.027260965114795,25.23019916213518,0.24676327740482668,25.47696243954
1.0,0.07237611163054097,0.1902881956694679,0.0001,1.5179510096725992,39,9.02726096731984,25.230199162475458,0.24676326605912546,25.476962428534588
1.0,0.07237612163054097,0.1902881956694679,0.0001,1.5179509996725993,39,9.02726096831316,25.230199162840705,0.24676327740482668,25.476962440245533
1.0,0.07237611163054097,0.1902881956694679,0.00010001,1.5179509996725993,39,9.027260972459544,25.230199171370398,0.24676326605912546,25.47696243742952
1.0,0.03319535692364307,0.12583668304684728,0.0001,1.6240091937364152,39,9.050849839024654,25.25899480652509,0.14239403111942,25.40138883764451
1.0,0.03319536692364307,0.12583667304684729,0.0001,1.6240091937364152,39,9.050849841093004,25.258994807848644,0.14239403111942,25.40138883896806
0.99999999,0.03319535692364307,0.12583667304684729,0.0001,1.6240091937364152,39,9.050849843495001,25.258994812104476,0.1423940296483739,25.401388841752848
1.0,0.03319535692364307,0.12583667304684729,0.0001,1.6240091937364152,39,9.050849843495646,25.25899481210582,0.1423940296483737,25.40138884175419
1.0,0.03319535692364307,0.12583667304684729,0.0001,1.624009203736415,39,9.050849843793568,25.258994813452716,0.1423940226943939,25.40138883614711
1.0,0.03319535692364307,0.12583667304684729,0.00010001,1.6240091937364152,39,9.05084984996325,25.258994825517494,0.1423940226943939,25.401388848211887
1.0,0.039032830578768996,0.11957002356764496,0.0001,1.585717243745773,39,9.05333093552074,25.260060178715786,0.17031542913128958,25.43037560784707
1.0,0.039032840578769,0.11957001356764496,0.0001,1.585717243745773,39,9.053330942207419,25.260060190023637,0.17031542913128958,25.43037561915493
0.99999999,0.039032830578768996,0.11957001356764496,0.0001,1.585717243745773,39,9.053330942385863,25.260060190119294,0.1703154276642134,25.430375617783504
1.0,0.039032830578768996,0.11957001356764496,0.0001,1.585717243745773,39,9.053330942386555,25.26006019012072,0.1703154276642132,25.430375617784932
1.0,0.039032830578768996,0.11957001356764496,0.0001,1.5857172537457729,39,9.053330942285548,25.26006019041717,0.17031542000183236,25.430375610419
1.0,0.039032830578768996,0.11957001356764496,0.00010001,1.585717243745773,39,9.053330949317548,25.26006020437267,0.17031542000183236,25.4303756243745
1.0,0.03542405715277664,0.11571489549549027,0.0001,1.7902845597759622,39,9.063187282985426,25.296073184706533,0.05120811496281535,25.347281299669355
0.99999999,0.03542404715277664,0.11571489549549027,0.0001,1.7902845597759622,39,9.063187285962979,25.296073190305002,0.05120811356478028,25.347281303869785
1.0,0.03542404715277664,0.11571489549549027,0.0001,1.7902845597759622,39,9.063187285963622,25.296073190306338,0.051208113564780076,25.347281303871117
1.0,0.03542404715277664,0.11571489549549027,0.0001,1.7902845697759622,39,9.063187286871328,25.2960731935394,0.051208109686894536,25.3472813032263
1.0,0.03542404715277664,0.11571490549549027,0.0001,1.7902845597759622,39,9.063187284519953,25.296073194930422,0.05120811496281535,25.347281309893233
1.0,0.03542404715277664,0.11571489549549027,0.00010001,1.7902845597759622,39,9.063187292407855,25.296073203668687,0.051208109686894536,25.347281313355584
0.9991816393489803,0.03733457793849809,0.09365136557087377,0.0001,1.8772058519265291,39,9.07521378511304,25.31450587292146,0.021861313190932364,25.336367186112398
0.9991816393489803,0.03733456793849809,0.09365137557087376,0.0001,1.8772058519265291,39,9.075213781461606,25.314505873291623,0.02186131319093236,25.33636718648256
0.9991816393489803,0.03733456793849809,0.09365136557087377,0.0001,1.8772058519265291,39,9.075213785381761,25.31450587386476,0.021861311979312428,25.336367185844075
