Vᵢᵢ,Ʌᵢᵢ,γ1,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,1.0,2.0,61,4.800371655296407,16.39432785308447,2.8,19.19432785308447
1.0,1.0,1.99999999,61,4.800371653465063,16.394327853655643,2.799999944000001,19.194327797655642
1.0,0.99999999,2.0,61,4.8003716623750945,16.394327875371413,2.8,19.194327875371414
0.99999999,1.0,2.0,61,4.800371663739488,16.394327880456878,2.8,19.194327880456875
1.0,1.0,1.5080807221532555,61,4.863980519979023,17.143550001019722,0.7228088566265662,17.86635885764629
1.0,1.0,1.5080807121532556,61,4.8639805250908505,17.143550029295586,0.7228088281740461,17.866358857469635
1.0,0.99999999,1.5080807121532556,61,4.86398053605151,17.143550068911306,0.7228088281740461,17.86635889708535
0.99999999,1.0,1.5080807121532556,61,4.86398053862291,17.14355007461744,0.7228088281740461,17.866358902791486
1.0,1.0,1.5063427985588989,61,4.864871526615539,17.14847102566441,0.7178724830268814,17.86634350869129
1.0,1.0,1.5063427861126424,61,4.864871533015239,17.14847106095601,0.7178724477352767,17.866343508691283
1.0,1.0,1.5063427761126424,61,4.864871538157108,17.148471089311208,0.7178724193800812,17.866343508691283
1.0,1.0,1.5063427761126424,61,4.864871538157108,17.148471089311208,0.7178724193800812,17.866343508691283
1.0,0.99999999,1.5063427761126424,61,4.864871549134785,17.14847112897643,0.7178724193800812,17.866343548356507
0.99999999,1.0,1.5063427761126424,61,4.864871551708788,17.148471134681103,0.7178724193800812,17.866343554061178
1.0,0.9999999850988388,1.5063427761126424,61,4.864871554515121,17.148471148416995,0.7178724193800813,17.866343567797074
0.9999999850988388,1.0,1.5063427761126424,61,4.864871558350686,17.148471156917616,0.7178724193800813,17.866343576297698
1.0,1.0,1.5063317763416506,61,4.864877194198956,17.148502279652746,0.7178412296532157,17.866343509305963
1.0,1.0,1.5063317663416507,61,4.864877199341013,17.148502308008442,0.7178412012986366,17.866343509307082
1.0,0.99999999,1.5063317663416507,61,4.864877210318797,17.148502347673983,0.7178412012986366,17.86634354897262
0.99999999,1.0,1.5063317663416507,61,4.864877212892818,17.14850235337864,0.7178412012986366,17.86634355467728
1.0,1.0,1.47988978666064,61,4.879079262029308,17.22505975496723,0.6448237805553448,17.86988353552257
1.0,1.0,1.47988977666064,61,4.879079267629652,17.22505978451186,0.6448237536815171,17.869883538193385
1.0,0.99999999,1.47988977666064,61,4.879079278867306,17.225059824919317,0.6448237536815171,17.869883578600835
0.99999999,1.0,1.47988977666064,61,4.8790792814787425,17.225059830598717,0.6448237536815171,17.869883584280238
1.0,1.0,1.2541434930489146,61,5.049636041082614,17.995493742865214,0.18084896216549037,18.17634270503071
1.0,1.0,1.2541434830489147,61,5.049636050564587,17.995493781155336,0.1808489479334551,18.176342729088788
1.0,0.99999999,1.2541434830489147,61,5.049636064029138,17.995493827024784,0.18084894793345524,18.17634277495824
0.99999999,1.0,1.2541434830489147,61,5.049636066783061,17.995493832274438,0.18084894793345524,18.17634278020789
-0.09822594864534379,0.982981339097023,0.17678613694895784,61,10.172402390842056,30.897317138680894,2.7681463574829865,33.66546349616388
-0.09822595864534378,0.9829813490970231,0.17678613694895784,61,10.1724023997601,30.897317153563918,2.7681463574829865,33.665463511046916
-0.09822595864534378,0.982981339097023,0.17678614694895783,61,10.172402420596882,30.897317199624183,2.768146326996435,33.66546352662062
-0.09822595864534378,0.982981339097023,0.17678613694895784,61,10.172402432779332,30.897317227053737,2.768146373096411,33.66546360015015
-0.09822595864534378,0.982981339097023,0.17678613694895784,61,10.172402432779332,30.897317227053737,2.768146373096411,33.66546360015015
-0.04936137795448303,0.3376251384615898,1.0041082766338707,61,11.939967990366881,34.64918277584155,2.051075925738611,36.70025870158017
-0.19324620068073273,0.42614367604255676,1.570665895539451,61,12.17153698599191,35.009214379790414,3.0977027129369925,38.106917092727414
-0.04936137795448303,0.3376251384615898,0.04694320683471177,61,12.617651307196757,36.04104819179326,4.594316970311099,40.63536516210435
-0.07700045424555668,0.11310863162732887,0.15088947439077596,61,13.814811258169577,38.44570014686254,4.7185780808237645,43.164278227686296
0.4207311123609543,-0.9650830887258053,0.04694320683471177,61,17.189021134337388,45.38247209970208,7.0748971885380145,52.45736928824009
0.12732743844389915,-0.5128749553114176,1.0166858547270965,61,17.492993942624896,46.00373586013373,3.9843654383572753,49.98810129849101
0.7313538201669336,-0.8625506867529202,1.8148659158594955,61,18.233582257629177,49.93116611071199,5.038618149224845,54.96978425993684
-0.04936137795448303,-0.9650830887258053,0.04694320683471177,61,19.78551768031538,50.85014454108468,8.904101112685394,59.75424565377006
