Ʌᵢᵢ,Vᵢⱼ,Ʌᵢⱼ,αᵢⱼ,βᵢⱼ,γ1,γ2,γ3,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,0.22461195287212216,0.7760605783428962,0.1035514874481625,0.3687855936666112,0.0001,0.0713444956430787,2.0,59,7.973356707560934,25.6321512784735,1.7508753460420128,27.383026624515516
1.0,0.22461196287212215,0.7760605683428962,0.1035514874481625,0.3687855936666112,0.0001,0.0713444956430787,2.0,59,7.973356707560934,25.632151278473504,1.7508753460420128,27.383026624515516
1.0,0.22461195287212216,0.7760605683428962,0.1035514974481625,0.3687855936666112,0.0001,0.0713444956430787,2.0,59,7.973356709285047,25.632151287115747,1.750875338249065,27.383026625364806
1.0,0.22461195287212216,0.7760605683428962,0.1035514874481625,0.3687856036666112,0.0001,0.0713444956430787,2.0,59,7.973356709704611,25.63215128817513,1.750875338249065,27.383026626424197
1.0,0.22461195287212216,0.7760605683428962,0.1035514874481625,0.3687855936666112,0.0001,0.0713444956430787,1.99999999,59,7.973356709829044,25.632151288447808,1.7508753495436848,27.3830266379915
1.0,0.22461195287212216,0.7760605683428962,0.1035514874481625,0.3687855936666112,0.0001,0.0713444956430787,2.0,59,7.973356710122873,25.632151289152063,1.750875331282093,27.38302662043415
1.0,0.22461195287212216,0.7760605683428962,0.1035514874481625,0.3687855936666112,0.0001,0.07134450564307869,2.0,59,7.973356711422869,25.63215130182372,1.7508753130205017,27.38302661484422
0.99999999,0.22461195287212216,0.7760605683428962,0.1035514874481625,0.3687855936666112,0.0001,0.0713444956430787,2.0,59,7.973356719960008,25.632151319591966,1.7508753312820935,27.38302665087406
1.0,0.22461195287212216,0.7760605683428962,0.1035514874481625,0.3687855936666112,0.00010001,0.0713444956430787,2.0,59,7.973356736346715,25.632151379616214,1.7508753130205017,27.38302669263671
1.0,0.10631122713279523,0.745341021225145,0.7897632466375892,-0.7705229652484192,0.0001,0.012014842923054853,2.0,59,8.007325632169733,25.72174551100466,3.2900077025085848,29.01175321351324
1.0,0.10631123713279522,0.745341011225145,0.7897632466375892,-0.7705229652484192,0.0001,0.012014842923054853,2.0,59,8.007325632169733,25.72174551100466,3.2900077025085848,29.01175321351324
1.0,0.10631122713279523,0.745341011225145,0.7897632566375893,-0.7705229652484192,0.0001,0.012014842923054853,2.0,59,8.007325635664722,25.721745523940598,3.290007712960936,29.011753236901534
1.0,0.10631122713279523,0.745341011225145,0.7897632466375892,-0.7705229552484192,0.0001,0.012014842923054853,2.0,59,8.007325635939582,25.72174552469429,3.2900076669324925,29.01175319162678
1.0,0.10631122713279523,0.745341011225145,0.7897632466375892,-0.7705229652484192,0.0001,0.012014842923054853,1.99999999,59,8.007325636176704,25.721745525124458,3.290007709375122,29.011753234499572
1.0,0.10631122713279523,0.745341011225145,0.7897632466375892,-0.7705229652484192,0.0001,0.012014842923054853,2.0,59,8.007325636436951,25.72174552585157,3.290007689946713,29.011753215798294
1.0,0.10631122713279523,0.745341011225145,0.7897632466375892,-0.7705229652484192,0.0001,0.012014852923054853,2.0,59,8.007325639580465,25.721745541836306,3.290007670518306,29.011753212354616
0.99999999,0.10631122713279523,0.745341011225145,0.7897632466375892,-0.7705229652484192,0.0001,0.012014842923054853,2.0,59,8.007325645236678,25.721745554038648,3.290007689946713,29.011753243985357
1.0,0.10631122713279523,0.745341011225145,0.7897632466375892,-0.7705229652484192,0.00010001,0.012014842923054853,2.0,59,8.007325659542351,25.721745609134974,3.290007670518306,29.011753279653274
1.0,0.21045986766535443,0.7400951531206365,0.024289468873242043,0.2847409769557138,0.0001,0.09915785573597591,2.0,59,8.007311723232542,25.757976184319467,1.534616951638936,27.292593135958406
1.0,0.21045985766535444,0.7400951631206365,0.024289468873242043,0.2847409769557138,0.0001,0.09915785573597591,2.0,59,8.007311723232542,25.757976184319467,1.5346169516389363,27.292593135958406
1.0,0.21045985766535444,0.7400951531206365,0.024289478873242044,0.2847409769557138,0.0001,0.09915785573597591,2.0,59,8.007311726315583,25.75797619543264,1.53461694217645,27.292593137609092
1.0,0.21045985766535444,0.7400951531206365,0.024289468873242043,0.2847409869557138,0.0001,0.09915785573597591,2.0,59,8.007311726643291,25.757976196311994,1.53461694217645,27.292593138488442
1.0,0.21045985766535444,0.7400951531206365,0.024289468873242043,0.2847409769557138,0.0001,0.09915785573597591,1.99999999,59,8.007311726920586,25.757976196948444,1.5346169553328453,27.292593152281288
1.0,0.21045985766535444,0.7400951531206365,0.024289468873242043,0.2847409769557138,0.0001,0.09915785573597591,2.0,59,8.00731172710884,25.757976197392196,1.5346169376182497,27.292593135010446
1.0,0.21045985766535444,0.7400951531206365,0.024289468873242043,0.2847409769557138,0.0001,0.0991578657359759,2.0,59,8.007311731075367,25.757976214371475,1.534616919903655,27.292593134275137
0.99999999,0.21045985766535444,0.7400951531206365,0.024289468873242043,0.2847409769557138,0.0001,0.09915785573597591,2.0,59,8.007311736380009,25.75797622676555,1.5346169376182506,27.292593164383806
1.0,0.21045985766535444,0.7400951531206365,0.024289468873242043,0.2847409769557138,0.00010001,0.09915785573597591,2.0,59,8.00731175164364,25.757976284319195,1.534616919903655,27.292593204222847
1.0,0.2019940840282999,0.7315091569781673,0.18247134753984207,-0.039473374686071316,0.0001,0.08575684009698031,2.0,59,8.011509174943457,25.762387895161947,1.5007373116956544,27.2631252068576
1.0,0.2019940989294611,0.7315091420770061,0.18247134753984207,-0.039473374686071316,0.0001,0.08575684009698031,2.0,59,8.011509174943457,25.762387895161947,1.5007373116956544,27.2631252068576
1.0,0.2019940840282999,0.7315091420770061,0.18247136244100326,-0.039473374686071316,0.0001,0.08575684009698031,2.0,59,8.0115091798148,25.762387912505254,1.5007372960561591,27.263125208561416
1.0,0.2019940840282999,0.7315091420770061,0.18247134753984207,-0.039473374686071316,0.0001,0.08575684009698031,1.9999999701976776,59,8.011509180537303,25.76238791427053,1.5007373447570485,27.26312525902758
1.0,0.2019940840282999,0.7315091420770061,0.18247134753984207,-0.039473374686071316,0.0001,0.08575684009698031,2.0,59,8.011509180984797,25.762387915400442,1.5007372911779886,27.263125206578433
1.0,0.2019940840282999,0.7315091420770061,0.18247134753984207,-0.03947338958723251,0.0001,0.08575684009698031,2.0,59,8.011509181696061,25.762387917051484,1.5007372960561591,27.263125213107642
1.0,0.2019940840282999,0.7315091420770061,0.18247134753984207,-0.039473374686071316,0.0001,0.08575685499814151,2.0,59,8.011509187003334,25.7623879410653,1.5007372643884607,27.263125205453758
0.9999999850988388,0.2019940840282999,0.7315091420770061,0.18247134753984207,-0.039473374686071316,0.0001,0.08575684009698031,2.0,59,8.011509194558592,25.76238795859821,1.500737291177989,27.2631252497762
1.0,0.2019940840282999,0.7315091420770061,0.18247134753984207,-0.039473374686071316,0.00010001490116119385,0.08575684009698031,2.0,59,8.011509216808998,25.762388043123362,1.5007372643884607,27.263125307511828
1.0,0.14846434285577492,0.72482149456163,0.3811419215815794,-0.34508141875559006,0.0001,0.04296916190758621,2.0,59,8.019328229939141,25.770196415776624,1.851850699317046,27.622047115093665
1.0,0.14846435285577492,0.72482148456163,0.3811419215815794,-0.34508141875559006,0.0001,0.04296916190758621,2.0,59,8.019328229939141,25.770196415776624,1.851850699317046,27.622047115093665
1.0,0.14846434285577492,0.72482148456163,0.3811419315815794,-0.34508141875559006,0.0001,0.04296916190758621,2.0,59,8.01932823340639,25.77019642829818,1.8518506971478748,27.622047125446052
1.0,0.14846434285577492,0.72482148456163,0.3811419215815794,-0.34508140875559007,0.0001,0.04296916190758621,2.0,59,8.019328233697905,25.770196429092373,1.8518506757242854,27.622047104816666
1.0,0.14846434285577492,0.72482148456163,0.3811419215815794,-0.34508141875559006,0.0001,0.04296916190758621,1.99999999,59,8.019328234037292,25.77019642982039,1.8518507052557203,27.62204713507611
1.0,0.14846434285577492,0.72482148456163,0.3811419215815794,-0.34508141875559006,0.0001,0.04296916190758621,2.0,59,8.019328234187043,25.77019643022839,1.8518506864360806,27.62204711666447
1.0,0.14846434285577492,0.72482148456163,0.3811419215815794,-0.34508141875559006,0.0001,0.042969171907586215,2.0,59,8.01932823780165,25.77019644681872,1.8518506676164397,27.622047114435162
0.99999999,0.14846434285577492,0.72482148456163,0.3811419215815794,-0.34508141875559006,0.0001,0.04296916190758621,2.0,59,8.01932824317744,25.770196458882747,1.8518506864360806,27.622047145318824
1.0,0.14846434285577492,0.72482148456163,0.3811419215815794,-0.34508141875559006,0.00010001,0.04296916190758621,2.0,59,8.019328257867366,25.77019651489946,1.8518506676164397,27.6220471825159
1.0,0.20625552324470803,0.7357705663922532,0.1106844092175011,-0.0012912453241515265,0.0001,0.09804488603878864,2.0,59,8.01697654497456,25.781956273815677,1.4635013151171574,27.245457588932837
1.0,0.20625550834354683,0.7357705812934144,0.1106844092175011,-0.0012912453241515265,0.0001,0.09804488603878864,2.0,59,8.01697654497456,25.78195627381568,1.4635013151171574,27.24545758893283
