Vᵢᵢ,Ʌᵢᵢ,Vᵢⱼ,Ʌᵢⱼ,αᵢⱼ,βᵢⱼ,γ1,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,0.9877644182138631,0.6256025583218912,0.19412676668740778,0.6574907100992347,0.7118015235404609,0.7866145472709983,59,6.362619369408921,20.83092275787466,2.0127853706625416,22.843708128537212
1.0,0.9877644182138631,0.6256025583218912,0.19412676668740778,0.6574907200992347,0.7118015135404608,0.7866145472709983,59,6.362619365882363,20.83092276021141,2.0127853706625416,22.84370813087395
1.0,0.9877644282138631,0.6256025583218912,0.19412676668740778,0.6574907100992347,0.7118015135404608,0.7866145472709983,59,6.36261937011074,20.83092276742488,2.012785350285006,22.84370811770989
1.0,0.9877644182138631,0.6256025683218912,0.19412676668740778,0.6574907100992347,0.7118015135404608,0.7866145472709983,59,6.362619374574645,20.83092276797146,2.012785362556488,22.843708130527947
1.0,0.9877644182138631,0.6256025583218912,0.19412677668740777,0.6574907100992347,0.7118015135404608,0.7866145472709983,59,6.362619374574645,20.83092276797146,2.012785362556488,22.843708130527947
1.0,0.9877644182138631,0.6256025583218912,0.19412676668740778,0.6574907100992347,0.7118015135404608,0.7866145472709983,59,6.362619373037607,20.830922775807807,2.012785350465481,22.843708126273285
1.0,0.9877644182138631,0.6256025583218912,0.19412676668740778,0.6574907100992347,0.7118015135404608,0.7866145572709984,59,6.362619375498755,20.830922777333445,2.0127853378757394,22.843708115209182
0.99999999,0.9877644182138631,0.6256025583218912,0.19412676668740778,0.6574907100992347,0.7118015135404608,0.7866145472709983,59,6.362619375964475,20.83092278419073,2.0127853506459554,22.84370813483668
1.0,1.0,0.7385795937549038,0.24144452195510577,0.8388181965457194,0.5027383618428412,0.7931819725129956,59,6.361712492148336,20.919624784411802,2.161845588868468,23.08147037328027
1.0,1.0,0.7385796037549038,0.24144452195510577,0.8388181965457194,0.5027383518428411,0.7931819725129956,59,6.361712497503166,20.919624798660113,2.1618455835358636,23.081470382195977
1.0,1.0,0.7385795937549038,0.24144453195510576,0.8388181965457194,0.5027383518428411,0.7931819725129956,59,6.361712497503166,20.919624798660113,2.1618455835358636,23.081470382195977
1.0,1.0,0.7385795937549038,0.24144452195510577,0.8388182065457195,0.5027383518428411,0.7931819725129956,59,6.3617124935188105,20.9196248039578,2.161845588868468,23.081470392826272
1.0,0.99999999,0.7385795937549038,0.24144452195510577,0.8388181965457194,0.5027383518428411,0.7931819725129956,59,6.361712499000776,20.9196248105071,2.161845569080508,23.081470379587607
0.99999999,1.0,0.7385795937549038,0.24144452195510577,0.8388181965457194,0.5027383518428411,0.7931819725129956,59,6.361712499000776,20.9196248105071,2.161845569080508,23.081470379587607
1.0,1.0,0.7385795937549038,0.24144452195510577,0.8388181965457194,0.5027383518428411,0.7931819725129956,59,6.361712498556014,20.919624813131584,2.161845569080508,23.081470382212093
1.0,1.0,0.7385795937549038,0.24144452195510577,0.8388181965457194,0.5027383518428411,0.7931819825129957,59,6.361712499908328,20.91962482500351,2.1618455568782453,23.081470381881765
1.0,1.0,0.47999919987145856,0.09637199546810366,0.4679874912510415,0.8749255298009896,0.8695305236044595,59,6.4359463484154205,21.069043977531198,1.6252348520838167,22.694278829615016
1.0,1.0,0.47999919987145856,0.09637199546810366,0.4679874812510415,0.8749255398009896,0.8695305236044595,59,6.435946354628362,21.069043979450967,1.6252348520838167,22.694278831534778
1.0,1.0,0.47999919987145856,0.09637200546810365,0.4679874812510415,0.8749255298009896,0.8695305236044595,59,6.43594635913647,21.069043988023882,1.625234840777325,22.694278828801206
1.0,1.0,0.47999920987145855,0.09637199546810366,0.4679874812510415,0.8749255298009896,0.8695305236044595,59,6.43594635913647,21.069043988023886,1.625234840777325,22.694278828801206
1.0,1.0,0.47999919987145856,0.09637199546810366,0.4679874812510415,0.8749255298009896,0.8695305236044595,59,6.435946356608461,21.069043994886847,1.6252348322758499,22.694278827162698
1.0,1.0,0.47999919987145856,0.09637199546810366,0.4679874812510415,0.8749255298009896,0.8695305336044595,59,6.435946360965597,21.06904400116144,1.625234824578151,22.694278825739595
