Ʌᵢᵢ,Vᵢⱼ,Ʌᵢⱼ,αᵢⱼ,βᵢⱼ,γ1,γ2,γ3,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,0.25933322182805335,0.11978445438268989,0.5211200035456198,-0.04809427092854754,1.53066936860965,0.0001,1.6822182275274402,61,3.279988997432,10.81392464505278,0.3697540402441163,11.183678685296897
1.0,0.25933323182805335,0.11978445438268989,0.5211199935456198,-0.04809427092854754,1.53066936860965,0.0001,1.6822182275274402,61,3.2799889972068135,10.813924647897473,0.3697540375827641,11.183678685480238
1.0,0.25933322182805335,0.11978446438268989,0.5211199935456198,-0.04809427092854754,1.53066936860965,0.0001,1.6822182275274402,61,3.2799889972068135,10.813924647897473,0.3697540375827641,11.183678685480238
1.0,0.25933322182805335,0.11978445438268989,0.5211199935456198,-0.04809427092854754,1.53066936860965,0.0001,1.6822182375274402,61,3.2799889964653626,10.813924648463479,0.36975403625088515,11.183678684714362
1.0,0.25933322182805335,0.11978445438268989,0.5211199935456198,-0.04809427092854754,1.53066937860965,0.0001,1.6822182275274402,61,3.2799889974968384,10.813924648677093,0.36975403625088515,11.183678684927978
1.0,0.25933322182805335,0.11978445438268989,0.5211199935456198,-0.04809427092854754,1.53066936860965,0.00010001,1.6822182275274402,61,3.279988997718982,10.813924652298303,0.36975403625088515,11.183678688549188
1.0,0.25933322182805335,0.11978445438268989,0.5211199935456198,-0.04809427092854754,1.53066936860965,0.0001,1.6822182275274402,61,3.2799889976072327,10.813924652888263,0.3697540322751165,11.183678685163377
1.0,0.25933322182805335,0.11978445438268989,0.5211199935456198,-0.04809426092854754,1.53066936860965,0.0001,1.6822182275274402,61,3.279989008843276,10.813924659450707,0.36975402430611687,11.183678683756822
0.99999999,0.25933322182805335,0.11978445438268989,0.5211199935456198,-0.04809427092854754,1.53066936860965,0.0001,1.6822182275274402,61,3.2799890015154656,10.813924669472282,0.3697540322751167,11.183678701747397
1.0,0.25159897518250496,0.11115293159986255,0.5157227711764315,-0.044515555714713724,1.5419857260054395,0.0001,1.685044196202474,61,3.284365728227968,10.822786669475374,0.359967951612451,11.182754621087824
1.0,0.25159897518250496,0.11115294159986254,0.5157227611764315,-0.044515555714713724,1.5419857260054395,0.0001,1.685044196202474,61,3.2843657279592153,10.822786672292592,0.3599679488476412,11.182754621140234
