Vᵢᵢ,Ʌᵢᵢ,αᵢⱼ,βᵢⱼ,γ1,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,1.0,0.048799374374944096,1.0,0.9503297673503392,59,6.780793464052211,22.397670917998745,0.8185133836046805,23.216184301603427
1.0,1.0,0.048799364374944094,1.0,0.9503297673503392,59,6.7807934700133305,22.397670931962168,0.8185133681348895,23.21618430009706
1.0,1.0,0.048799364374944094,1.0,0.9503297773503393,59,6.780793470345232,22.397670931981768,0.8185133652043466,23.21618429718611
0.99999999,1.0,0.048799364374944094,1.0,0.9503297673503392,59,6.780793475156159,22.397670944024664,0.8185133681348895,23.21618431215955
1.0,0.99999999,0.048799364374944094,1.0,0.9503297673503392,59,6.780793475156159,22.397670944024664,0.8185133681348895,23.21618431215955
1.0,1.0,0.048799364374944094,0.99999999,0.9503297673503392,59,6.780793477215439,22.397670960903458,0.8185133526650992,23.216184313568554
1.0,1.0,0.035231517992966824,1.0,0.9613072971502734,59,6.789740272824355,22.417898890221426,0.7947984376852023,23.212697327906625
1.0,1.0,0.03523150799296682,1.0,0.9613072971502734,59,6.7897402791376615,22.417898904737537,0.7947984224155376,23.212697327153073
1.0,1.0,0.03523150799296682,1.0,0.9613073071502735,59,6.789740279940796,22.417898906385197,0.7947984201326682,23.21269732651787
0.99999999,1.0,0.03523150799296682,1.0,0.9613072971502734,59,6.789740284426455,22.41789891659953,0.7947984224155376,23.21269733901507
1.0,0.99999999,0.03523150799296682,1.0,0.9613072971502734,59,6.789740284426455,22.41789891659953,0.7947984224155376,23.21269733901507
1.0,1.0,0.03523150799296682,0.99999999,0.9613072971502734,59,6.789740285964296,22.417898933434756,0.7947984071458729,23.212697340580622
1.0,1.0,0.025226161833500446,1.0,0.965554196758667,59,6.796568183567691,22.433483161477668,0.7786781180593147,23.212161279536993
1.0,1.0,0.025226151833500444,1.0,0.965554196758667,59,6.796568190135407,22.433483176472635,0.7786781029372288,23.212161279409862
1.0,1.0,0.025226151833500444,1.0,0.9655542067586671,59,6.7965681911433755,22.433483178696484,0.7786781009049267,23.212161279601407
0.99999999,1.0,0.025226151833500444,1.0,0.965554196758667,59,6.796568195536865,22.433483188430824,0.7786781029372288,23.212161291368048
1.0,0.99999999,0.025226151833500444,1.0,0.965554196758667,59,6.796568195536865,22.433483188430824,0.7786781029372288,23.212161291368048
1.0,1.0,0.025226151833500444,0.99999999,0.965554196758667,59,6.796568196750649,22.433483204911376,0.7786780878151435,23.21216129272652
1.0,1.0,0.02385875399960035,1.0,0.9650727198450231,59,6.797420161322949,22.435434453760635,0.7767102257065619,23.212144679467198
1.0,1.0,0.02385874399960035,1.0,0.9650727198450231,59,6.797420167921523,22.435434468836362,0.7767102106046452,23.212144679441014
1.0,1.0,0.02385874399960035,1.0,0.9650727298450231,59,6.79742016891601,22.435434470959677,0.7767102085439361,23.212144679503613
1.0,0.99999999,0.02385874399960035,1.0,0.9650727198450231,59,6.797420173338556,22.43543448087462,0.7767102106046452,23.212144691479256
0.99999999,1.0,0.02385874399960035,1.0,0.9650727198450231,59,6.797420173338556,22.43543448087462,0.7767102106046452,23.212144691479256
1.0,1.0,0.02385874399960035,0.99999999,0.9650727198450231,59,6.797420174528125,22.435434497221028,0.776710195502729,23.21214469272376
1.0,1.0,0.023529574113127102,1.0,0.9648187522817437,59,6.797612339868504,22.435877746918475,0.7762657065130865,23.212143453431565
1.0,1.0,0.02352956921196591,1.0,0.9648187522817437,59,6.79761234310594,22.43587775431779,0.7762656991137735,23.212143453431565
1.0,1.0,0.02352955921196591,1.0,0.9648187522817437,59,6.797612349711384,22.43587776941485,0.7762656840167123,23.21214345343157
1.0,1.0,0.02352955921196591,1.0,0.9648187522817437,59,6.797612349711384,22.43587776941485,0.7762656840167123,23.21214345343157
1.0,1.0,0.02352955921196591,1.0,0.9648187622817438,59,6.797612350697178,22.435877771490564,0.7762656819410189,23.21214345343158
1.0,1.0,0.02352955921196591,1.0,0.9648187671829049,59,6.797612351180333,22.435877772507897,0.7762656809236884,23.212143453431594
1.0,0.99999999,0.02352955921196591,1.0,0.9648187522817437,59,6.797612355132171,22.435877781481054,0.7762656840167123,23.212143465497757
0.99999999,1.0,0.02352955921196591,1.0,0.9648187522817437,59,6.797612355132171,22.435877781481054,0.7762656840167123,23.212143465497757
1.0,0.9999999850988388,0.02352955921196591,1.0,0.9648187522817437,59,6.797612357788988,22.43587778739488,0.7762656840167125,23.212143471411597
0.9999999850988388,1.0,0.02352955921196591,1.0,0.9648187522817437,59,6.797612357788988,22.43587778739488,0.7762656840167125,23.212143471411597
1.0,1.0,0.02352955921196591,0.99999999,0.9648187522817437,59,6.7976123563185595,22.43587779778411,0.776265668919651,23.212143466703754
1.0,1.0,0.02352955921196591,0.9999999850988388,0.9648187522817437,59,6.797612359556845,22.43587781168833,0.7762656615203385,23.212143473208663
1.0,1.0,0.023526288043002875,1.0,0.9648215907289863,59,6.797614790308766,22.43588329718286,0.7762601563699525,23.21214345355281
1.0,1.0,0.023526278043002873,1.0,0.9648215907289863,59,6.797614796914301,22.435883312280062,0.7762601412729396,23.212143453553004
1.0,1.0,0.023526278043002873,1.0,0.9648216007289864,59,6.79761479790022,22.435883314356207,0.7762601391974138,23.21214345355362
0.99999999,1.0,0.023526278043002873,1.0,0.9648215907289863,59,6.797614802335126,22.435883324346193,0.7762601412729396,23.21214346561914
1.0,0.99999999,0.023526278043002873,1.0,0.9648215907289863,59,6.797614802335126,22.435883324346193,0.7762601412729396,23.21214346561914
1.0,1.0,0.023526278043002873,0.99999999,0.9648215907289863,59,6.79761480352138,22.435883340649248,0.776260126175927,23.212143466825175
1.0,0.9267263682091246,0.05078612982861073,1.0,1.0275238770504953,59,6.836563847606383,22.518147558304424,0.8205061936033387,23.33865375190776
1.0,0.9267263782091246,0.050786119828610726,1.0,1.0275238770504953,59,6.836563848110856,22.51814756115322,0.8205061770234574,23.338653738176674
1.0,0.9267263682091246,0.050786119828610726,1.0,1.0275238770504953,59,6.836563854653785,22.518147573762388,0.8205061781042434,23.33865375186663
1.0,0.9267263682091246,0.050786119828610726,1.0,1.0275238870504952,59,6.836563858100218,22.518147582491977,0.8205061797281525,23.338653762220126
0.99999999,0.9267263682091246,0.050786119828610726,1.0,1.0275238770504953,59,6.836563861196715,22.518147586371555,0.82050617918503,23.338653765556593
1.0,0.9267263682091246,0.050786119828610726,0.99999999,1.0275238770504953,59,6.836563859048488,22.51814759910774,0.820506162605148,23.338653761712887
0.8601527177262915,0.594521728243772,0.19291603360881915,0.6453179475813174,1.0419162206457668,59,7.400165391711017,24.23545689568497,0.7426949834182061,24.978151879103173
0.8601527277262916,0.594521728243772,0.19291603360881915,0.6453179375813174,1.0419162206457668,59,7.400165395052385,24.235456914295987,0.7426949630107031,24.978151877306697
0.8601527177262915,0.5945217382437721,0.19291603360881915,0.6453179375813174,1.0419162206457668,59,7.400165395052385,24.235456914295987,0.7426949630107031,24.978151877306697
0.8601527177262915,0.594521728243772,0.19291604360881914,0.6453179375813174,1.0419162206457668,59,7.400165400311685,24.235456923123692,0.7426949834182061,24.978151906541907
0.8601527177262915,0.594521728243772,0.19291603360881915,0.6453179375813174,1.0419162306457668,59,7.400165400062893,24.235456924028473,0.7426949735273123,24.978151897555783
0.8601527177262915,0.594521728243772,0.19291603360881915,0.6453179375813174,1.0419162206457668,59,7.400165403905514,24.235456935304715,0.7426949710542552,24.978151906358963
0.7281141222286537,0.4624831320131727,0.28419342938256187,0.5299262023294323,1.0718934520313477,59,7.789991854362251,25.231160310241577,0.9872162118527629,26.21837652209434
0.7281141322286537,0.4624831320131727,0.28419342938256187,0.5299261923294323,1.0718934520313477,59,7.789991855254803,25.231160317428976,0.9872161879058079,26.21837650533479
0.7281141222286537,0.4624831420131727,0.28419342938256187,0.5299261923294323,1.0718934520313477,59,7.789991855254803,25.231160317428976,0.9872161879058079,26.21837650533479
0.7281141222286537,0.4624831320131727,0.28419342938256187,0.5299261923294323,1.0718934620313476,59,7.789991862155246,25.23116032936259,0.9872162040862122,26.218376533448797
0.7281141222286537,0.4624831320131727,0.28419343938256186,0.5299261923294323,1.0718934520313477,59,7.7899918657906895,25.23116033756549,0.9872162118527629,26.218376549418256
0.7281141222286537,0.4624831320131727,0.28419342938256187,0.5299261923294323,1.0718934520313477,59,7.789991867981529,25.23116034973763,0.9872161998444985,26.218376549582132
0.7188693210482597,0.4532383307814598,0.6111375892069191,0.41024961577487945,1.3447624775706828,59,8.187908785765591,26.45414715019013,1.625510641986324,28.079657792176455
0.7188693210482597,0.4532383307814598,0.6111375892069191,0.41024960577487946,1.3447624775706828,59,8.187908806855331,26.454147234740773,1.6255106269208628,28.079657861661644
0.7188693210482597,0.4532383307814598,0.6111375892069191,0.41024960577487946,1.3447624775706828,59,8.187908806855331,26.454147234740773,1.6255106269208628,28.079657861661644
0.7188693210482597,0.4532383407814598,0.6111375892069191,0.41024960577487946,1.3447624775706828,59,8.187908800237796,26.454147246496625,1.62551061470945,28.079657861206073
0.7188693310482598,0.4532383307814598,0.6111375892069191,0.41024960577487946,1.3447624775706828,59,8.187908800237796,26.454147246496625,1.62551061470945,28.079657861206073
0.7188693210482597,0.4532383307814598,0.6111375992069191,0.41024960577487946,1.3447624775706828,59,8.187908819070515,26.454147264172356,1.625510641986324,28.07965790615868
0.7188693210482597,0.4532383307814598,0.6111375892069191,0.41024960577487946,1.3447624875706827,59,8.187908812662661,26.454147274778503,1.6255106472618488,28.079657922040347
0.7188693210482597,0.4532383307814598,0.6111375892069191,0.41024960577487946,0.015301146964064493,59,9.393490000736959,29.563618336249366,4.135284089348216,33.69890242559758
0.6928828656673431,0.20103144645690918,0.6690588146448135,-0.8471212089061737,0.2889084071313792,59,11.711458541254624,34.45609017684578,4.0893139145676205,38.5454040914134
-0.326441747411637,0.9313389335470097,-0.16059678492983398,0.3232231887168455,0.5374158916385645,59,11.61190903806099,34.51204360685142,2.2392932698226553,36.751336876674074
0.7644264788652978,0.4987954988513909,-1.0,1.0,0.0001,59,13.032567483297937,36.997816737362925,6.299755896913284,43.2975726342762
0.7644264888652978,0.4987954888513909,-1.0,1.0,0.0001,59,13.032567483297937,36.997816737362925,6.299755896913284,43.2975726342762
0.7644264788652978,0.4987954888513909,-0.99999999,1.0,0.0001,59,13.032567491880929,36.99781676144217,6.2997558782807594,43.297572639722915
0.7644264788652978,0.4987954888513909,-1.0,0.99999999,0.0001,59,13.032567507111285,36.99781679321737,6.2997558782807594,43.29757267149814
0.7644264788652978,0.4987954888513909,-1.0,1.0,0.00010001,59,13.032567514613508,36.99781680742504,6.299755848786662,43.2975726562117
0.7644264788652978,0.4987954888513909,-1.0,1.0,0.0001,59,13.032567526839342,36.997816833367445,6.29975590778076,43.2975727411482
0.7188693210482597,0.4532383307814598,-0.3856489062309265,-0.3365611732006073,1.3447624775706828,59,11.593522644266814,37.730915181050115,1.240797879531153,38.971713060581266
0.7188693210482597,0.4532383307814598,0.6111375892069191,-0.3365611732006073,1.3447624775706828,59,11.455828432841233,37.97847051831648,1.5185002192903905,39.49697073760687
