Vᵢᵢ,Vᵢⱼ,Ƹᵢⱼ,Ʒᵢⱼ,γ1,γ2,γ3,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,0.5101212228697495,0.5830084322086414,0.14312772596449203,0.37688297119269676,0.9810758899262091,1.8425460164288978,59,6.104611766225026,19.526448871609148,1.1960563407726459,20.72250521238179
1.0,0.5101212128697494,0.5830084422086415,0.14312772596449203,0.37688297119269676,0.9810758899262091,1.8425460164288978,59,6.104611772814214,19.526448890802417,1.1960563213860027,20.72250521218842
1.0,0.5101212128697494,0.5830084322086414,0.14312773596449202,0.37688297119269676,0.9810758899262091,1.8425460164288978,59,6.104611770962908,19.526448890932596,1.1960563213860027,20.722505212318595
1.0,0.5101212128697494,0.5830084322086414,0.14312772596449203,0.37688297119269676,0.9810758899262091,1.8425460264288978,59,6.104611775130875,19.526448897563892,1.1960563146187566,20.722505212182643
1.0,0.5101212128697494,0.5830084322086414,0.14312772596449203,0.37688298119269675,0.9810758899262091,1.8425460164288978,59,6.104611774502962,19.526448897669834,1.1960563146187566,20.722505212288592
1.0,0.5101212128697494,0.5830084322086414,0.14312772596449203,0.37688297119269676,0.9810758999262091,1.8425460164288978,59,6.104611773383727,19.52644889771857,1.1960563146187566,20.722505212337328
1.0,0.5101212128697494,0.5830084322086414,0.14312772596449203,0.37688297119269676,0.9810758899262091,1.8425460164288978,59,6.104611773648182,19.526448901590037,1.196056310675494,20.722505212265535
0.99999999,0.5101212128697494,0.5830084322086414,0.14312772596449203,0.37688297119269676,0.9810758899262091,1.8425460164288978,59,6.104611779957416,19.52644893079568,1.1960563106754942,20.72250524147118
1.0,0.5102356373152134,0.5821867351732003,0.14266099850563432,0.37615409238891045,0.9801610852735655,1.8445017430441346,59,6.104976216754851,19.527350448636575,1.1951451329965455,20.722495581633115
1.0,0.5102356324140522,0.5821867351732003,0.14266099850563432,0.37615409238891045,0.9801610852735655,1.8445017430441346,59,6.104976220424993,19.52735046339082,1.1951451182421375,20.722495581632963
