Vᵢᵢ,Ʌᵢᵢ,Ƹᵢⱼ,Ʒᵢⱼ,γ1,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
0.997777952786904,1.0,0.06236413656939888,1.0,0.9578196730201771,59,6.774362106312198,22.3823410973128,0.8376076718731312,23.219948769185926
0.997777962786904,1.0,0.06236412656939888,1.0,0.9578196730201771,59,6.774362106970191,22.382341099247142,0.8376076561704848,23.219948755417626
0.997777952786904,1.0,0.06236412656939888,1.0,0.9578196730201771,59,6.774362112005142,22.382341110524486,0.8376076562032602,23.219948766727747
0.997777952786904,1.0,0.06236412656939888,1.0,0.9578196830201772,59,6.774362112587898,22.382341111866143,0.8376076537146208,23.21994876558076
0.997777952786904,0.99999999,0.06236412656939888,1.0,0.9578196730201771,59,6.774362117040092,22.382341121801836,0.8376076562360353,23.219948778037875
0.997777952786904,1.0,0.06236412656939888,0.99999999,0.9578196730201771,59,6.774362119207244,22.38234113991244,0.8376076405333893,23.21994878044584
1.0,1.0,0.044766285498213744,1.0,0.9626836038058583,59,6.783937614019718,22.404563122401687,0.8091161506973884,23.213679273099075
1.0,1.0,0.04476627549821374,1.0,0.9626836038058583,59,6.783937620112968,22.404563136388237,0.8091161352870854,23.21367927167532
1.0,1.0,0.04476627549821374,1.0,0.9626836138058583,59,6.7839376209368645,22.40456313840885,0.8091161330854182,23.21367927149426
0.99999999,1.0,0.04476627549821374,1.0,0.9626836038058583,59,6.783937625296147,22.404563147822365,0.8091161352870854,23.213679283109453
1.0,0.99999999,0.04476627549821374,1.0,0.9626836038058583,59,6.783937625296146,22.404563147822365,0.8091161352870854,23.213679283109453
1.0,1.0,0.04476627549821374,0.99999999,0.9626836038058583,59,6.783937627036384,22.40456316542505,0.8091161198767833,23.213679285301833
1.0,1.0,0.023538761324706194,1.0,0.964841361085359,59,6.797608501093472,22.435868574696677,0.7762748851778829,23.212143459874564
1.0,1.0,0.023538751324706193,1.0,0.964841361085359,59,6.797608507698787,22.43586858979294,0.7762748700806863,23.21214345987363
1.0,1.0,0.023538751324706193,1.0,0.9648413710853591,59,6.797608508685437,22.435868591872605,0.7762748680063268,23.212143459878934
1.0,0.99999999,0.023538751324706193,1.0,0.964841361085359,59,6.797608513119471,22.435868601857376,0.7762748700806863,23.21214347193806
0.99999999,1.0,0.023538751324706193,1.0,0.964841361085359,59,6.797608513119471,22.435868601857376,0.7762748700806863,23.21214347193806
1.0,1.0,0.023538751324706193,0.99999999,0.964841361085359,59,6.797608514305651,22.435868618162885,0.7762748549834896,23.21214347314638
1.0,1.0,0.02353026211769864,1.0,0.9648187648339123,59,6.797611886648845,22.43587671084025,0.7762667425927039,23.21214345343295
1.0,1.0,0.023530257216537447,1.0,0.9648187648339123,59,6.79761188988627,22.435876718239548,0.7762667351933857,23.21214345343293
1.0,1.0,0.023530247216537445,1.0,0.9648187648339123,59,6.7976118964917,22.435876733336578,0.7762667200963146,23.212143453432898
1.0,1.0,0.023530247216537445,1.0,0.9648187648339123,59,6.7976118964917,22.435876733336578,0.7762667200963146,23.212143453432898
1.0,1.0,0.023530247216537445,1.0,0.9648187748339123,59,6.7976118974774895,22.435876735412293,0.7762667180206224,23.212143453432915
1.0,1.0,0.023530247216537445,1.0,0.9648187797350735,59,6.797611897960643,22.435876736429638,0.7762667170032918,23.21214345343293
0.99999999,1.0,0.023530247216537445,1.0,0.9648187648339123,59,6.7976119019124805,22.435876745402748,0.7762667200963146,23.212143465499054
1.0,0.99999999,0.023530247216537445,1.0,0.9648187648339123,59,6.79761190191248,22.435876745402748,0.7762667200963146,23.212143465499054
1.0,0.9999999850988388,0.023530247216537445,1.0,0.9648187648339123,59,6.79761190456929,22.43587675131656,0.7762667200963148,23.212143471412876
0.9999999850988388,1.0,0.023530247216537445,1.0,0.9648187648339123,59,6.79761190456929,22.43587675131656,0.7762667200963148,23.212143471412876
1.0,1.0,0.023530247216537445,0.99999999,0.9648187648339123,59,6.797611903098884,22.435876761705845,0.7762667049992432,23.212143466705083
1.0,1.0,0.023530247216537445,0.9999999850988388,0.9648187648339123,59,6.797611906337174,22.435876775610083,0.7762666975999257,23.212143473210006
1.0,1.0,0.0233666192065806,1.0,0.9651523026515675,59,6.79775313351943,22.436193937370767,0.7759508054443407,23.212144742815113
