Vᵢᵢ,αᵢⱼ,γ1,γ3,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
-0.04581814668792204,-0.05712654690932693,2.0,0.0001,39,8.850364175263262,24.817539184216386,2.029448230111555,26.846987414327945
-0.04581814668792204,-0.05712654690932693,2.0,0.00010001,39,8.850364175606257,24.817539184918047,2.029448230113405,26.846987415031453
-0.04581814668792204,-0.05712653690932693,2.0,0.0001,39,8.850364176680472,24.817539186343225,2.0294482279978734,26.846987414341097
-0.04581814668792204,-0.05712654690932693,1.99999999,0.0001,39,8.850364176990158,24.8175391881885,2.029448230109705,26.846987418298205
-0.04581813668792204,-0.05712654690932693,2.0,0.0001,39,8.850364187763073,24.817539218117567,2.029448191416284,26.84698740953385
-0.048790954819750675,-0.02745194523194419,2.0,0.0001,39,8.852733727552243,24.81756383821798,2.0363247502361728,26.853888588454147
-0.048790954819750675,-0.02745194523194419,2.0,0.00010001,39,8.852733727712844,24.817563838547045,2.0363247502380233,26.85388858878507
-0.048790954819750675,-0.02745193523194419,2.0,0.0001,39,8.852733729315785,24.817563840968646,2.036324749220451,26.853888590189094
-0.048790954819750675,-0.02745194523194419,1.99999999,0.0001,39,8.852733728849678,24.817563841290962,2.036324750234323,26.853888591525283
-0.04879094481975067,-0.02745194523194419,2.0,0.0001,39,8.852733730953808,24.817563852924103,2.036324711430908,26.853888564355017
-0.04520164356346809,-0.0564402381148484,2.0,0.0001,39,8.851282728007805,24.819885959579782,2.026919165194536,26.846805124774313
-0.0452016286623069,-0.05644025301600959,2.0,0.0001,39,8.851282747037956,24.81988601237001,2.0269191106798723,26.846805123049883
-0.0452016286623069,-0.0564402381148484,2.0,0.0001,39,8.85128274912044,24.81988601549984,2.0269191075680792,26.846805123067924
-0.0452016286623069,-0.0564402381148484,2.0,0.00010001490116119385,39,8.851282749625812,24.81988601653358,2.0269191075708366,26.846805124104417
-0.0452016286623069,-0.0564402381148484,1.9999999701976776,0.0001,39,8.851282754469214,24.819886027775677,2.0269191075625668,26.846805135338244
-0.04506430294725011,-0.05717837225279333,2.0,0.0001,39,8.851377394940835,24.820252968203263,2.026543221813987,26.846796190017255
