Vᵢᵢ,αᵢⱼ,βᵢⱼ,γ1,γ3,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
-0.7374781891703606,0.41715070605278015,0.13786308467388153,0.26919673965389856,1.3073640953318872,41,8.174213848914054,22.93113741404493,5.415334526686493,28.34647194073142
1.0,0.08238644350050786,0.0184549754825861,0.0001,1.9287225420304381,41,8.427188158955875,23.423964383234495,0.008628117452130093,23.432592500686624
1.0,0.08238645350050786,0.0184549654825861,0.0001,1.9287225420304381,41,8.427188159008788,23.423964383672313,0.008628117452130093,23.43259250112444
0.99999999,0.08238644350050786,0.0184549654825861,0.0001,1.9287225420304381,41,8.427188159761297,23.423964384128496,0.008628116594978245,23.432592500723473
1.0,0.08238644350050786,0.0184549654825861,0.0001,1.9287225420304381,41,8.427188159762306,23.423964384130535,0.008628116594978075,23.432592500725516
1.0,0.08238644350050786,0.0184549654825861,0.0001,1.928722552030438,41,8.427188160295557,23.423964385320364,0.008628115384961381,23.432592500705326
1.0,0.08238644350050786,0.0184549654825861,0.00010001,1.9287225420304381,41,8.427188169831668,23.42396440457833,0.008628115384961381,23.432592519963293
1.0,0.08094593516068947,0.01815164708302126,0.0001,1.9322187737713634,41,8.427516398343704,23.424492949060955,0.008067276719023433,23.43256022577998
1.0,0.08094592516068948,0.01815165708302126,0.0001,1.9322187737713634,41,8.427516398508669,23.424492949080324,0.008067276719023433,23.432560225799353
0.99999999,0.08094592516068948,0.01815164708302126,0.0001,1.9322187737713634,41,8.427516399285429,23.424492949932112,0.008067275876694197,23.43256022580881
1.0,0.08094592516068948,0.01815164708302126,0.0001,1.9322187737713634,41,8.427516399286432,23.424492949934155,0.00806727587669403,23.432560225810846
1.0,0.08094592516068948,0.01815164708302126,0.0001,1.9322187837713634,41,8.427516399794829,23.424492951068178,0.008067274726113275,23.432560225794298
1.0,0.08094592516068948,0.01815164708302126,0.00010001,1.9322187737713634,41,8.42751640932828,23.424492970316898,0.008067274726113275,23.432560245043014
1.0,0.08074042744097115,0.01813565881712379,0.0001,1.932060519798912,41,8.427529480715638,23.424495426323613,0.008066869997190987,23.4325622963208
1.0,0.08074041744097116,0.018135668817123793,0.0001,1.932060519798912,41,8.42752948095535,23.4244954264951,0.008066869997190987,23.432562296492282
0.99999999,0.08074041744097116,0.01813565881712379,0.0001,1.932060519798912,41,8.427529481705195,23.42449542729815,0.008066869156744465,23.432562296454893
1.0,0.08074041744097116,0.01813565881712379,0.0001,1.932060519798912,41,8.4275294817062,23.424495427300183,0.008066869156744295,23.43256229645693
1.0,0.08074041744097116,0.01813565881712379,0.0001,1.932060529798912,41,8.42752948220946,23.424495428422798,0.008066868003473225,23.432562296426266
1.0,0.08074041744097116,0.01813565881712379,0.00010001,1.932060519798912,41,8.42752949174201,23.424495447669,0.008066868003473225,23.432562315672467
1.0,0.08097812069763931,0.018171283564174828,0.0001,1.9326917647913526,41,8.427535943918429,23.424542238816606,0.008017411703207614,23.43255965051981
