αᵢⱼ,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
-0.9514665421447717,41,8.9175290022588,24.416534535008047,1.5389905873955787,25.95552512240363
-0.99999999,41,8.91741060846565,24.41654302427718,1.699999966,26.11654299027718
-1.0,41,8.91741060845068,24.416543024299294,1.7000000000000002,26.116543024299297
-0.9201922688182549,41,8.917653710415527,24.41663380190837,1.4394814797079087,25.856115281616283
-0.9061309546232224,41,8.917722130604497,24.416705185167842,1.3958246217748667,25.812529806942702
-0.8963809236884117,41,8.9177740668424,24.416764424634806,1.365947892599233,25.782712317234036
-0.8934658399516593,41,8.917790309245259,24.41678368553592,1.357078052172891,25.773861737708806
-0.8914368292826111,41,8.91780180865478,24.41679751285063,1.35092135502244,25.767718867873054
-0.8905931029148633,41,8.917806637357184,24.416803364399385,1.3483653274311915,25.765168691830578
-0.8834129867636875,41,8.917848843941226,24.416855578858463,1.3267114588106566,25.743567037669116
-0.8749742194275427,41,8.917900997858187,24.416922477642043,1.301485803926824,25.718408281568866
-0.8605368632202044,41,8.917996608190453,24.41705079078359,1.2588902780334768,25.675941068817068
-0.8416889612562954,41,8.9181335449663,24.417244630943514,1.2043485227511928,25.621593153694704
-0.8218551656464115,41,8.918292451753361,24.417480807417284,1.148258052609474,25.56573886002676
-0.8128513847477734,41,8.918369596832466,24.417598918961442,1.1232365352668339,25.540835454228272
-0.7941361695993692,41,8.918539947546703,24.417866195858394,1.0721088349721288,25.489975030830525
-0.7919955402612686,41,8.918560292058096,24.417898640319738,1.0663367908493557,25.484235431169093
-0.7881819101748988,41,8.91859697396369,24.417957394568337,1.0560922299958189,25.474049624564156
-0.7591825009879503,41,8.91889421997633,24.41844410369005,0.9798087186707425,25.398252822360792
-0.7325870245695114,41,8.919195250587764,24.418952515548213,0.9123623725649371,25.331314888113155
-0.7219017744064331,41,8.919323845215946,24.419173496692714,0.8859416922149664,25.305115188907685
-0.6873070306610316,41,8.91977022937837,24.419954682753062,0.8030646224733432,25.22301930522641
-0.6798118390142918,41,8.919872986715674,24.420137170179917,0.7856450319887887,25.205782202168706
-0.6733080362901092,41,8.919963895492298,24.42029934046601,0.7706843099458333,25.19098365041184
-0.6428288465467631,41,8.920411491198891,24.42110662803506,0.7024891741194913,25.12359580215455
-0.6355616849905346,41,8.920523455011121,24.421310619702147,0.6866957142276128,25.108006333929755
-0.635352465333483,41,8.920526708298883,24.42131655820002,0.6862436838490691,25.10756024204909
-0.631087452173233,41,8.920593392101095,24.42143841715324,0.6770613328938546,25.098499750047093
-0.6227686405181885,41,8.920725456073699,24.421680492534822,0.6593293253418836,25.08100981787671
-0.6085318296868536,41,8.920957598463048,24.42210825349833,0.6295286791614507,25.051636932659772
-0.6032364366110414,41,8.921045916821363,24.42227169908735,0.6186201373738179,25.040891836461174
-0.5982087552547455,41,8.92113075968514,24.42242905912218,0.6083513152678344,25.030780374390016
-0.5761142186820507,41,8.921515025934667,24.423145731287384,0.5642429080449706,24.98738863933236
-0.5569476680461776,41,8.921863423434296,24.42380060705309,0.5273241984015278,24.951124805454622
-0.5556074266787618,41,8.921888308261874,24.423847552922403,0.5247893413870126,24.948636894309423
-0.5084394935443037,41,8.922807556973446,24.425595726858806,0.43946822161249977,24.86506394847131
-0.5053983628749847,41,8.922869722561309,24.425714844432953,0.4342267588344151,24.859941603267373
-0.4840564876794815,41,8.923315845028913,24.426572607285667,0.39832816154981326,24.82490076883548
-0.4828301966190338,41,8.923342003074966,24.42662305455795,0.3963124979041972,24.822935552462148
-0.4708960218189304,41,8.923599543598785,24.427120590799348,0.3769632077203208,24.804083798519667
-0.466508354897087,41,8.923695584641235,24.427306516283235,0.36997107682093694,24.79727759310417
-0.4460557596307808,41,8.924152872587053,24.428194492299593,0.338241759189648,24.766436251489235
-0.4452122246957444,41,8.92417207210441,24.42823186880412,0.3369636725315078,24.765195541335626
-0.4319574813125655,41,8.924477288456316,24.428827014358706,0.31719835162522214,24.74602536598393
-0.4294556900858879,41,8.924535641041713,24.428940999200684,0.3135347225701486,24.74247572177083
-0.42492642044089735,41,8.924641883941124,24.42914869392819,0.30695618674081426,24.736104880669004
-0.40377412226016784,41,8.92514829404337,24.43014143381346,0.27715702107184725,24.707298454885315
-0.4019957631826401,41,8.925191638338193,24.43022660727183,0.2747210091485485,24.70494761642038
-0.39291357807815075,41,8.92541485744148,24.430665728721056,0.2624478357248976,24.69311356444595
-0.37101902002828524,41,8.925965735935959,24.431752759603146,0.2340136924786735,24.665766452081826
-0.3654227200895548,41,8.92610943408408,24.43203705686987,0.22700739940800346,24.65904445627788
-0.3298590717581471,41,8.927050094849848,24.43390508332822,0.18497191227594895,24.618876995604165
-0.3277587534976192,41,8.927107132046565,24.43401872101801,0.18262386084033227,24.61664258185834
-0.30781371146440506,41,8.92765700432871,24.43511627542965,0.16107377764133646,24.596190053070988
-0.288787504658103,41,8.928195419795724,24.4361943412321,0.14177697883931156,24.577971320071406
-0.2864639535546303,41,8.928262100478921,24.43632807743492,0.13950471436645392,24.575832791801375
-0.2864133951106851,41,8.928263553635187,24.436330992447697,0.13945547592801,24.57578646837571
-0.26474932860583067,41,8.928895009586936,24.437599774020086,0.1191567518953048,24.55675652591539
-0.24750498682260513,41,8.92941015915783,24.43863782104206,0.1041398214534985,24.542777642495558
-0.2425122633576393,41,8.929561378707042,24.438943016273182,0.09998073639403651,24.538923752667223
-0.21763125085271895,41,8.930328811860672,24.440495080139367,0.08051771429112245,24.521012794430494
-0.19277935564241488,41,8.931118325151223,24.442097097472207,0.06317859593523795,24.505275693407444
-0.12334523443132639,41,8.933445510260967,24.446847146196216,0.02586387965676207,24.472711025852984
-0.10261271893978119,41,8.934174940552296,24.448343736786757,0.017899929149964702,24.466243665936716
-0.09795093536376953,41,8.934341138262205,24.44868520572056,0.016310455755683507,24.46499566147625
-0.09398390352725983,41,8.934483197923457,24.448977217727386,0.015016056007776179,24.463993273735163
-0.0902001252862874,41,8.934619235366107,24.4492569678722,0.013831306422825306,24.46308827429503
-0.07493870332837105,41,8.935173275887639,24.450397470574792,0.009546875736113937,24.459944346310905
-0.058065690893272404,41,8.935795792334341,24.451681097636534,0.005731761580152199,24.457412859216685
-0.05531344672453997,41,8.935898326452882,24.451892736654745,0.005201281560532487,24.45709401821528
-0.03297172486782074,41,8.936740948832757,24.453634200878618,0.0018481288892907566,24.455482329767907
-0.02964152289496269,41,8.936868115584968,24.453897355682443,0.0014936537952054156,24.45539100947765
-0.027121126025122066,41,8.936964629363963,24.454097135961344,0.0012504443106799408,24.455347580272022
-0.02343516001757632,41,8.937106195399258,24.454390262449863,0.0009336514325839931,24.455323913882445
-0.023435145116415125,41,8.93710619597257,24.454390263637176,0.0009336502452666406,24.45532391388244
-0.023435145116415125,41,8.93710619597257,24.454390263637176,0.0009336502452666406,24.45532391388244
-0.023435135116415123,41,8.937106196357313,24.454390264433968,0.0009336494484718767,24.45532391388244
-0.023423620558786884,41,8.937106639373932,24.454391181910154,0.0009327322001394401,24.455323914110288
-0.023423610558786882,41,8.93710663975868,24.454391182706956,0.0009327314037365109,24.45532391411069
0.010916859653661959,41,8.93844945236118,24.45717675836228,0.00020260230198617895,24.457379360664266
0.012691530471784063,41,8.938520018505558,24.457323393619763,0.0002738274077175798,24.457597221027484
0.013778947293758392,41,8.9385633142248,24.457413373463876,0.0003227609604910919,24.457736134424366
0.046546824276447296,41,8.939888206913867,24.4601711816343,0.0036832316453781883,24.46385441327968
0.06171385943889618,41,8.940514692063882,24.46147806236455,0.006474620759634519,24.46795268312419
0.06265803779422185,41,8.94055396868871,24.461560054152397,0.006674250490377629,24.468234304642774
0.0672696172259748,41,8.940746270262139,24.461961591343737,0.0076928423829395794,24.46965443372668
0.07670656125992537,41,8.9411421969392,24.462788821244608,0.010002624118548561,24.472791445363153
0.13908635453117313,41,8.943840553087243,24.468444142316855,0.03288652382851101,24.501330666145368
0.1449292449397035,41,8.94410050817571,24.468990507882225,0.035707626265947374,24.504698134148178
0.1504118680022657,41,8.94434555528677,24.46950577834335,0.0384603410610827,24.507966119404433
0.21121381978537102,41,8.947135688450787,24.475388375874704,0.07583917203615621,24.551227547910866
