Vᵢᵢ,Ʌᵢᵢ,αᵢⱼ,βᵢⱼ,γ1,γ3,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,1.0,0.2410571207420107,0.6601459910092004,0.7896245920479278,1.431885036028394,59,6.735211623411045,21.750029487455304,0.6713463084771765,22.421375795932487
1.0,1.0,0.2410571107420107,0.6601460010092004,0.7896245920479278,1.431885036028394,59,6.735211618810111,21.750029488056573,0.6713463084771765,22.421375796533745
1.0,1.0,0.2410571107420107,0.6601459910092004,0.7896246020479278,1.431885036028394,59,6.735211626073599,21.750029494115005,0.6713463017189647,22.421375795833967
1.0,1.0,0.2410571107420107,0.6601459910092004,0.7896245920479278,1.4318850460283938,59,6.735211624722083,21.750029494138353,0.6713463017189647,22.42137579585732
1.0,1.0,0.2410571107420107,0.6601459910092004,0.7896245920479278,1.431885036028394,59,6.7352116234278085,21.750029500694655,0.6713462951844306,22.421375795879086
0.99999999,1.0,0.2410571107420107,0.6601459910092004,0.7896245920479278,1.431885036028394,59,6.735211630248884,21.750029527292526,0.6713462951844306,22.42137582247696
1.0,0.99999999,0.2410571107420107,0.6601459910092004,0.7896245920479278,1.431885036028394,59,6.735211630248885,21.75002952729253,0.6713462951844306,22.421375822476953
1.0,1.0,0.24168426497114598,0.6570030941800821,0.7889394549165643,1.4358753544021998,59,6.737009016903301,21.7510285897139,0.6701827452762514,22.42121133499015
1.0,1.0,0.24168425497114598,0.6570031041800821,0.7889394549165643,1.4358753544021998,59,6.737009012201193,21.751028590178468,0.6701827452762514,22.421211335454714
1.0,1.0,0.24168425497114598,0.6570030941800821,0.7889394649165643,1.4358753544021998,59,6.7370090194584495,21.751028596199454,0.67018273865265,22.421211334852103
1.0,1.0,0.24168425497114598,0.6570030941800821,0.7889394549165643,1.4358753644021998,59,6.737009018157599,21.75102859634856,0.67018273865265,22.421211335001203
1.0,1.0,0.24168425497114598,0.6570030941800821,0.7889394549165643,1.4358753544021998,59,6.737009016825688,21.75102860282676,0.670182732020613,22.42121133484737
1.0,0.99999999,0.24168425497114598,0.6570030941800821,0.7889394549165643,1.4358753544021998,59,6.737009023645728,21.75102862941412,0.6701827320206131,22.421211361434725
0.99999999,1.0,0.24168425497114598,0.6570030941800821,0.7889394549165643,1.4358753544021998,59,6.737009023645728,21.75102862941412,0.6701827320206131,22.421211361434725
1.0,1.0,0.2394840122337679,0.6617584036062889,0.7888301833433077,1.4269731506900287,59,6.733663778060087,21.75389410318556,0.667717786925909,22.421611890111468
1.0,1.0,0.2394840022337679,0.661758413606289,0.7888301833433077,1.4269731506900287,59,6.733663773442096,21.753894103667037,0.667717786925909,22.421611890592946
1.0,1.0,0.2394840022337679,0.6617584036062889,0.7888301833433077,1.4269731606900287,59,6.733663779326116,21.75389410972192,0.6677177799987819,22.421611889720708
1.0,1.0,0.2394840022337679,0.6617584036062889,0.7888301933433077,1.4269731506900287,59,6.733663780874756,21.753894110106792,0.6677177799987819,22.421611890105574
1.0,1.0,0.2394840022337679,0.6617584036062889,0.7888301833433077,1.4269731506900287,59,6.7336637782049005,21.753894116638328,0.6677177736325836,22.421611890270906
0.99999999,1.0,0.2394840022337679,0.6617584036062889,0.7888301833433077,1.4269731506900287,59,6.733663784996505,21.753894143196522,0.6677177736325837,22.421611916829107
1.0,0.99999999,0.2394840022337679,0.6617584036062889,0.7888301833433077,1.4269731506900287,59,6.733663784996507,21.753894143196522,0.6677177736325837,22.421611916829107
1.0,1.0,0.240410876906629,0.649657633217259,0.7859312244869356,1.4422814188648827,59,6.740486894489282,21.759935191650534,0.661083180740487,22.42101837239102
1.0,1.0,0.240410866906629,0.649657643217259,0.7859312244869356,1.4422814188648827,59,6.740486889606043,21.759935191951186,0.6610831807404871,22.421018372691673
1.0,1.0,0.240410866906629,0.649657633217259,0.7859312344869357,1.4422814188648827,59,6.740486896934296,21.75993519794328,0.6610831743442499,22.42101837228752
1.0,1.0,0.240410866906629,0.649657633217259,0.7859312244869356,1.4422814288648826,59,6.7404868956243025,21.759935198276082,0.6610831743442493,22.42101837262033
1.0,1.0,0.240410866906629,0.649657633217259,0.7859312244869356,1.4422814188648827,59,6.740486894353916,21.759935204826057,0.6610831676119765,22.421018372438034
0.99999999,1.0,0.240410866906629,0.649657633217259,0.7859312244869356,1.4422814188648827,59,6.740486901162229,21.75993523142581,0.6610831676119765,22.421018399037784
1.0,0.99999999,0.240410866906629,0.649657633217259,0.7859312244869356,1.4422814188648827,59,6.740486901162229,21.75993523142581,0.6610831676119765,22.421018399037784
1.0,1.0,0.24054229218164647,0.648815922414977,0.7865207871680215,1.4423303337659823,59,6.741055203964547,21.76043456777322,0.6605814824197954,22.42101605019301
1.0,1.0,0.24054230218164646,0.6488159124149769,0.7865207871680215,1.4423303337659823,59,6.741055209026486,21.76043456800842,0.6605814824197954,22.42101605042821
1.0,1.0,0.24054229218164647,0.6488159124149769,0.7865207871680215,1.4423303437659822,59,6.741055210026175,21.760434574223286,0.6605814760528701,22.421016050276155
1.0,1.0,0.24054229218164647,0.6488159124149769,0.7865207971680216,1.4423303337659823,59,6.741055211522341,21.76043457449028,0.6605814760528701,22.42101605054315
1.0,1.0,0.24054229218164647,0.6488159124149769,0.7865207871680215,1.4423303337659823,59,6.741055208851185,21.760434581052,0.6605814693017618,22.42101605035376
0.99999999,1.0,0.24054229218164647,0.6488159124149769,0.7865207871680215,1.4423303337659823,59,6.741055215604953,21.760434607487237,0.660581469301762,22.421016076789
1.0,0.99999999,0.24054229218164647,0.6488159124149769,0.7865207871680215,1.4423303337659823,59,6.741055215604953,21.760434607487237,0.660581469301762,22.421016076789
1.0,1.0,0.240444527538505,0.6491051312399108,0.7860201184779485,1.4421420063500623,59,6.740757973331678,21.76064095948804,0.6603681980605853,22.421009157548628
1.0,1.0,0.240444537538505,0.6491051212399107,0.7860201184779485,1.4421420063500623,59,6.740757978320182,21.76064095948869,0.6603681980605853,22.421009157549275
1.0,1.0,0.240444527538505,0.6491051212399107,0.7860201284779486,1.4421420063500623,59,6.740757980792611,21.760640965878373,0.6603681916705108,22.421009157548884
1.0,1.0,0.240444527538505,0.6491051212399107,0.7860201184779485,1.4421420163500622,59,6.740757979374414,21.760640965882843,0.6603681916705108,22.42100915755335
1.0,1.0,0.240444527538505,0.6491051212399107,0.7860201184779485,1.4421420063500623,59,6.740757978166576,21.76064097260326,0.660368184939728,22.421009157542986
0.99999999,1.0,0.240444527538505,0.6491051212399107,0.7860201184779485,1.4421420063500623,59,6.740757984944529,21.760640999115992,0.660368184939728,22.42100918405572
1.0,0.99999999,0.240444527538505,0.6491051212399107,0.7860201184779485,1.4421420063500623,59,6.740757984944529,21.760640999115992,0.660368184939728,22.42100918405572
1.0,1.0,0.240416754376517,0.64912492010702,0.7859906223653845,1.442065695559804,59,6.740731027774072,21.760722572965566,0.6602865222139461,22.421009095179514
1.0,1.0,0.240416744376517,0.6491249301070201,0.7859906223653845,1.442065695559804,59,6.740731022786205,21.76072257296676,0.6602865222139462,22.421009095180708
1.0,1.0,0.240416744376517,0.64912492010702,0.7859906323653846,1.442065695559804,59,6.7407310302483765,21.760722579357445,0.660286515820868,22.421009095178317
1.0,1.0,0.240416744376517,0.64912492010702,0.7859906223653845,1.4420657055598038,59,6.740731028828292,21.76072257936045,0.660286515820868,22.421009095181315
1.0,1.0,0.240416744376517,0.64912492010702,0.7859906223653845,1.442065695559804,59,6.740731027622883,21.76072258608507,0.6602865090932063,22.421009095178274
1.0,0.99999999,0.240416744376517,0.64912492010702,0.7859906223653845,1.442065695559804,59,6.740731034400765,21.76072261259861,0.6602865090932066,22.421009121691814
0.99999999,1.0,0.240416744376517,0.64912492010702,0.7859906223653845,1.442065695559804,59,6.740731034400767,21.76072261259861,0.6602865090932066,22.421009121691814
1.0,1.0,0.2404063080619805,0.6491298791860003,0.7859878573756005,1.4420429491953202,59,6.740725004766837,21.760746931310557,0.6602621603619024,22.421009091672463
1.0,1.0,0.2404062931608193,0.6491298940871615,0.7859878573756005,1.4420429491953202,59,6.740724997333962,21.760746931310667,0.6602621603619024,22.421009091672563
1.0,1.0,0.2404062931608193,0.6491298791860003,0.7859878573756005,1.4420429706834346,59,6.74072500713053,21.760746936407106,0.6602621552654568,22.421009091672566
1.0,1.0,0.2404063031608193,0.6491298791860003,0.7859878573756005,1.4420429491953202,59,6.740725004693078,21.760746937741217,0.6602621539312561,22.421009091672477
1.0,1.0,0.2404062931608193,0.6491298891860003,0.7859878573756005,1.4420429491953202,59,6.740724999704963,21.76074693774129,0.6602621539312561,22.421009091672538
1.0,1.0,0.2404062931608193,0.6491298791860003,0.7859878722767617,1.4420429491953202,59,6.7407250084552714,21.76074694083795,0.660262150834473,22.421009091672417
1.0,1.0,0.2404062931608193,0.6491298791860003,0.7859878673756006,1.4420429491953202,59,6.740725007168347,21.760746944134944,0.6602621475375064,22.421009091672445
1.0,1.0,0.2404062931608193,0.6491298791860003,0.7859878573756005,1.44204295919532,59,6.74072500574695,21.76074694413502,0.6602621475375064,22.421009091672524
1.0,1.0,0.2404062931608193,0.6491298791860003,0.7859878573756005,1.4420429491953202,59,6.7407250045425915,21.760746950861897,0.6602621408105976,22.421009091672495
1.0,1.0,0.2404062931608193,0.6491298791860003,0.7859878573756005,1.4420429491953202,59,6.7407250045425915,21.760746950861897,0.6602621408105976,22.421009091672495
0.99999999,1.0,0.2404062931608193,0.6491298791860003,0.7859878573756005,1.4420429491953202,59,6.740725011320239,21.76074697737501,0.6602621408105976,22.42100911818561
1.0,0.99999999,0.2404062931608193,0.6491298791860003,0.7859878573756005,1.4420429491953202,59,6.740725011320239,21.76074697737501,0.6602621408105976,22.42100911818561
0.9999999850988388,1.0,0.2404062931608193,0.6491298791860003,0.7859878573756005,1.4420429491953202,59,6.7407250146420745,21.76074699036952,0.6602621408105978,22.421009131180114
1.0,0.9999999850988388,0.2404062931608193,0.6491298791860003,0.7859878573756005,1.4420429491953202,59,6.7407250146420745,21.76074699036952,0.6602621408105978,22.42100913118011
1.0,1.0,0.2430174029916432,0.6605955735016648,0.7827183257291449,1.416931928083778,59,6.731716218076021,21.76229870676526,0.6609746834993906,22.423273390264654
1.0,1.0,0.2430174129916432,0.6605955635016647,0.7827183257291449,1.416931928083778,59,6.731716223541116,21.76229870838498,0.6609746834993904,22.423273391884372
1.0,1.0,0.2430174029916432,0.6605955635016647,0.7827183257291449,1.416931938083778,59,6.73171622412647,21.762298713189384,0.6609746760607819,22.42327338925017
1.0,1.0,0.2430174029916432,0.6605955635016647,0.782718335729145,1.416931928083778,59,6.731716226358682,21.762298715357847,0.6609746760607819,22.423273391418633
1.0,1.0,0.2430174029916432,0.6605955635016647,0.7827183257291449,1.416931928083778,59,6.7317162235637,21.762298721449287,0.6609746701710991,22.423273391620388
1.0,0.99999999,0.2430174029916432,0.6605955635016647,0.7827183257291449,1.416931928083778,59,6.731716230189824,21.76229874760669,0.6609746701710995,22.423273417777793
0.99999999,1.0,0.2430174029916432,0.6605955635016647,0.7827183257291449,1.416931928083778,59,6.731716230189824,21.76229874760669,0.6609746701710995,22.423273417777793
1.0,1.0,0.32918357026079853,0.6334821862892367,0.7317237172957831,1.4109160606565567,59,6.75313801115693,21.769383505543495,0.7134704588651951,22.482853964408687
1.0,1.0,0.32918357026079853,0.6334821762892366,0.7317237172957831,1.4109160706565567,59,6.753138019599171,21.769383516140937,0.7134704488737489,22.482853965014684
1.0,1.0,0.32918357026079853,0.6334821762892366,0.7317237272957832,1.4109160606565567,59,6.753138022192036,21.769383521592903,0.7134704488737489,22.482853970466657
1.0,1.0,0.3291835802607985,0.6334821762892366,0.7317237172957831,1.4109160606565567,59,6.753138023322567,21.769383522019535,0.7134704588651951,22.48285398088473
1.0,1.0,0.32918357026079853,0.6334821762892366,0.7317237172957831,1.4109160606565567,59,6.753138019486595,21.7693835267436,0.7134704446658753,22.48285397140948
0.99999999,1.0,0.32918357026079853,0.6334821762892366,0.7317237172957831,1.4109160606565567,59,6.7531380256882665,21.76938355118618,0.7134704446658753,22.482853995852057
1.0,0.99999999,0.32918357026079853,0.6334821762892366,0.7317237172957831,1.4109160606565567,59,6.753138025688267,21.76938355118618,0.7134704446658753,22.482853995852057
1.0,1.0,0.3960930894210303,0.6183087723628252,0.7200294237620326,1.4331533431603558,59,6.801040946934017,21.779144321278366,0.7935065297989805,22.57265085107735
1.0,1.0,0.3960930894210303,0.6183087623628252,0.7200294237620326,1.4331533531603557,59,6.8010409575123045,21.779144336191965,0.7935065193554446,22.572650855547415
1.0,1.0,0.3960930894210303,0.6183087623628252,0.7200294337620327,1.4331533431603558,59,6.801040958885907,21.77914434252905,0.7935065193554446,22.572650861884505
1.0,1.0,0.3960930894210303,0.6183087623628252,0.7200294237620326,1.4331533431603558,59,6.801040955990411,21.779144345350073,0.7935065148365528,22.572650860186624
1.0,1.0,0.39609309942103027,0.6183087623628252,0.7200294237620326,1.4331533431603558,59,6.801040962961375,21.77914434795294,0.7935065297989805,22.57265087775192
0.99999999,1.0,0.3960930894210303,0.6183087623628252,0.7200294237620326,1.4331533431603558,59,6.801040962119083,21.779144368449217,0.7935065148365528,22.57265088328577
1.0,0.99999999,0.3960930894210303,0.6183087623628252,0.7200294237620326,1.4331533431603558,59,6.801040962119083,21.779144368449217,0.7935065148365528,22.57265088328577
0.9032398695926714,1.0,0.49553954452798643,0.6237057552080727,0.6923133598301452,1.5435272492847836,59,7.087880098051619,22.25207830940372,1.0128191853544148,23.26489749475814
0.9032398595926714,1.0,0.49553954452798643,0.6237057552080727,0.6923133698301452,1.5435272492847836,59,7.0878801043573825,22.252078321111963,1.0128191937389253,23.264897514850887
0.9032398595926714,1.0,0.49553954452798643,0.6237057552080727,0.6923133598301452,1.5435272492847836,59,7.087880110514581,22.252078346740266,1.0128191867816274,23.264897533521896
0.9032398595926714,1.0,0.4955395545279864,0.6237057552080727,0.6923133598301452,1.5435272492847836,59,7.087880121982226,22.252078355736245,1.0128192032904955,23.264897559026743
0.9032398595926714,1.0,0.49553954452798643,0.6237057652080727,0.6923133598301452,1.5435272492847836,59,7.087880118450477,22.25207836380779,1.012819203290496,23.264897567098284
0.9032398595926714,1.0,0.49553954452798643,0.6237057552080727,0.6923133598301452,1.5435272592847835,59,7.087880129098998,22.252078375311996,1.0128191937389253,23.264897569050923
0.9032398595926714,0.99999999,0.49553954452798643,0.6237057552080727,0.6923133598301452,1.5435272492847836,59,7.08788012297754,22.25207838407681,1.0128191882088393,23.26489757228565
0.5826317654635124,0.8764713000072837,0.241165934425093,0.5387593228048934,0.8773216894001552,1.3431073744364523,59,7.325297222701378,23.739639824230398,0.7360477481993861,24.475687572429784
0.5826317754635124,0.8764712900072836,0.241165934425093,0.5387593228048934,0.8773216894001552,1.3431073744364523,59,7.325297222701377,23.739639824230398,0.7360477481993861,24.475687572429784
