Vᵢᵢ,Ʌᵢᵢ,Ƹᵢⱼ,Ʒᵢⱼ,γ1,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,1.0,0.5806792728345782,0.053650769141793966,1.2651376126653289,61,3.4134950180308077,11.411736821261478,0.47849649172725833,11.890233312988736
1.0,1.0,0.5806792828345783,0.053650769141793966,1.265137602665329,61,3.413495018325008,11.411736827633835,0.47849648576017295,11.890233313394008
1.0,1.0,0.5806792728345782,0.053650769141793966,1.265137602665329,61,3.413495018171809,11.411736834353027,0.4784964768795524,11.890233311232578
1.0,1.0,0.5806792728345782,0.05365077914179397,1.265137602665329,61,3.4134950223506366,11.41173683984925,0.47849648576017284,11.890233325609422
1.0,0.99999999,0.5806792728345782,0.053650769141793966,1.265137602665329,61,3.4134950234497445,11.411736857455983,0.4784964768795524,11.890233334335537
0.99999999,1.0,0.5806792728345782,0.053650769141793966,1.265137602665329,61,3.413495023449743,11.411736857455983,0.4784964768795524,11.890233334335537
1.0,1.0,0.5327203778211826,-0.0006962781749145782,1.26492225789316,61,3.3933328318984235,11.429403947214885,0.3956879778620292,11.825091925076913
1.0,1.0,0.5327203878211827,-0.0006962781749145782,1.26492224789316,61,3.3933328325754584,11.4294039536143,0.3956879704942163,11.825091924108518
1.0,1.0,0.5327203778211826,-0.0006962781749145782,1.26492224789316,61,3.3933328328515637,11.429403961357737,0.39568796302638315,11.825091924384122
1.0,1.0,0.5327203778211826,-0.0006962681749145782,1.26492224789316,61,3.393332836214183,11.429403962254927,0.39568795555854985,11.825091917813477
1.0,0.99999999,0.5327203778211826,-0.0006962781749145782,1.26492224789316,61,3.393332838131341,11.429403983978043,0.39568796302638315,11.825091947004427
0.99999999,1.0,0.5327203778211826,-0.0006962781749145782,1.26492224789316,61,3.3933328381313412,11.429403983978046,0.39568796302638315,11.825091947004427
1.0,1.0,0.542261614523035,-0.0003644639534968567,1.2595412282188279,61,3.3937351920177314,11.429788637831024,0.3947227603369191,11.824511398167944
1.0,1.0,0.5422616245230351,-0.0003644639534968567,1.259541218218828,61,3.3937351927727293,11.429788644529298,0.3947227533993759,11.824511397928674
1.0,1.0,0.542261614523035,-0.0003644639534968567,1.259541218218828,61,3.393735192944775,11.429788652015583,0.3947227458026107,11.824511397818195
1.0,1.0,0.542261614523035,-0.0003644539534968567,1.259541218218828,61,3.393735196221482,11.429788652824962,0.39472273820584564,11.824511391030807
0.99999999,1.0,0.542261614523035,-0.0003644639534968567,1.259541218218828,61,3.3937351982471435,11.429788674703769,0.39472274580261074,11.82451142050638
1.0,0.99999999,0.542261614523035,-0.0003644639534968567,1.259541218218828,61,3.3937351982471435,11.42978867470377,0.39472274580261074,11.82451142050638
