conditional_welfare_mode,reference_dependent_altruism,min_max_rawlsian_leontief,include_welfare_efficiency_term,include_relative_income_penalty,use_exponential_parameters,apply_exponents_to_payoffs,uniform_exponential_parameter,single_payoffs_not_differences,payoff_ratios_not_differences,reference_dependent_utility,use_negativity_parameters,negativity_social_comparison,fix_self_interest_parameter,include_social_comparison,include_altruism_term,idx,n_data,k_params,pvar,param_norm_sd,loss,AIC,BIC,ΔAIC,ΔBIC,AIC_rank,BIC_rank,equation
False,False,False,False,False,True,False,True,False,False,False,True,True,False,True,True,29,200,7,0.0,0.25145553388479985,77.9700145447077,169.9400290894154,193.02825065525164,3.535547592702102,9.850839649790373,2,2,"Uᵢ(A) = Vᵢᵢ × max(πᵢᴬ - πᵢᴮ, 0)^γ₁ - Ʌᵢᵢ × max(πᵢᴮ - πᵢᴬ, 0)^γ₁ + Vᵢⱼ × max(πⱼᴬ - πⱼᴮ, 0)^γ₁ - Ʌᵢⱼ × max(πⱼᴮ - πⱼᴬ, 0)^γ₁ - αᵢⱼ × max(πⱼᴬ - πᵢᴬ, 0)^γ₁ - βᵢⱼ × max(πᵢᴬ - πⱼᴬ, 0)^γ₁"
False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,30,200,8,0.0,0.2440246512368437,75.80674276875206,167.61348553750412,194.00002446988842,1.2090040407908305,10.82261346442715,0,0,"Uᵢ(A) = max(πᵢᴬ - πᵢᴮ, 0)^γ₁ + Vᵢⱼ × max(πⱼᴬ - πⱼᴮ, 0)^γ₂ - Ʌᵢⱼ × max(πⱼᴮ - πⱼᴬ, 0)^γ₂ - αᵢⱼ × max(πⱼᴬ - πᵢᴬ, 0)^γ₃ - βᵢⱼ × max(πᵢᴬ - πⱼᴬ, 0)^γ₃"
False,False,False,False,False,True,False,False,False,False,True,True,True,False,True,False,25,200,6,0.0,0.2539487056336521,82.30507855780233,176.61015711560466,196.40006131489287,10.205675618891377,13.2226503094316,1,1,"Uᵢ(A) = Vᵢᵢ × max(πᵢᴬ - 3, 0)^γ₁ - Ʌᵢᵢ × max(3 - πᵢᴬ, 0)^γ₁ - αᵢⱼ × max(πⱼᴬ - πᵢᴬ, 0)^γ₃ - βᵢⱼ × max(πᵢᴬ - πⱼᴬ, 0)^γ₃"
False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,20,200,4,0.0,0.21993053332762266,88.59952708820146,185.1990541764029,198.39232364259504,18.794572679689622,15.214912637133779,2,2,"Uᵢ(A) = Vᵢᵢ(πᵢᴬ - 3)^γ₁ - αᵢⱼ × (max(πⱼᴬ - πᵢᴬ, 0)^γ₃ + max(πᵢᴬ - πⱼᴬ, 0)^γ₃)"
False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,14,200,2,0.0,0.2442257658071788,94.13871475079476,192.27742950158952,198.8740642346856,25.872948004876235,15.696653229224324,4,4,"Uᵢ(A) = max(Vᵢᵢ × (πᵢᴬ - πᵢᴮ), Vᵢⱼ × (πⱼᴬ - πⱼᴮ))"
False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,33,200,9,0.0,0.2410321253157856,75.86219704590361,169.72439409180723,199.40925039073954,3.319912595093939,16.231839385278278,0,0,"Uᵢ(A) = Vᵢᵢ × max(πᵢᴬ - πᵢᴮ, 0)^γ₁ - Ʌᵢᵢ × max(πᵢᴮ - πᵢᴬ, 0)^γ₁ + Vᵢⱼ × max(πⱼᴬ - πⱼᴮ, 0)^γ₂ - Ʌᵢⱼ × max(πⱼᴮ - πⱼᴬ, 0)^γ₂ - αᵢⱼ × max(πⱼᴬ - πᵢᴬ, 0)^γ₃ - βᵢⱼ × max(πᵢᴬ - πⱼᴬ, 0)^γ₃"
False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,5,200,1,0.0,0.34871489502382425,97.27981103279274,196.55962206558547,199.85793943213352,30.155140568872184,16.680528426672254,1,1,Uᵢ(A) = Vᵢᵢ(πᵢᴬ - 3)
False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,4,200,1,0.0,0.3509042330558751,97.28030773386183,196.56061546772366,199.8589328342717,30.156133971010377,16.681521828810446,2,2,Uᵢ(A) = Vᵢᵢ(πᵢᴬ)
False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,16,200,3,0.0,0.2839972714556744,92.49080606405337,190.98161212810675,200.87656422775086,24.57713063139346,17.699153222289596,1,1,"Uᵢ(A) = Vᵢᵢ × max(πᵢᴬ - 3, 0)^γ₁ - Ʌᵢᵢ × max(3 - πᵢᴬ, 0)^γ₁"
False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,31,200,8,0.0,0.2787829360634233,79.30520151239008,174.61040302478017,200.99694195716447,8.205921528066881,17.8195309517032,1,1,"Uᵢ(A) = max(πᵢᴬ - 3, 0)^γ₁ + Vᵢⱼ × max(πⱼᴬ - 3, 0)^γ₂ - Ʌᵢⱼ × max(3 - πⱼᴬ, 0)^γ₂ - αᵢⱼ × max(πⱼᴬ - πᵢᴬ, 0)^γ₃ - βᵢⱼ × max(πᵢᴬ - πⱼᴬ, 0)^γ₃"
False,False,False,False,False,True,False,False,False,False,True,True,True,False,True,True,34,200,9,0.0,0.25134814881536455,77.47129828332992,172.94259656665983,202.62745286559215,6.538115069946542,19.45004186013088,1,1,"Uᵢ(A) = Vᵢᵢ × max(πᵢᴬ - 3, 0)^γ₁ - Ʌᵢᵢ × max(3 - πᵢᴬ, 0)^γ₁ + Vᵢⱼ × max(πⱼᴬ - 3, 0)^γ₂ - Ʌᵢⱼ × max(3 - πⱼᴬ, 0)^γ₂ - αᵢⱼ × max(πⱼᴬ - πᵢᴬ, 0)^γ₃ - βᵢⱼ × max(πᵢᴬ - πⱼᴬ, 0)^γ₃"
